"Plot Title: E600F6"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786028, SEN S/N: 9786028)","Bad Battery (LGR S/N: 9786028)","Good Battery (LGR S/N: 9786028)","Host Connected (LGR S/N: 9786028)","Coupler Attached (LGR S/N: 9786028)","Stopped (LGR S/N: 9786028)","End Of File (LGR S/N: 9786028)"
1,2019/11/25 08:00:00 AM,22.238,,,,,,
2,2019/11/25 09:00:00 AM,22.238,,,,,,
3,2019/11/25 10:00:00 AM,-19.217,Logged,,,,,
4,2019/11/25 11:00:00 AM,-23.755,,,,,,
5,2019/11/25 12:00:00 PM,-22.092,,,,,,
6,2019/11/25 01:00:00 PM,-24.406,,,,,,
7,2019/11/25 02:00:00 PM,-25.299,,,,,,
8,2019/11/25 03:00:00 PM,-22.092,,,,,,
9,2019/11/25 04:00:00 PM,-22.498,,,,,,
10,2019/11/25 05:00:00 PM,-24.187,,,,,,
11,2019/11/25 06:00:00 PM,-22.092,,,,,,
12,2019/11/25 07:00:00 PM,0.674,,,,,,
13,2019/11/25 08:00:00 PM,18.901,,Logged,,,,
14,2019/11/25 09:00:00 PM,20.615,,,,,,
15,2019/11/25 10:00:00 PM,21.378,,,,,,
16,2019/11/25 11:00:00 PM,21.569,,,,,,
17,2019/11/26 12:00:00 AM,21.664,,,,,,
18,2019/11/26 01:00:00 AM,21.378,,,,,,
19,2019/11/26 02:00:00 AM,21.091,,,,,,
20,2019/11/26 03:00:00 AM,20.805,,,,,,
21,2019/11/26 04:00:00 AM,20.710,,,,,,
22,2019/11/26 05:00:00 AM,20.615,,,,,,
23,2019/11/26 06:00:00 AM,20.519,,,,,,
24,2019/11/26 07:00:00 AM,20.519,,,,,,
25,2019/11/26 08:00:00 AM,19.092,,,,,,
26,2019/11/26 09:00:00 AM,20.710,,,,,,
27,2019/11/26 10:00:00 AM,21.378,,,,,,
28,2019/11/26 11:00:00 AM,21.664,,,,,,
29,2019/11/26 12:00:00 PM,21.664,,,,,,
30,2019/11/26 01:00:00 PM,21.855,,,,,,
31,2019/11/26 02:00:00 PM,22.238,,,,,,
32,2019/11/26 03:00:00 PM,22.333,,,,,,
33,2019/11/26 04:00:00 PM,22.238,,,,,,
34,2019/11/26 05:00:00 PM,17.189,,,,,,
35,2019/11/26 06:00:00 PM,15.951,,,,,,
36,2019/11/26 07:00:00 PM,18.711,,,,,,
37,2019/11/26 08:00:00 PM,19.662,,,,,,
38,2019/11/26 09:00:00 PM,20.996,,,,,,
39,2019/11/26 09:00:40 PM,,,,Logged,,,
40,2019/11/26 09:00:41 PM,,,,,Logged,,
41,2019/11/26 09:00:45 PM,,,,,,Logged,Logged
