"Plot Title: 10"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786042, SEN S/N: 9786042)","Bad Battery (LGR S/N: 9786042)","Good Battery (LGR S/N: 9786042)","Host Connected (LGR S/N: 9786042)","Coupler Attached (LGR S/N: 9786042)","Stopped (LGR S/N: 9786042)","End Of File (LGR S/N: 9786042)"
1,2019/11/25 08:00:00 AM,22.333,,,,,,
2,2019/11/25 09:00:00 AM,22.333,,,,,,
3,2019/11/25 10:00:00 AM,-14.806,,,,,,
4,2019/11/25 11:00:00 AM,-22.498,,,,,,
5,2019/11/25 12:00:00 PM,-21.297,,,,,,
6,2019/11/25 01:00:00 PM,-23.329,,,,,,
7,2019/11/25 02:00:00 PM,-24.406,,,,,,
8,2019/11/25 03:00:00 PM,-21.297,,,,,,
9,2019/11/25 04:00:00 PM,-22.294,Logged,,,,,
10,2019/11/25 05:00:00 PM,-24.187,,,,,,
11,2019/11/25 06:00:00 PM,-21.891,,,,,,
12,2019/11/25 07:00:00 PM,1.003,,,,,,
13,2019/11/25 08:00:00 PM,17.189,,Logged,,,,
14,2019/11/25 09:00:00 PM,20.519,,,,,,
15,2019/11/25 10:00:00 PM,21.187,,,,,,
16,2019/11/25 11:00:00 PM,21.569,,,,,,
17,2019/11/26 12:00:00 AM,21.855,,,,,,
18,2019/11/26 01:00:00 AM,21.664,,,,,,
19,2019/11/26 02:00:00 AM,21.378,,,,,,
20,2019/11/26 03:00:00 AM,21.091,,,,,,
21,2019/11/26 04:00:00 AM,20.901,,,,,,
22,2019/11/26 05:00:00 AM,20.805,,,,,,
23,2019/11/26 06:00:00 AM,20.805,,,,,,
24,2019/11/26 07:00:00 AM,20.710,,,,,,
25,2019/11/26 08:00:00 AM,19.377,,,,,,
26,2019/11/26 09:00:00 AM,20.519,,,,,,
27,2019/11/26 10:00:00 AM,21.282,,,,,,
28,2019/11/26 11:00:00 AM,21.569,,,,,,
29,2019/11/26 12:00:00 PM,21.760,,,,,,
30,2019/11/26 01:00:00 PM,21.855,,,,,,
31,2019/11/26 02:00:00 PM,22.142,,,,,,
32,2019/11/26 03:00:00 PM,22.429,,,,,,
33,2019/11/26 04:00:00 PM,22.333,,,,,,
34,2019/11/26 05:00:00 PM,19.187,,,,,,
35,2019/11/26 06:00:00 PM,16.713,,,,,,
36,2019/11/26 07:00:00 PM,18.426,,,,,,
37,2019/11/26 08:00:00 PM,19.377,,,,,,
38,2019/11/26 08:48:58 PM,,,,Logged,,,
39,2019/11/26 08:48:59 PM,,,,,Logged,,
40,2019/11/26 08:49:45 PM,,,,,,Logged,Logged
