"Plot Title: 10"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786042, SEN S/N: 9786042)","Coupler Attached (LGR S/N: 9786042)","Host Connected (LGR S/N: 9786042)","Coupler Detached (LGR S/N: 9786042)","Stopped (LGR S/N: 9786042)","End Of File (LGR S/N: 9786042)"
1,2019/12/09 06:00:00 PM,4.623,,,,,
2,2019/12/09 07:00:00 PM,4.519,,,,,
3,2019/12/09 08:00:00 PM,4.519,,,,,
4,2019/12/09 09:00:00 PM,4.519,,,,,
5,2019/12/09 10:00:00 PM,4.519,,,,,
6,2019/12/09 11:00:00 PM,4.519,,,,,
7,2019/12/10 12:00:00 AM,4.519,,,,,
8,2019/12/10 01:00:00 AM,4.519,,,,,
9,2019/12/10 02:00:00 AM,4.519,,,,,
10,2019/12/10 03:00:00 AM,4.519,,,,,
11,2019/12/10 04:00:00 AM,4.519,,,,,
12,2019/12/10 05:00:00 AM,4.519,,,,,
13,2019/12/10 06:00:00 AM,4.519,,,,,
14,2019/12/10 07:00:00 AM,4.519,,,,,
15,2019/12/10 08:00:00 AM,4.519,,,,,
16,2019/12/10 09:00:00 AM,4.519,,,,,
17,2019/12/10 10:00:00 AM,4.519,,,,,
18,2019/12/10 11:00:00 AM,4.519,,,,,
19,2019/12/10 12:00:00 PM,4.519,,,,,
20,2019/12/10 01:00:00 PM,4.519,,,,,
21,2019/12/10 02:00:00 PM,4.519,,,,,
22,2019/12/10 03:00:00 PM,4.519,,,,,
23,2019/12/10 04:00:00 PM,4.519,,,,,
24,2019/12/10 05:00:00 PM,4.519,,,,,
25,2019/12/10 05:33:30 PM,,Logged,Logged,,,
26,2019/12/10 05:34:03 PM,,,,Logged,,
27,2019/12/10 06:00:00 PM,12.401,,,,,
28,2019/12/10 07:00:00 PM,4.623,,,,,
29,2019/12/10 08:00:00 PM,4.623,,,,,
30,2019/12/10 09:00:00 PM,4.519,,,,,
31,2019/12/10 10:00:00 PM,4.519,,,,,
32,2019/12/10 11:00:00 PM,4.519,,,,,
33,2019/12/11 12:00:00 AM,4.727,,,,,
34,2019/12/11 01:00:00 AM,4.623,,,,,
35,2019/12/11 02:00:00 AM,4.519,,,,,
36,2019/12/11 03:00:00 AM,4.519,,,,,
37,2019/12/11 04:00:00 AM,4.519,,,,,
38,2019/12/11 05:00:00 AM,4.519,,,,,
39,2019/12/11 06:00:00 AM,4.727,,,,,
40,2019/12/11 07:00:00 AM,4.623,,,,,
41,2019/12/11 08:00:00 AM,4.519,,,,,
42,2019/12/11 09:00:00 AM,4.519,,,,,
43,2019/12/11 10:00:00 AM,4.519,,,,,
44,2019/12/11 11:00:00 AM,4.519,,,,,
45,2019/12/11 12:00:00 PM,4.727,,,,,
46,2019/12/11 01:00:00 PM,4.623,,,,,
47,2019/12/11 02:00:00 PM,4.519,,,,,
48,2019/12/11 03:00:00 PM,4.519,,,,,
49,2019/12/11 04:00:00 PM,4.519,,,,,
50,2019/12/11 05:00:00 PM,4.519,,,,,
51,2019/12/11 06:00:00 PM,4.727,,,,,
52,2019/12/11 07:00:00 PM,4.623,,,,,
53,2019/12/11 08:00:00 PM,4.623,,,,,
54,2019/12/11 09:00:00 PM,4.519,,,,,
55,2019/12/11 10:00:00 PM,4.519,,,,,
56,2019/12/11 11:00:00 PM,4.519,,,,,
57,2019/12/12 12:00:00 AM,4.727,,,,,
58,2019/12/12 01:00:00 AM,4.623,,,,,
59,2019/12/12 02:00:00 AM,4.519,,,,,
60,2019/12/12 03:00:00 AM,4.519,,,,,
61,2019/12/12 04:00:00 AM,4.519,,,,,
62,2019/12/12 05:00:00 AM,4.519,,,,,
63,2019/12/12 06:00:00 AM,4.727,,,,,
64,2019/12/12 07:00:00 AM,4.623,,,,,
65,2019/12/12 08:00:00 AM,4.623,,,,,
66,2019/12/12 09:00:00 AM,4.519,,,,,
67,2019/12/12 10:00:00 AM,4.519,,,,,
68,2019/12/12 11:00:00 AM,4.519,,,,,
69,2019/12/12 12:00:00 PM,4.727,,,,,
70,2019/12/12 01:00:00 PM,4.623,,,,,
71,2019/12/12 02:00:00 PM,4.623,,,,,
72,2019/12/12 03:00:00 PM,4.519,,,,,
73,2019/12/12 04:00:00 PM,4.519,,,,,
74,2019/12/12 05:00:00 PM,4.519,,,,,
75,2019/12/12 06:00:00 PM,4.727,,,,,
76,2019/12/12 07:00:00 PM,4.623,,,,,
77,2019/12/12 08:00:00 PM,4.519,,,,,
78,2019/12/12 09:00:00 PM,4.519,,,,,
79,2019/12/12 10:00:00 PM,4.519,,,,,
80,2019/12/12 11:00:00 PM,4.519,,,,,
81,2019/12/13 12:00:00 AM,4.727,,,,,
82,2019/12/13 01:00:00 AM,4.623,,,,,
83,2019/12/13 02:00:00 AM,4.519,,,,,
84,2019/12/13 03:00:00 AM,4.519,,,,,
85,2019/12/13 04:00:00 AM,4.519,,,,,
86,2019/12/13 05:00:00 AM,4.519,,,,,
87,2019/12/13 06:00:00 AM,4.727,,,,,
88,2019/12/13 07:00:00 AM,4.623,,,,,
89,2019/12/13 08:00:00 AM,4.519,,,,,
90,2019/12/13 09:00:00 AM,4.519,,,,,
91,2019/12/13 10:00:00 AM,4.519,,,,,
92,2019/12/13 11:00:00 AM,4.519,,,,,
93,2019/12/13 12:00:00 PM,4.727,,,,,
94,2019/12/13 01:00:00 PM,4.831,,,,,
95,2019/12/13 02:00:00 PM,4.727,,,,,
96,2019/12/13 03:00:00 PM,4.831,,,,,
97,2019/12/13 04:00:00 PM,5.037,,,,,
98,2019/12/13 05:00:00 PM,6.166,,,,,
99,2019/12/13 06:00:00 PM,5.860,,,,,
100,2019/12/13 07:00:00 PM,5.552,,,,,
101,2019/12/13 08:00:00 PM,5.141,,,,,
102,2019/12/13 09:00:00 PM,4.934,,,,,
103,2019/12/13 10:00:00 PM,4.831,,,,,
104,2019/12/13 11:00:00 PM,4.727,,,,,
105,2019/12/14 12:00:00 AM,4.727,,,,,
106,2019/12/14 01:00:00 AM,4.623,,,,,
107,2019/12/14 02:00:00 AM,4.623,,,,,
108,2019/12/14 03:00:00 AM,4.519,,,,,
109,2019/12/14 04:00:00 AM,4.519,,,,,
110,2019/12/14 05:00:00 AM,4.519,,,,,
111,2019/12/14 06:00:00 AM,4.623,,,,,
112,2019/12/14 07:00:00 AM,4.519,,,,,
113,2019/12/14 08:00:00 AM,4.519,,,,,
114,2019/12/14 09:00:00 AM,4.519,,,,,
115,2019/12/14 10:00:00 AM,4.519,,,,,
116,2019/12/14 11:00:00 AM,4.519,,,,,
117,2019/12/14 12:00:00 PM,4.623,,,,,
118,2019/12/14 01:00:00 PM,4.519,,,,,
119,2019/12/14 02:00:00 PM,4.519,,,,,
120,2019/12/14 03:00:00 PM,4.519,,,,,
121,2019/12/14 04:00:00 PM,4.519,,,,,
122,2019/12/14 05:00:00 PM,4.415,,,,,
123,2019/12/14 06:00:00 PM,4.623,,,,,
124,2019/12/14 07:00:00 PM,4.519,,,,,
125,2019/12/14 08:00:00 PM,4.519,,,,,
126,2019/12/14 09:00:00 PM,4.519,,,,,
127,2019/12/14 10:00:00 PM,4.519,,,,,
128,2019/12/14 11:00:00 PM,4.519,,,,,
129,2019/12/15 12:00:00 AM,4.519,,,,,
130,2019/12/15 01:00:00 AM,4.519,,,,,
131,2019/12/15 02:00:00 AM,4.519,,,,,
132,2019/12/15 03:00:00 AM,4.519,,,,,
133,2019/12/15 04:00:00 AM,4.519,,,,,
134,2019/12/15 05:00:00 AM,4.519,,,,,
135,2019/12/15 06:00:00 AM,4.519,,,,,
136,2019/12/15 07:00:00 AM,4.519,,,,,
137,2019/12/15 08:00:00 AM,4.519,,,,,
138,2019/12/15 09:00:00 AM,4.415,,,,,
139,2019/12/15 10:00:00 AM,4.415,,,,,
140,2019/12/15 11:00:00 AM,4.415,,,,,
141,2019/12/15 12:00:00 PM,4.519,,,,,
142,2019/12/15 01:00:00 PM,4.519,,,,,
143,2019/12/15 02:00:00 PM,4.519,,,,,
144,2019/12/15 03:00:00 PM,4.519,,,,,
145,2019/12/15 04:00:00 PM,4.415,,,,,
146,2019/12/15 05:00:00 PM,4.415,,,,,
147,2019/12/15 06:00:00 PM,4.519,,,,,
148,2019/12/15 07:00:00 PM,4.519,,,,,
149,2019/12/15 08:00:00 PM,4.519,,,,,
150,2019/12/15 09:00:00 PM,4.519,,,,,
151,2019/12/15 10:00:00 PM,4.519,,,,,
152,2019/12/15 11:00:00 PM,4.415,,,,,
153,2019/12/16 12:00:00 AM,4.519,,,,,
154,2019/12/16 01:00:00 AM,4.519,,,,,
155,2019/12/16 02:00:00 AM,4.519,,,,,
156,2019/12/16 03:00:00 AM,4.415,,,,,
