"Plot Title: 11"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786041, SEN S/N: 9786041)","Bad Battery (LGR S/N: 9786041)","Coupler Attached (LGR S/N: 9786041)","Host Connected (LGR S/N: 9786041)","Coupler Detached (LGR S/N: 9786041)","Good Battery (LGR S/N: 9786041)","Stopped (LGR S/N: 9786041)","End Of File (LGR S/N: 9786041)"
1,2019/11/25 08:00:00 AM,22.238,,,,,,,
2,2019/11/25 09:00:00 AM,22.238,,,,,,,
3,2019/11/25 10:00:00 AM,-17.618,,,,,,,
4,2019/11/25 11:00:00 AM,-23.329,,,,,,,
5,2019/11/25 12:00:00 PM,-21.691,,,,,,,
6,2019/11/25 01:00:00 PM,-23.970,,,,,,,
7,2019/11/25 02:00:00 PM,-24.848,Logged,,,,,,
8,2019/11/25 03:00:00 PM,-21.691,,,,,,,
9,2019/11/25 04:00:00 PM,-22.092,,,,,,,
10,2019/11/25 05:00:00 PM,-23.541,,,,,,,
11,2019/11/25 06:00:00 PM,-21.493,,,,,,,
12,2019/11/25 06:32:11 PM,,,Logged,Logged,,,,
13,2019/11/25 06:33:23 PM,,,,,Logged,,,
14,2019/11/25 07:00:00 PM,4.519,,,,,,,
15,2019/11/25 07:30:44 PM,,,,Logged,,,,
16,2019/11/25 07:30:45 PM,,,Logged,,,,,
17,2019/11/25 07:31:56 PM,,,,,Logged,,,
18,2019/11/25 08:00:00 PM,19.187,,,,,Logged,,
19,2019/11/25 09:00:00 PM,20.805,,,,,,,
20,2019/11/25 10:00:00 PM,21.378,,,,,,,
21,2019/11/25 11:00:00 PM,21.569,,,,,,,
22,2019/11/26 12:00:00 AM,22.142,,,,,,,
23,2019/11/26 01:00:00 AM,21.664,,,,,,,
24,2019/11/26 02:00:00 AM,21.282,,,,,,,
25,2019/11/26 03:00:00 AM,20.996,,,,,,,
26,2019/11/26 04:00:00 AM,20.901,,,,,,,
27,2019/11/26 05:00:00 AM,20.710,,,,,,,
28,2019/11/26 06:00:00 AM,20.710,,,,,,,
29,2019/11/26 07:00:00 AM,20.710,,,,,,,
30,2019/11/26 08:00:00 AM,19.567,,,,,,,
31,2019/11/26 09:00:00 AM,20.710,,,,,,,
32,2019/11/26 10:00:00 AM,21.378,,,,,,,
33,2019/11/26 11:00:00 AM,21.760,,,,,,,
34,2019/11/26 12:00:00 PM,21.760,,,,,,,
35,2019/11/26 01:00:00 PM,22.046,,,,,,,
36,2019/11/26 02:00:00 PM,22.333,,,,,,,
37,2019/11/26 03:00:00 PM,22.429,,,,,,,
38,2019/11/26 04:00:00 PM,22.046,,,,,,,
39,2019/11/26 05:00:00 PM,20.234,,,,,,,
40,2019/11/26 06:00:00 PM,17.379,,,,,,,
41,2019/11/26 07:00:00 PM,18.426,,,,,,,
42,2019/11/26 08:00:00 PM,19.377,,,,,,,
43,2019/11/26 09:00:00 PM,21.091,,,,,,,
44,2019/11/26 09:25:34 PM,,,Logged,Logged,,,,
45,2019/11/26 09:26:20 PM,,,,,,,Logged,Logged
