"Plot Title: 11"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786041, SEN S/N: 9786041)","Bad Battery (LGR S/N: 9786041)","Coupler Attached (LGR S/N: 9786041)","Host Connected (LGR S/N: 9786041)","Coupler Detached (LGR S/N: 9786041)","End Of File (LGR S/N: 9786041)"
1,2019/11/25 08:00:00 AM,22.238,,,,,
2,2019/11/25 09:00:00 AM,22.238,,,,,
3,2019/11/25 10:00:00 AM,-17.618,,,,,
4,2019/11/25 11:00:00 AM,-23.329,,,,,
5,2019/11/25 12:00:00 PM,-21.691,,,,,
6,2019/11/25 01:00:00 PM,-23.970,,,,,
7,2019/11/25 02:00:00 PM,-24.848,Logged,,,,
8,2019/11/25 03:00:00 PM,-21.691,,,,,
9,2019/11/25 04:00:00 PM,-22.092,,,,,
10,2019/11/25 05:00:00 PM,-23.541,,,,,
11,2019/11/25 06:00:00 PM,-21.493,,,,,
12,2019/11/25 06:32:11 PM,,,Logged,Logged,,
13,2019/11/25 06:33:23 PM,,,,,Logged,
14,2019/11/25 07:00:00 PM,4.519,,,,,
15,2019/11/25 07:30:44 PM,,,,Logged,,
16,2019/11/25 07:30:45 PM,,,Logged,,,Logged
