"Plot Title: 11_chill"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786041, SEN S/N: 9786041)","Intensity, Lux (LGR S/N: 9786041, SEN S/N: 9786041)","Coupler Attached (LGR S/N: 9786041)","Host Connected (LGR S/N: 9786041)","End Of File (LGR S/N: 9786041)"
1,2019/12/17 01:00:00 PM,16.141,0.0,,,
2,2019/12/17 02:00:00 PM,4.831,0.0,,,
3,2019/12/17 03:00:00 PM,4.727,0.0,,,
4,2019/12/17 04:00:00 PM,4.727,0.0,,,
5,2019/12/17 05:00:00 PM,4.727,0.0,,,
6,2019/12/17 06:00:00 PM,4.934,0.0,,,
7,2019/12/17 07:00:00 PM,4.727,0.0,,,
8,2019/12/17 08:00:00 PM,4.727,0.0,,,
9,2019/12/17 09:00:00 PM,4.727,0.0,,,
10,2019/12/17 10:00:00 PM,4.727,0.0,,,
11,2019/12/17 11:00:00 PM,4.727,0.0,,,
12,2019/12/18 12:00:00 AM,4.831,0.0,,,
13,2019/12/18 01:00:00 AM,4.727,0.0,,,
14,2019/12/18 02:00:00 AM,4.727,0.0,,,
15,2019/12/18 03:00:00 AM,4.727,0.0,,,
16,2019/12/18 04:00:00 AM,4.727,0.0,,,
17,2019/12/18 05:00:00 AM,4.727,0.0,,,
18,2019/12/18 06:00:00 AM,4.831,0.0,,,
19,2019/12/18 07:00:00 AM,4.727,0.0,,,
20,2019/12/18 08:00:00 AM,4.727,0.0,,,
21,2019/12/18 09:00:00 AM,4.727,0.0,,,
22,2019/12/18 10:00:00 AM,4.727,0.0,,,
23,2019/12/18 11:00:00 AM,4.727,0.0,,,
24,2019/12/18 12:00:00 PM,4.934,0.0,,,
25,2019/12/18 01:00:00 PM,4.727,0.0,,,
26,2019/12/18 02:00:00 PM,4.727,0.0,,,
27,2019/12/18 03:00:00 PM,4.727,0.0,,,
28,2019/12/18 04:00:00 PM,4.727,0.0,,,
29,2019/12/18 05:00:00 PM,4.727,0.0,,,
30,2019/12/18 06:00:00 PM,4.934,0.0,,,
31,2019/12/18 07:00:00 PM,4.727,0.0,,,
32,2019/12/18 08:00:00 PM,4.727,0.0,,,
33,2019/12/18 09:00:00 PM,4.727,0.0,,,
34,2019/12/18 10:00:00 PM,4.727,0.0,,,
35,2019/12/18 11:00:00 PM,4.727,0.0,,,
36,2019/12/19 12:00:00 AM,4.831,0.0,,,
37,2019/12/19 01:00:00 AM,4.727,0.0,,,
38,2019/12/19 02:00:00 AM,4.727,0.0,,,
39,2019/12/19 03:00:00 AM,4.727,0.0,,,
40,2019/12/19 04:00:00 AM,4.727,0.0,,,
41,2019/12/19 05:00:00 AM,4.727,0.0,,,
42,2019/12/19 06:00:00 AM,4.831,0.0,,,
43,2019/12/19 07:00:00 AM,4.727,0.0,,,
44,2019/12/19 08:00:00 AM,4.727,0.0,,,
45,2019/12/19 09:00:00 AM,4.727,0.0,,,
46,2019/12/19 10:00:00 AM,4.727,0.0,,,
47,2019/12/19 11:00:00 AM,4.727,0.0,,,
48,2019/12/19 12:00:00 PM,4.831,0.0,,,
49,2019/12/19 01:00:00 PM,4.727,0.0,,,
50,2019/12/19 02:00:00 PM,4.727,0.0,,,
51,2019/12/19 03:00:00 PM,4.727,0.0,,,
52,2019/12/19 04:00:00 PM,4.727,0.0,,,
53,2019/12/19 05:00:00 PM,4.727,0.0,,,
54,2019/12/19 06:00:00 PM,4.831,0.0,,,
55,2019/12/19 07:00:00 PM,4.727,0.0,,,
56,2019/12/19 08:00:00 PM,4.727,0.0,,,
57,2019/12/19 09:00:00 PM,4.727,0.0,,,
58,2019/12/19 10:00:00 PM,4.727,0.0,,,
59,2019/12/19 11:00:00 PM,4.727,0.0,,,
60,2019/12/20 12:00:00 AM,4.831,0.0,,,
61,2019/12/20 01:00:00 AM,4.727,0.0,,,
62,2019/12/20 02:00:00 AM,4.727,0.0,,,
63,2019/12/20 03:00:00 AM,4.727,0.0,,,
64,2019/12/20 04:00:00 AM,4.727,0.0,,,
65,2019/12/20 05:00:00 AM,4.727,0.0,,,
66,2019/12/20 06:00:00 AM,4.831,0.0,,,
67,2019/12/20 07:00:00 AM,4.727,0.0,,,
68,2019/12/20 08:00:00 AM,4.727,0.0,,,
69,2019/12/20 09:00:00 AM,4.727,0.0,,,
70,2019/12/20 10:00:00 AM,4.727,0.0,,,
71,2019/12/20 11:00:00 AM,4.727,0.0,,,
72,2019/12/20 12:00:00 PM,4.831,0.0,,,
73,2019/12/20 01:00:00 PM,4.727,0.0,,,
74,2019/12/20 02:00:00 PM,4.727,0.0,,,
75,2019/12/20 03:00:00 PM,4.727,0.0,,,
76,2019/12/20 04:00:00 PM,4.727,0.0,,,
77,2019/12/20 05:00:00 PM,4.727,0.0,,,
78,2019/12/20 06:00:00 PM,4.831,0.0,,,
79,2019/12/20 07:00:00 PM,4.727,0.0,,,
80,2019/12/20 08:00:00 PM,4.727,0.0,,,
81,2019/12/20 09:00:00 PM,4.727,0.0,,,
82,2019/12/20 10:00:00 PM,4.727,0.0,,,
83,2019/12/20 11:00:00 PM,4.727,0.0,,,
84,2019/12/21 12:00:00 AM,4.831,0.0,,,
85,2019/12/21 01:00:00 AM,4.727,0.0,,,
86,2019/12/21 02:00:00 AM,4.727,0.0,,,
87,2019/12/21 03:00:00 AM,4.727,0.0,,,
88,2019/12/21 04:00:00 AM,4.727,0.0,,,
89,2019/12/21 05:00:00 AM,4.727,0.0,,,
90,2019/12/21 06:00:00 AM,4.831,0.0,,,
91,2019/12/21 07:00:00 AM,4.727,0.0,,,
