"Plot Title: 11"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786041, SEN S/N: 9786041)","Intensity, Lux (LGR S/N: 9786041, SEN S/N: 9786041)","Coupler Attached (LGR S/N: 9786041)","Coupler Detached (LGR S/N: 9786041)","Host Connected (LGR S/N: 9786041)","Stopped (LGR S/N: 9786041)","End Of File (LGR S/N: 9786041)"
1,2020/01/14 05:00:00 PM,20.234,355.2,,,,,
2,2020/01/14 05:21:48 PM,,,Logged,,,,
3,2020/01/14 05:21:49 PM,,,,Logged,,,
4,2020/01/14 06:00:00 PM,20.234,0.0,,,,,
5,2020/01/14 07:00:00 PM,20.234,0.0,,,,,
6,2020/01/14 08:00:00 PM,15.091,0.0,,,,,
7,2020/01/14 09:00:00 PM,10.259,0.0,,,,,
8,2020/01/14 10:00:00 PM,10.357,0.0,,,,,
9,2020/01/14 11:00:00 PM,10.455,0.0,,,,,
10,2020/01/15 12:00:00 AM,10.455,0.0,,,,,
11,2020/01/15 01:00:00 AM,10.455,0.0,,,,,
12,2020/01/15 02:00:00 AM,10.455,0.0,,,,,
13,2020/01/15 03:00:00 AM,10.455,0.0,,,,,
14,2020/01/15 04:00:00 AM,10.455,0.0,,,,,
15,2020/01/15 05:00:00 AM,10.455,0.0,,,,,
16,2020/01/15 06:00:00 AM,10.455,0.0,,,,,
17,2020/01/15 07:00:00 AM,10.651,0.0,,,,,
18,2020/01/15 08:00:00 AM,15.664,0.0,,,,,
19,2020/01/15 09:00:00 AM,23.484,5166.7,,,,,
20,2020/01/15 10:00:00 AM,24.738,4994.5,,,,,
21,2020/01/15 11:00:00 AM,24.641,4994.5,,,,,
22,2020/01/15 12:00:00 PM,24.641,4822.3,,,,,
23,2020/01/15 01:00:00 PM,24.545,4994.5,,,,,
24,2020/01/15 02:00:00 PM,24.641,4994.5,,,,,
25,2020/01/15 03:00:00 PM,24.062,2497.2,,,,,
26,2020/01/15 04:00:00 PM,24.158,2325.0,,,,,
27,2020/01/15 05:00:00 PM,21.282,0.0,,,,,
28,2020/01/15 06:00:00 PM,20.234,0.0,,,,,
29,2020/01/15 07:00:00 PM,20.234,0.0,,,,,
30,2020/01/15 08:00:00 PM,15.091,0.0,,,,,
31,2020/01/15 09:00:00 PM,10.063,0.0,,,,,
32,2020/01/15 10:00:00 PM,10.259,0.0,,,,,
33,2020/01/15 11:00:00 PM,10.357,0.0,,,,,
34,2020/01/16 12:00:00 AM,10.357,0.0,,,,,
35,2020/01/16 01:00:00 AM,10.357,0.0,,,,,
36,2020/01/16 02:00:00 AM,10.455,0.0,,,,,
37,2020/01/16 03:00:00 AM,10.357,0.0,,,,,
38,2020/01/16 04:00:00 AM,10.357,0.0,,,,,
39,2020/01/16 05:00:00 AM,10.357,0.0,,,,,
40,2020/01/16 06:00:00 AM,10.357,0.0,,,,,
41,2020/01/16 07:00:00 AM,10.651,0.0,,,,,
42,2020/01/16 08:00:00 AM,15.855,0.0,,,,,
43,2020/01/16 09:00:00 AM,21.569,4994.5,,,,,
44,2020/01/16 10:00:00 AM,20.805,4994.5,,,,,
45,2020/01/16 11:00:00 AM,20.996,6200.0,,,,,
46,2020/01/16 12:00:00 PM,21.760,6200.0,,,,,
47,2020/01/16 01:00:00 PM,21.951,5511.1,,,,,
48,2020/01/16 02:00:00 PM,21.951,5511.1,,,,,
49,2020/01/16 03:00:00 PM,22.046,5511.1,,,,,
50,2020/01/16 04:00:00 PM,22.046,5511.1,,,,,
51,2020/01/16 05:00:00 PM,21.091,0.0,,,,,
52,2020/01/16 06:00:00 PM,20.424,0.0,,,,,
53,2020/01/16 07:00:00 PM,20.234,0.0,,,,,
54,2020/01/16 08:00:00 PM,16.046,0.0,,,,,
55,2020/01/16 09:00:00 PM,11.528,0.0,,,,,
56,2020/01/16 10:00:00 PM,10.651,0.0,,,,,
57,2020/01/16 11:00:00 PM,10.455,0.0,,,,,
58,2020/01/17 12:00:00 AM,10.259,0.0,,,,,
59,2020/01/17 01:00:00 AM,10.357,0.0,,,,,
60,2020/01/17 02:00:00 AM,10.357,0.0,,,,,
