"Plot Title: 11_chill"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786041, SEN S/N: 9786041)","Intensity, Lux (LGR S/N: 9786041, SEN S/N: 9786041)","Coupler Attached (LGR S/N: 9786041)","Host Connected (LGR S/N: 9786041)","Stopped (LGR S/N: 9786041)","End Of File (LGR S/N: 9786041)"
1,2019/12/10 06:00:00 PM,10.063,0.0,,,,
2,2019/12/10 07:00:00 PM,4.415,0.0,,,,
3,2019/12/10 08:00:00 PM,4.415,0.0,,,,
4,2019/12/10 09:00:00 PM,4.415,0.0,,,,
5,2019/12/10 10:00:00 PM,4.415,0.0,,,,
6,2019/12/10 11:00:00 PM,4.415,0.0,,,,
7,2019/12/11 12:00:00 AM,4.415,0.0,,,,
8,2019/12/11 01:00:00 AM,4.415,0.0,,,,
9,2019/12/11 02:00:00 AM,4.415,0.0,,,,
10,2019/12/11 03:00:00 AM,4.415,0.0,,,,
11,2019/12/11 04:00:00 AM,4.415,0.0,,,,
12,2019/12/11 05:00:00 AM,4.415,0.0,,,,
13,2019/12/11 06:00:00 AM,4.415,0.0,,,,
14,2019/12/11 07:00:00 AM,4.415,0.0,,,,
15,2019/12/11 08:00:00 AM,4.415,0.0,,,,
16,2019/12/11 09:00:00 AM,4.415,0.0,,,,
17,2019/12/11 10:00:00 AM,4.415,0.0,,,,
18,2019/12/11 11:00:00 AM,4.415,0.0,,,,
19,2019/12/11 12:00:00 PM,4.415,0.0,,,,
20,2019/12/11 01:00:00 PM,4.415,0.0,,,,
21,2019/12/11 02:00:00 PM,4.415,0.0,,,,
22,2019/12/11 03:00:00 PM,4.415,0.0,,,,
23,2019/12/11 04:00:00 PM,4.415,0.0,,,,
24,2019/12/11 05:00:00 PM,4.415,0.0,,,,
25,2019/12/11 06:00:00 PM,4.415,0.0,,,,
26,2019/12/11 07:00:00 PM,4.415,0.0,,,,
27,2019/12/11 08:00:00 PM,4.415,0.0,,,,
28,2019/12/11 09:00:00 PM,4.415,0.0,,,,
29,2019/12/11 10:00:00 PM,4.415,0.0,,,,
30,2019/12/11 11:00:00 PM,4.415,0.0,,,,
31,2019/12/12 12:00:00 AM,4.415,0.0,,,,
32,2019/12/12 01:00:00 AM,4.415,0.0,,,,
33,2019/12/12 02:00:00 AM,4.415,0.0,,,,
34,2019/12/12 03:00:00 AM,4.415,0.0,,,,
35,2019/12/12 04:00:00 AM,4.415,0.0,,,,
36,2019/12/12 05:00:00 AM,4.415,0.0,,,,
37,2019/12/12 06:00:00 AM,4.415,0.0,,,,
38,2019/12/12 07:00:00 AM,4.415,0.0,,,,
39,2019/12/12 08:00:00 AM,4.415,0.0,,,,
40,2019/12/12 09:00:00 AM,4.415,0.0,,,,
41,2019/12/12 10:00:00 AM,4.415,0.0,,,,
42,2019/12/12 11:00:00 AM,4.415,0.0,,,,
43,2019/12/12 12:00:00 PM,4.415,0.0,,,,
44,2019/12/12 01:00:00 PM,4.415,0.0,,,,
45,2019/12/12 02:00:00 PM,4.415,0.0,,,,
46,2019/12/12 03:00:00 PM,4.415,0.0,,,,
47,2019/12/12 04:00:00 PM,4.415,0.0,,,,
48,2019/12/12 05:00:00 PM,4.415,0.0,,,,
49,2019/12/12 06:00:00 PM,4.415,0.0,,,,
50,2019/12/12 07:00:00 PM,4.415,0.0,,,,
51,2019/12/12 08:00:00 PM,4.415,0.0,,,,
52,2019/12/12 09:00:00 PM,4.415,0.0,,,,
53,2019/12/12 10:00:00 PM,4.415,0.0,,,,
54,2019/12/12 11:00:00 PM,4.415,0.0,,,,
55,2019/12/13 12:00:00 AM,4.415,0.0,,,,
56,2019/12/13 01:00:00 AM,4.415,0.0,,,,
57,2019/12/13 02:00:00 AM,4.415,0.0,,,,
58,2019/12/13 03:00:00 AM,4.415,0.0,,,,
59,2019/12/13 04:00:00 AM,4.415,0.0,,,,
60,2019/12/13 05:00:00 AM,4.415,0.0,,,,
61,2019/12/13 06:00:00 AM,4.415,0.0,,,,
62,2019/12/13 07:00:00 AM,4.415,0.0,,,,
63,2019/12/13 08:00:00 AM,4.415,0.0,,,,
64,2019/12/13 09:00:00 AM,4.415,0.0,,,,
65,2019/12/13 10:00:00 AM,4.415,0.0,,,,
66,2019/12/13 11:00:00 AM,4.415,0.0,,,,
67,2019/12/13 12:00:00 PM,4.415,0.0,,,,
