"Plot Title: 13"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262353, SEN S/N: 2262353)","Coupler Attached (LGR S/N: 2262353)","Host Connected (LGR S/N: 2262353)","Coupler Detached (LGR S/N: 2262353)","Stopped (LGR S/N: 2262353)","End Of File (LGR S/N: 2262353)"
1,2019/11/25 08:04:04 AM,22.238,,,,,
2,2019/11/25 09:04:04 AM,22.333,,,,,
3,2019/11/25 10:04:04 AM,-16.934,,,,,
4,2019/11/25 11:04:04 AM,-22.911,,,,,
5,2019/11/25 12:04:04 PM,-21.891,,,,,
6,2019/11/25 01:04:04 PM,-23.755,,,,,
7,2019/11/25 02:04:04 PM,-24.406,,,,,
8,2019/11/25 03:04:04 PM,-22.092,,,,,
9,2019/11/25 04:04:04 PM,-21.691,,,,,
10,2019/11/25 05:04:04 PM,-23.755,,,,,
11,2019/11/25 06:04:04 PM,-21.691,,,,,
12,2019/11/25 06:34:29 PM,,Logged,Logged,,,
13,2019/11/25 06:34:36 PM,,,,Logged,,
14,2019/11/25 07:04:04 PM,4.934,,,,,
15,2019/11/25 08:04:04 PM,18.140,,,,,
16,2019/11/25 09:04:04 PM,20.615,,,,,
17,2019/11/25 10:04:04 PM,21.187,,,,,
18,2019/11/25 11:04:04 PM,21.378,,,,,
19,2019/11/26 12:04:04 AM,22.142,,,,,
20,2019/11/26 01:04:04 AM,21.664,,,,,
21,2019/11/26 02:04:04 AM,21.187,,,,,
22,2019/11/26 03:04:04 AM,20.901,,,,,
23,2019/11/26 04:04:04 AM,20.710,,,,,
24,2019/11/26 05:04:04 AM,20.615,,,,,
25,2019/11/26 06:04:04 AM,20.519,,,,,
26,2019/11/26 07:04:04 AM,20.519,,,,,
27,2019/11/26 08:04:04 AM,19.758,,,,,
28,2019/11/26 09:04:04 AM,20.805,,,,,
29,2019/11/26 10:04:04 AM,21.378,,,,,
30,2019/11/26 11:04:04 AM,21.760,,,,,
31,2019/11/26 12:04:04 PM,21.760,,,,,
32,2019/11/26 01:04:04 PM,21.951,,,,,
33,2019/11/26 02:04:04 PM,22.333,,,,,
34,2019/11/26 03:04:04 PM,22.429,,,,,
35,2019/11/26 04:04:04 PM,21.951,,,,,
36,2019/11/26 05:04:04 PM,19.377,,,,,
37,2019/11/26 06:04:04 PM,16.713,,,,,
38,2019/11/26 07:04:04 PM,18.236,,,,,
39,2019/11/26 08:04:04 PM,19.282,,,,,
40,2019/11/26 09:04:04 PM,20.996,,,,,
41,2019/11/26 09:28:42 PM,,Logged,Logged,,,
42,2019/11/26 09:28:46 PM,,,,,Logged,Logged
