"Plot Title: 14"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786027, SEN S/N: 9786027)","Coupler Attached (LGR S/N: 9786027)","Host Connected (LGR S/N: 9786027)","Stopped (LGR S/N: 9786027)","End Of File (LGR S/N: 9786027)"
1,2019/11/25 08:04:04 PM,18.616,,,,
2,2019/11/25 09:04:04 PM,20.519,,,,
3,2019/11/25 10:04:04 PM,21.187,,,,
4,2019/11/25 11:04:04 PM,21.282,,,,
5,2019/11/26 12:04:04 AM,22.908,,,,
6,2019/11/26 01:04:04 AM,22.046,,,,
7,2019/11/26 02:04:04 AM,21.473,,,,
8,2019/11/26 03:04:04 AM,21.091,,,,
9,2019/11/26 04:04:04 AM,20.805,,,,
10,2019/11/26 05:04:04 AM,20.615,,,,
11,2019/11/26 06:04:04 AM,20.519,,,,
12,2019/11/26 07:04:04 AM,20.519,,,,
13,2019/11/26 08:04:04 AM,20.138,,,,
14,2019/11/26 09:04:04 AM,21.091,,,,
15,2019/11/26 10:04:04 AM,21.473,,,,
16,2019/11/26 11:04:04 AM,21.855,,,,
17,2019/11/26 12:04:04 PM,21.664,,,,
18,2019/11/26 01:04:04 PM,21.951,,,,
19,2019/11/26 02:04:04 PM,22.333,,,,
20,2019/11/26 03:04:04 PM,22.238,,,,
21,2019/11/26 04:04:04 PM,22.429,,,,
22,2019/11/26 05:04:04 PM,18.521,,,,
23,2019/11/26 06:04:04 PM,16.427,,,,
24,2019/11/26 07:04:04 PM,18.426,,,,
25,2019/11/26 08:04:04 PM,19.377,,,,
26,2019/11/26 09:04:04 PM,21.091,,,,
27,2019/11/26 09:30:13 PM,,Logged,Logged,,
28,2019/11/26 09:30:20 PM,,,,Logged,Logged
