"Plot Title: 14"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786027, SEN S/N: 9786027)","Coupler Attached (LGR S/N: 9786027)","Host Connected (LGR S/N: 9786027)","Stopped (LGR S/N: 9786027)","End Of File (LGR S/N: 9786027)"
1,2020/02/08 07:00:00 PM,21.664,,,,
2,2020/02/08 08:00:00 PM,21.569,,,,
3,2020/02/08 09:00:00 PM,18.236,,,,
4,2020/02/08 10:00:00 PM,13.461,,,,
5,2020/02/08 11:00:00 PM,10.553,,,,
6,2020/02/09 12:00:00 AM,10.161,,,,
7,2020/02/09 01:00:00 AM,10.063,,,,
8,2020/02/09 02:00:00 AM,9.965,,,,
9,2020/02/09 03:00:00 AM,9.965,,,,
10,2020/02/09 04:00:00 AM,9.965,,,,
11,2020/02/09 05:00:00 AM,9.965,,,,
12,2020/02/09 06:00:00 AM,9.965,,,,
13,2020/02/09 07:00:00 AM,9.965,,,,
14,2020/02/09 08:00:00 AM,9.965,,,,
15,2020/02/09 09:00:00 AM,9.965,,,,
16,2020/02/09 10:00:00 AM,15.760,,,,
17,2020/02/09 11:00:00 AM,19.187,,,,
18,2020/02/09 12:00:00 PM,19.853,,,,
19,2020/02/09 01:00:00 PM,20.138,,,,
20,2020/02/09 02:00:00 PM,19.948,,,,
21,2020/02/09 03:00:00 PM,20.138,,,,
22,2020/02/09 04:00:00 PM,21.855,,,,
23,2020/02/09 05:00:00 PM,21.760,,,,
24,2020/02/09 06:00:00 PM,21.760,,,,
25,2020/02/09 07:00:00 PM,21.664,,,,
26,2020/02/09 08:00:00 PM,21.664,,,,
27,2020/02/09 09:00:00 PM,18.806,,,,
28,2020/02/09 10:00:00 PM,13.750,,,,
29,2020/02/09 11:00:00 PM,10.259,,,,
30,2020/02/10 12:00:00 AM,10.357,,,,
31,2020/02/10 01:00:00 AM,10.357,,,,
32,2020/02/10 02:00:00 AM,10.259,,,,
33,2020/02/10 03:00:00 AM,10.259,,,,
34,2020/02/10 04:00:00 AM,10.259,,,,
35,2020/02/10 05:00:00 AM,10.259,,,,
36,2020/02/10 06:00:00 AM,10.259,,,,
37,2020/02/10 07:00:00 AM,10.357,,,,
38,2020/02/10 08:00:00 AM,10.357,,,,
39,2020/02/10 09:00:00 AM,12.980,,,,
40,2020/02/10 10:00:00 AM,18.045,,,,
41,2020/02/10 11:00:00 AM,21.760,,,,
42,2020/02/10 12:00:00 PM,21.855,,,,
43,2020/02/10 01:00:00 PM,21.760,,,,
44,2020/02/10 02:00:00 PM,21.760,,,,
45,2020/02/10 03:00:00 PM,21.760,,,,
46,2020/02/10 04:00:00 PM,21.664,,,,
47,2020/02/10 05:00:00 PM,21.760,,,,
48,2020/02/10 06:00:00 PM,21.760,,,,
49,2020/02/10 07:00:00 PM,21.664,,,,
50,2020/02/10 08:00:00 PM,21.569,,,,
51,2020/02/10 09:00:00 PM,18.806,,,,
52,2020/02/10 10:00:00 PM,13.846,,,,
53,2020/02/10 11:00:00 PM,10.357,,,,
54,2020/02/11 12:00:00 AM,10.259,,,,
55,2020/02/11 01:00:00 AM,10.259,,,,
56,2020/02/11 02:00:00 AM,10.259,,,,
57,2020/02/11 03:00:00 AM,10.259,,,,
58,2020/02/11 04:00:00 AM,10.357,,,,
59,2020/02/11 05:00:00 AM,10.259,,,,
60,2020/02/11 06:00:00 AM,10.357,,,,
61,2020/02/11 07:00:00 AM,10.259,,,,
62,2020/02/11 08:00:00 AM,10.259,,,,
63,2020/02/11 09:00:00 AM,12.980,,,,
64,2020/02/11 10:00:00 AM,18.045,,,,
65,2020/02/11 11:00:00 AM,21.473,,,,
66,2020/02/11 12:00:00 PM,21.473,,,,
67,2020/02/11 01:00:00 PM,21.473,,,,
68,2020/02/11 02:00:00 PM,21.473,,,,
69,2020/02/11 03:00:00 PM,21.378,,,,
70,2020/02/11 04:00:00 PM,21.569,,,,
71,2020/02/11 05:00:00 PM,21.473,,,,
72,2020/02/11 06:00:00 PM,21.855,,,,
73,2020/02/11 07:00:00 PM,21.760,,,,
74,2020/02/11 08:00:00 PM,21.664,,,,
75,2020/02/11 09:00:00 PM,18.806,,,,
76,2020/02/11 10:00:00 PM,13.846,,,,
77,2020/02/11 11:00:00 PM,10.259,,,,
78,2020/02/12 12:00:00 AM,10.259,,,,
79,2020/02/12 01:00:00 AM,10.357,,,,
80,2020/02/12 02:00:00 AM,10.259,,,,
81,2020/02/12 03:00:00 AM,10.259,,,,
82,2020/02/12 04:00:00 AM,10.357,,,,
83,2020/02/12 05:00:00 AM,10.357,,,,
84,2020/02/12 06:00:00 AM,10.259,,,,
85,2020/02/12 07:00:00 AM,10.259,,,,
86,2020/02/12 08:00:00 AM,10.259,,,,
87,2020/02/12 09:00:00 AM,13.076,,,,
88,2020/02/12 10:00:00 AM,18.045,,,,
89,2020/02/12 11:00:00 AM,21.760,,,,
90,2020/02/12 12:00:00 PM,21.760,,,,
91,2020/02/12 01:00:00 PM,21.664,,,,
92,2020/02/12 02:00:00 PM,21.664,,,,
93,2020/02/12 03:00:00 PM,21.760,,,,
94,2020/02/12 04:00:00 PM,21.760,,,,
95,2020/02/12 05:00:00 PM,21.760,,,,
96,2020/02/12 06:00:00 PM,21.760,,,,
97,2020/02/12 07:00:00 PM,21.569,,,,
98,2020/02/12 08:00:00 PM,21.569,,,,
99,2020/02/12 09:00:00 PM,18.806,,,,
100,2020/02/12 10:00:00 PM,13.750,,,,
101,2020/02/12 11:00:00 PM,10.259,,,,
102,2020/02/13 12:00:00 AM,10.259,,,,
103,2020/02/13 01:00:00 AM,10.259,,,,
104,2020/02/13 02:00:00 AM,10.357,,,,
105,2020/02/13 03:00:00 AM,10.259,,,,
106,2020/02/13 04:00:00 AM,10.259,,,,
107,2020/02/13 05:00:00 AM,10.259,,,,
108,2020/02/13 06:00:00 AM,10.259,,,,
109,2020/02/13 07:00:00 AM,10.259,,,,
110,2020/02/13 08:00:00 AM,10.357,,,,
111,2020/02/13 09:00:00 AM,12.980,,,,
112,2020/02/13 10:00:00 AM,17.950,,,,
113,2020/02/13 11:00:00 AM,21.378,,,,
114,2020/02/13 12:00:00 PM,21.473,,,,
115,2020/02/13 01:00:00 PM,21.473,,,,
116,2020/02/13 02:00:00 PM,21.569,,,,
117,2020/02/13 03:00:00 PM,21.091,,,,
118,2020/02/13 04:00:00 PM,20.996,,,,
119,2020/02/13 05:00:00 PM,21.091,,,,
120,2020/02/13 06:00:00 PM,20.996,,,,
121,2020/02/13 07:00:00 PM,20.901,,,,
122,2020/02/13 08:00:00 PM,20.996,,,,
123,2020/02/13 09:00:00 PM,18.236,,,,
124,2020/02/13 10:00:00 PM,13.365,,,,
125,2020/02/13 11:00:00 PM,10.259,,,,
126,2020/02/14 12:00:00 AM,10.259,,,,
127,2020/02/14 01:00:00 AM,10.161,,,,
128,2020/02/14 02:00:00 AM,10.161,,,,
129,2020/02/14 03:00:00 AM,10.161,,,,
130,2020/02/14 04:00:00 AM,10.161,,,,
131,2020/02/14 05:00:00 AM,10.259,,,,
132,2020/02/14 06:00:00 AM,10.161,,,,
133,2020/02/14 07:00:00 AM,10.259,,,,
134,2020/02/14 08:00:00 AM,10.259,,,,
135,2020/02/14 09:00:00 AM,12.883,,,,
136,2020/02/14 10:00:00 AM,17.760,,,,
137,2020/02/14 11:00:00 AM,20.901,,,,
138,2020/02/14 12:00:00 PM,20.996,,,,
139,2020/02/14 01:00:00 PM,20.996,,,,
140,2020/02/14 02:00:00 PM,20.996,,,,
141,2020/02/14 03:00:00 PM,20.996,,,,
142,2020/02/14 04:00:00 PM,20.996,,,,
143,2020/02/14 05:00:00 PM,21.282,,,,
144,2020/02/14 06:00:00 PM,21.282,,,,
145,2020/02/14 07:00:00 PM,21.187,,,,
146,2020/02/14 08:00:00 PM,21.187,,,,
147,2020/02/14 09:00:00 PM,18.806,,,,
148,2020/02/14 10:00:00 PM,14.134,,,,
149,2020/02/14 11:00:00 PM,10.748,,,,
150,2020/02/15 12:00:00 AM,10.455,,,,
151,2020/02/15 01:00:00 AM,10.259,,,,
152,2020/02/15 02:00:00 AM,10.259,,,,
153,2020/02/15 03:00:00 AM,10.259,,,,
154,2020/02/15 04:00:00 AM,10.259,,,,
155,2020/02/15 05:00:00 AM,10.259,,,,
156,2020/02/15 06:00:00 AM,10.259,,,,
157,2020/02/15 07:00:00 AM,10.259,,,,
158,2020/02/15 08:00:00 AM,10.259,,,,
159,2020/02/15 09:00:00 AM,12.497,,,,
160,2020/02/15 10:00:00 AM,17.189,,,,
161,2020/02/15 11:00:00 AM,20.805,,,,
162,2020/02/15 12:00:00 PM,21.091,,,,
163,2020/02/15 01:00:00 PM,21.187,,,,
164,2020/02/15 02:00:00 PM,21.187,,,,
165,2020/02/15 03:00:00 PM,21.569,,,,
166,2020/02/15 04:00:00 PM,21.473,,,,
167,2020/02/15 05:00:00 PM,21.473,,,,
168,2020/02/15 06:00:00 PM,21.282,,,,
169,2020/02/15 07:00:00 PM,21.282,,,,
