"Plot Title: 15"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262364, SEN S/N: 2262364)","Coupler Attached (LGR S/N: 2262364)","Host Connected (LGR S/N: 2262364)","Coupler Detached (LGR S/N: 2262364)","End Of File (LGR S/N: 2262364)"
1,2019/11/27 12:30:00 PM,4.311,,,,
2,2019/11/27 01:30:00 PM,4.311,,,,
3,2019/11/27 02:30:00 PM,4.311,,,,
4,2019/11/27 03:30:00 PM,4.311,,,,
5,2019/11/27 04:30:00 PM,4.311,,,,
6,2019/11/27 05:30:00 PM,3.893,,,,
7,2019/11/27 06:30:00 PM,4.311,,,,
8,2019/11/27 07:30:00 PM,4.311,,,,
9,2019/11/27 08:30:00 PM,4.311,,,,
10,2019/11/27 09:30:00 PM,4.311,,,,
11,2019/11/27 10:30:00 PM,4.311,,,,
12,2019/11/27 11:30:00 PM,3.893,,,,
13,2019/11/28 12:30:00 AM,4.311,,,,
14,2019/11/28 01:30:00 AM,4.311,,,,
15,2019/11/28 02:30:00 AM,4.311,,,,
16,2019/11/28 03:30:00 AM,4.311,,,,
17,2019/11/28 04:30:00 AM,4.311,,,,
18,2019/11/28 05:30:00 AM,3.893,,,,
19,2019/11/28 06:30:00 AM,4.311,,,,
20,2019/11/28 07:30:00 AM,4.311,,,,
21,2019/11/28 08:30:00 AM,4.311,,,,
22,2019/11/28 09:30:00 AM,4.311,,,,
23,2019/11/28 10:30:00 AM,4.311,,,,
24,2019/11/28 11:30:00 AM,3.893,,,,
25,2019/11/28 12:30:00 PM,4.311,,,,
26,2019/11/28 01:30:00 PM,4.311,,,,
27,2019/11/28 02:30:00 PM,4.311,,,,
28,2019/11/28 03:30:00 PM,4.311,,,,
29,2019/11/28 04:30:00 PM,4.311,,,,
30,2019/11/28 05:30:00 PM,3.893,,,,
31,2019/11/28 06:30:00 PM,4.311,,,,
32,2019/11/28 07:30:00 PM,4.311,,,,
33,2019/11/28 08:30:00 PM,4.311,,,,
34,2019/11/28 09:30:00 PM,4.311,,,,
35,2019/11/28 10:30:00 PM,4.311,,,,
36,2019/11/28 11:30:00 PM,3.893,,,,
37,2019/11/29 12:30:00 AM,4.311,,,,
38,2019/11/29 01:30:00 AM,4.311,,,,
39,2019/11/29 02:30:00 AM,4.311,,,,
40,2019/11/29 03:30:00 AM,4.311,,,,
41,2019/11/29 04:30:00 AM,4.311,,,,
