"Plot Title: 16"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786046, SEN S/N: 9786046)","Bad Battery (LGR S/N: 9786046)","Good Battery (LGR S/N: 9786046)","Coupler Attached (LGR S/N: 9786046)","Host Connected (LGR S/N: 9786046)","Stopped (LGR S/N: 9786046)","End Of File (LGR S/N: 9786046)"
1,2019/11/25 08:04:04 AM,22.238,,,,,,
2,2019/11/25 09:04:04 AM,22.333,,,,,,
3,2019/11/25 10:04:04 AM,-21.101,,,,,,
4,2019/11/25 11:04:04 AM,-23.541,,,,,,
5,2019/11/25 12:04:04 PM,-21.891,,,,,,
6,2019/11/25 01:04:04 PM,-23.970,,,,,,
7,2019/11/25 02:04:04 PM,-24.626,,,,,,
8,2019/11/25 03:04:04 PM,-21.691,,,,,,
9,2019/11/25 04:04:04 PM,-23.119,,,,,,
10,2019/11/25 05:04:04 PM,-23.329,Logged,,,,,
11,2019/11/25 06:04:04 PM,-22.294,,,,,,
12,2019/11/25 07:04:04 PM,0.674,,,,,,
13,2019/11/25 08:04:04 PM,18.901,,Logged,,,,
14,2019/11/25 09:04:04 PM,20.615,,,,,,
15,2019/11/25 10:04:04 PM,21.378,,,,,,
16,2019/11/25 11:04:04 PM,21.569,,,,,,
17,2019/11/26 12:04:04 AM,22.333,,,,,,
18,2019/11/26 01:04:04 AM,21.855,,,,,,
19,2019/11/26 02:04:04 AM,21.282,,,,,,
20,2019/11/26 03:04:04 AM,20.996,,,,,,
21,2019/11/26 04:04:04 AM,20.710,,,,,,
22,2019/11/26 05:04:04 AM,20.615,,,,,,
23,2019/11/26 06:04:04 AM,20.519,,,,,,
24,2019/11/26 07:04:04 AM,20.519,,,,,,
25,2019/11/26 08:04:04 AM,19.853,,,,,,
26,2019/11/26 09:04:04 AM,20.901,,,,,,
27,2019/11/26 10:04:04 AM,21.378,,,,,,
28,2019/11/26 11:04:04 AM,21.760,,,,,,
29,2019/11/26 12:04:04 PM,21.664,,,,,,
30,2019/11/26 01:04:04 PM,21.855,,,,,,
31,2019/11/26 02:04:04 PM,22.238,,,,,,
32,2019/11/26 03:04:04 PM,22.333,,,,,,
33,2019/11/26 04:04:04 PM,22.142,,,,,,
34,2019/11/26 05:04:04 PM,18.521,,,,,,
35,2019/11/26 06:04:04 PM,16.427,,,,,,
36,2019/11/26 07:04:04 PM,18.331,,,,,,
37,2019/11/26 08:04:04 PM,19.377,,,,,,
38,2019/11/26 09:04:04 PM,21.091,,,,,,
39,2019/11/26 09:34:20 PM,,,,Logged,Logged,,
40,2019/11/26 09:34:53 PM,,,,,,Logged,Logged
