"Plot Title: 16"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786046, SEN S/N: 9786046)","Coupler Attached (LGR S/N: 9786046)","Host Connected (LGR S/N: 9786046)","Stopped (LGR S/N: 9786046)","End Of File (LGR S/N: 9786046)"
1,2019/12/10 06:00:00 PM,9.373,,,,
2,2019/12/10 07:00:00 PM,4.311,,,,
3,2019/12/10 08:00:00 PM,4.311,,,,
4,2019/12/10 09:00:00 PM,4.311,,,,
5,2019/12/10 10:00:00 PM,4.311,,,,
6,2019/12/10 11:00:00 PM,4.311,,,,
7,2019/12/11 12:00:00 AM,4.311,,,,
8,2019/12/11 01:00:00 AM,4.311,,,,
9,2019/12/11 02:00:00 AM,4.311,,,,
10,2019/12/11 03:00:00 AM,4.311,,,,
11,2019/12/11 04:00:00 AM,4.311,,,,
12,2019/12/11 05:00:00 AM,4.311,,,,
13,2019/12/11 06:00:00 AM,4.311,,,,
14,2019/12/11 07:00:00 AM,4.311,,,,
15,2019/12/11 08:00:00 AM,4.311,,,,
16,2019/12/11 09:00:00 AM,4.311,,,,
17,2019/12/11 10:00:00 AM,4.311,,,,
18,2019/12/11 11:00:00 AM,4.311,,,,
19,2019/12/11 12:00:00 PM,4.311,,,,
20,2019/12/11 01:00:00 PM,4.311,,,,
21,2019/12/11 02:00:00 PM,4.311,,,,
22,2019/12/11 03:00:00 PM,4.311,,,,
23,2019/12/11 04:00:00 PM,4.311,,,,
24,2019/12/11 05:00:00 PM,4.311,,,,
25,2019/12/11 06:00:00 PM,4.311,,,,
26,2019/12/11 07:00:00 PM,4.311,,,,
27,2019/12/11 08:00:00 PM,4.311,,,,
28,2019/12/11 09:00:00 PM,4.311,,,,
29,2019/12/11 10:00:00 PM,4.311,,,,
30,2019/12/11 11:00:00 PM,4.311,,,,
31,2019/12/12 12:00:00 AM,4.311,,,,
32,2019/12/12 01:00:00 AM,4.311,,,,
33,2019/12/12 02:00:00 AM,4.311,,,,
34,2019/12/12 03:00:00 AM,4.311,,,,
35,2019/12/12 04:00:00 AM,4.311,,,,
36,2019/12/12 05:00:00 AM,4.311,,,,
37,2019/12/12 06:00:00 AM,4.311,,,,
38,2019/12/12 07:00:00 AM,4.311,,,,
39,2019/12/12 08:00:00 AM,4.311,,,,
40,2019/12/12 09:00:00 AM,4.311,,,,
41,2019/12/12 10:00:00 AM,4.311,,,,
42,2019/12/12 11:00:00 AM,4.311,,,,
43,2019/12/12 12:00:00 PM,4.311,,,,
44,2019/12/12 01:00:00 PM,4.311,,,,
45,2019/12/12 02:00:00 PM,4.311,,,,
46,2019/12/12 03:00:00 PM,4.311,,,,
47,2019/12/12 04:00:00 PM,4.311,,,,
48,2019/12/12 05:00:00 PM,4.311,,,,
49,2019/12/12 06:00:00 PM,4.311,,,,
50,2019/12/12 07:00:00 PM,4.311,,,,
51,2019/12/12 08:00:00 PM,4.311,,,,
52,2019/12/12 09:00:00 PM,4.311,,,,
53,2019/12/12 10:00:00 PM,4.311,,,,
54,2019/12/12 11:00:00 PM,4.311,,,,
55,2019/12/13 12:00:00 AM,4.311,,,,
56,2019/12/13 01:00:00 AM,4.311,,,,
57,2019/12/13 02:00:00 AM,4.311,,,,
58,2019/12/13 03:00:00 AM,4.311,,,,
59,2019/12/13 04:00:00 AM,4.311,,,,
60,2019/12/13 05:00:00 AM,4.311,,,,
61,2019/12/13 06:00:00 AM,4.311,,,,
62,2019/12/13 07:00:00 AM,4.311,,,,
63,2019/12/13 08:00:00 AM,4.311,,,,
64,2019/12/13 09:00:00 AM,4.311,,,,
65,2019/12/13 10:00:00 AM,4.311,,,,
66,2019/12/13 11:00:00 AM,4.311,,,,
67,2019/12/13 12:00:00 PM,4.311,,,,
68,2019/12/13 01:00:00 PM,4.311,,,,
69,2019/12/13 02:00:00 PM,4.519,,,,
70,2019/12/13 03:00:00 PM,4.415,,,,
71,2019/12/13 04:00:00 PM,4.623,,,,
