"Plot Title: E800F6"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262365, SEN S/N: 2262365)","Coupler Attached (LGR S/N: 2262365)","Host Connected (LGR S/N: 2262365)","Stopped (LGR S/N: 2262365)","End Of File (LGR S/N: 2262365)"
1,2019/11/25 08:00:00 AM,22.333,,,,
2,2019/11/25 09:00:00 AM,22.333,,,,
3,2019/11/25 10:00:00 AM,-15.124,,,,
4,2019/11/25 11:00:00 AM,-22.498,,,,
5,2019/11/25 12:00:00 PM,-21.691,,,,
6,2019/11/25 01:00:00 PM,-23.329,,,,
7,2019/11/25 02:00:00 PM,-24.187,,,,
8,2019/11/25 03:00:00 PM,-22.092,,,,
9,2019/11/25 04:00:00 PM,-22.911,,,,
10,2019/11/25 05:00:00 PM,-23.755,,,,
11,2019/11/25 06:00:00 PM,-21.891,,,,
12,2019/11/25 07:00:00 PM,2.303,,,,
13,2019/11/25 08:00:00 PM,18.996,,,,
14,2019/11/25 09:00:00 PM,20.710,,,,
15,2019/11/25 10:00:00 PM,21.282,,,,
16,2019/11/25 11:00:00 PM,21.473,,,,
17,2019/11/26 12:00:00 AM,22.333,,,,
18,2019/11/26 01:00:00 AM,22.046,,,,
19,2019/11/26 02:00:00 AM,21.473,,,,
20,2019/11/26 03:00:00 AM,21.187,,,,
21,2019/11/26 04:00:00 AM,20.901,,,,
22,2019/11/26 05:00:00 AM,20.805,,,,
23,2019/11/26 06:00:00 AM,20.710,,,,
24,2019/11/26 07:00:00 AM,20.710,,,,
25,2019/11/26 08:00:00 AM,20.138,,,,
26,2019/11/26 09:00:00 AM,20.805,,,,
27,2019/11/26 10:00:00 AM,21.378,,,,
28,2019/11/26 11:00:00 AM,21.664,,,,
29,2019/11/26 12:00:00 PM,21.760,,,,
30,2019/11/26 01:00:00 PM,21.855,,,,
31,2019/11/26 02:00:00 PM,22.238,,,,
32,2019/11/26 03:00:00 PM,22.429,,,,
33,2019/11/26 04:00:00 PM,22.333,,,,
34,2019/11/26 05:00:00 PM,17.950,,,,
35,2019/11/26 06:00:00 PM,16.141,,,,
36,2019/11/26 07:00:00 PM,18.521,,,,
37,2019/11/26 08:00:00 PM,19.567,,,,
38,2019/11/26 08:57:09 PM,,Logged,Logged,,
39,2019/11/26 08:57:29 PM,,,,Logged,Logged
