"Plot Title: 2"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262365, SEN S/N: 2262365)","Host Connected (LGR S/N: 2262365)","Coupler Attached (LGR S/N: 2262365)","Coupler Detached (LGR S/N: 2262365)","Stopped (LGR S/N: 2262365)","End Of File (LGR S/N: 2262365)"
1,2019/11/27 12:00:00 PM,21.282,,,,,
2,2019/11/27 01:00:00 PM,21.187,,,,,
3,2019/11/27 02:00:00 PM,21.282,,,,,
4,2019/11/27 03:00:00 PM,21.282,,,,,
5,2019/11/27 04:00:00 PM,21.282,,,,,
6,2019/11/27 05:00:00 PM,21.282,,,,,
7,2019/11/27 06:00:00 PM,21.187,,,,,
8,2019/11/27 07:00:00 PM,21.282,,,,,
9,2019/11/27 08:00:00 PM,21.282,,,,,
10,2019/11/27 09:00:00 PM,15.855,,,,,
11,2019/11/27 10:00:00 PM,11.041,,,,,
12,2019/11/27 11:00:00 PM,10.651,,,,,
13,2019/11/28 12:00:00 AM,10.553,,,,,
14,2019/11/28 01:00:00 AM,10.553,,,,,
15,2019/11/28 02:00:00 AM,10.553,,,,,
16,2019/11/28 03:00:00 AM,10.553,,,,,
17,2019/11/28 04:00:00 AM,10.553,,,,,
18,2019/11/28 05:00:00 AM,10.553,,,,,
19,2019/11/28 06:00:00 AM,10.553,,,,,
20,2019/11/28 07:00:00 AM,10.553,,,,,
21,2019/11/28 08:00:00 AM,10.553,,,,,
22,2019/11/28 09:00:00 AM,15.951,,,,,
23,2019/11/28 10:00:00 AM,20.805,,,,,
24,2019/11/28 11:00:00 AM,21.187,,,,,
25,2019/11/28 12:00:00 PM,21.187,,,,,
26,2019/11/28 01:00:00 PM,21.282,,,,,
27,2019/11/28 02:00:00 PM,21.187,,,,,
28,2019/11/28 03:00:00 PM,21.187,,,,,
29,2019/11/28 04:00:00 PM,21.187,,,,,
30,2019/11/28 05:00:00 PM,21.282,,,,,
31,2019/11/28 06:00:00 PM,21.282,,,,,
32,2019/11/28 07:00:00 PM,21.282,,,,,
33,2019/11/28 08:00:00 PM,21.187,,,,,
34,2019/11/28 09:00:00 PM,15.855,,,,,
35,2019/11/28 10:00:00 PM,11.041,,,,,
36,2019/11/28 11:00:00 PM,10.553,,,,,
37,2019/11/29 12:00:00 AM,10.455,,,,,
38,2019/11/29 01:00:00 AM,10.455,,,,,
39,2019/11/29 02:00:00 AM,10.455,,,,,
40,2019/11/29 03:00:00 AM,10.455,,,,,
41,2019/11/29 04:00:00 AM,10.455,,,,,
42,2019/11/29 05:00:00 AM,10.455,,,,,
43,2019/11/29 06:00:00 AM,10.455,,,,,
44,2019/11/29 07:00:00 AM,10.455,,,,,
45,2019/11/29 08:00:00 AM,10.553,,,,,
46,2019/11/29 09:00:00 AM,15.760,,,,,
47,2019/11/29 10:00:00 AM,20.710,,,,,
