"Plot Title: E645K11"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262346, SEN S/N: 2262346)","Coupler Attached (LGR S/N: 2262346)","Host Connected (LGR S/N: 2262346)","Coupler Detached (LGR S/N: 2262346)","Stopped (LGR S/N: 2262346)","End Of File (LGR S/N: 2262346)"
1,2019/11/25 08:00:00 AM,22.238,,,,,
2,2019/11/25 09:00:00 AM,22.333,,,,,
3,2019/11/25 10:00:00 AM,-15.446,,,,,
4,2019/11/25 11:00:00 AM,-22.498,,,,,
5,2019/11/25 12:00:00 PM,-21.493,,,,,
6,2019/11/25 01:00:00 PM,-23.329,,,,,
7,2019/11/25 02:00:00 PM,-24.187,,,,,
8,2019/11/25 03:00:00 PM,-21.691,,,,,
9,2019/11/25 04:00:00 PM,-22.294,,,,,
10,2019/11/25 05:00:00 PM,-24.187,,,,,
11,2019/11/25 06:00:00 PM,-21.891,,,,,
12,2019/11/25 07:00:00 PM,0.232,,,,,
13,2019/11/25 07:30:07 PM,,Logged,Logged,,,
14,2019/11/25 07:30:44 PM,,,,Logged,,
15,2019/11/25 08:00:00 PM,19.662,,,,,
16,2019/11/25 09:00:00 PM,20.805,,,,,
17,2019/11/25 10:00:00 PM,21.282,,,,,
18,2019/11/25 11:00:00 PM,21.473,,,,,
19,2019/11/26 12:00:00 AM,22.908,,,,,
20,2019/11/26 01:00:00 AM,22.142,,,,,
21,2019/11/26 02:00:00 AM,21.569,,,,,
22,2019/11/26 03:00:00 AM,21.187,,,,,
23,2019/11/26 04:00:00 AM,20.901,,,,,
24,2019/11/26 05:00:00 AM,20.805,,,,,
25,2019/11/26 06:00:00 AM,20.710,,,,,
26,2019/11/26 07:00:00 AM,20.710,,,,,
27,2019/11/26 08:00:00 AM,20.234,,,,,
28,2019/11/26 09:00:00 AM,20.805,,,,,
29,2019/11/26 10:00:00 AM,21.473,,,,,
30,2019/11/26 11:00:00 AM,21.855,,,,,
31,2019/11/26 12:00:00 PM,21.760,,,,,
32,2019/11/26 01:00:00 PM,22.046,,,,,
33,2019/11/26 02:00:00 PM,22.333,,,,,
34,2019/11/26 03:00:00 PM,22.429,,,,,
35,2019/11/26 04:00:00 PM,22.046,,,,,
36,2019/11/26 05:00:00 PM,19.758,,,,,
37,2019/11/26 06:00:00 PM,16.618,,,,,
38,2019/11/26 07:00:00 PM,18.140,,,,,
39,2019/11/26 08:00:00 PM,19.282,,,,,
40,2019/11/26 09:00:00 PM,21.473,,,,,
41,2019/11/26 09:13:58 PM,,Logged,Logged,,,
42,2019/11/26 09:14:03 PM,,,,,Logged,Logged
