"Plot Title: E710C3"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262320, SEN S/N: 2262320)","Coupler Attached (LGR S/N: 2262320)","Host Connected (LGR S/N: 2262320)","Stopped (LGR S/N: 2262320)","End Of File (LGR S/N: 2262320)"
1,2019/11/25 08:00:00 AM,22.238,,,,
2,2019/11/25 09:00:00 AM,22.238,,,,
3,2019/11/25 10:00:00 AM,-19.217,,,,
4,2019/11/25 11:00:00 AM,-23.541,,,,
5,2019/11/25 12:00:00 PM,-22.092,,,,
6,2019/11/25 01:00:00 PM,-23.755,,,,
7,2019/11/25 02:00:00 PM,-24.626,,,,
8,2019/11/25 03:00:00 PM,-22.092,,,,
9,2019/11/25 04:00:00 PM,-22.911,,,,
10,2019/11/25 05:00:00 PM,-23.970,,,,
11,2019/11/25 06:00:00 PM,-22.092,,,,
12,2019/11/25 07:00:00 PM,5.347,,,,
13,2019/11/25 08:00:00 PM,17.760,,,,
14,2019/11/25 09:00:00 PM,20.424,,,,
15,2019/11/25 10:00:00 PM,21.282,,,,
16,2019/11/25 11:00:00 PM,21.473,,,,
17,2019/11/26 12:00:00 AM,23.292,,,,
18,2019/11/26 01:00:00 AM,22.429,,,,
19,2019/11/26 02:00:00 AM,21.664,,,,
20,2019/11/26 03:00:00 AM,21.282,,,,
21,2019/11/26 04:00:00 AM,20.996,,,,
22,2019/11/26 05:00:00 AM,20.805,,,,
23,2019/11/26 06:00:00 AM,20.710,,,,
24,2019/11/26 07:00:00 AM,20.710,,,,
25,2019/11/26 08:00:00 AM,20.519,,,,
26,2019/11/26 09:00:00 AM,20.901,,,,
27,2019/11/26 10:00:00 AM,21.473,,,,
28,2019/11/26 11:00:00 AM,21.760,,,,
29,2019/11/26 12:00:00 PM,21.760,,,,
30,2019/11/26 01:00:00 PM,21.951,,,,
31,2019/11/26 02:00:00 PM,22.333,,,,
32,2019/11/26 03:00:00 PM,22.429,,,,
33,2019/11/26 04:00:00 PM,21.951,,,,
34,2019/11/26 05:00:00 PM,19.282,,,,
35,2019/11/26 06:00:00 PM,16.427,,,,
36,2019/11/26 07:00:00 PM,18.426,,,,
37,2019/11/26 08:00:00 PM,19.472,,,,
38,2019/11/26 09:00:00 PM,20.996,,,,
39,2019/11/26 09:15:48 PM,,Logged,Logged,,
40,2019/11/26 09:15:53 PM,,,,Logged,Logged
