"Plot Title: 6"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262320, SEN S/N: 2262320)","Coupler Attached (LGR S/N: 2262320)","Host Connected (LGR S/N: 2262320)","Coupler Detached (LGR S/N: 2262320)","End Of File (LGR S/N: 2262320)"
1,2019/11/27 12:00:00 PM,16.523,,,,
2,2019/11/27 01:00:00 PM,16.618,,,,
3,2019/11/27 02:00:00 PM,16.618,,,,
4,2019/11/27 03:00:00 PM,16.523,,,,
5,2019/11/27 04:00:00 PM,16.713,,,,
6,2019/11/27 05:00:00 PM,16.713,,,,
7,2019/11/27 06:00:00 PM,16.618,,,,
8,2019/11/27 07:00:00 PM,15.378,,,,
9,2019/11/27 08:00:00 PM,15.378,,,,
10,2019/11/27 09:00:00 PM,11.625,,,,
11,2019/11/27 10:00:00 PM,6.877,,,,
12,2019/11/27 11:00:00 PM,5.860,,,,
13,2019/11/28 12:00:00 AM,5.655,,,,
14,2019/11/28 01:00:00 AM,5.552,,,,
15,2019/11/28 02:00:00 AM,5.552,,,,
16,2019/11/28 03:00:00 AM,5.552,,,,
17,2019/11/28 04:00:00 AM,5.552,,,,
18,2019/11/28 05:00:00 AM,5.552,,,,
19,2019/11/28 06:00:00 AM,5.552,,,,
20,2019/11/28 07:00:00 AM,5.552,,,,
21,2019/11/28 08:00:00 AM,5.552,,,,
22,2019/11/28 09:00:00 AM,9.472,,,,
23,2019/11/28 10:00:00 AM,14.038,,,,
24,2019/11/28 11:00:00 AM,16.332,,,,
25,2019/11/28 12:00:00 PM,16.427,,,,
26,2019/11/28 01:00:00 PM,16.618,,,,
27,2019/11/28 02:00:00 PM,16.618,,,,
28,2019/11/28 03:00:00 PM,16.618,,,,
29,2019/11/28 04:00:00 PM,16.999,,,,
30,2019/11/28 05:00:00 PM,17.189,,,,
31,2019/11/28 06:00:00 PM,18.236,,,,
32,2019/11/28 07:00:00 PM,15.473,,,,
33,2019/11/28 08:00:00 PM,15.473,,,,
34,2019/11/28 09:00:00 PM,11.722,,,,
35,2019/11/28 10:00:00 PM,7.179,,,,
36,2019/11/28 11:00:00 PM,5.962,,,,
37,2019/11/29 12:00:00 AM,5.757,,,,
38,2019/11/29 01:00:00 AM,5.655,,,,
39,2019/11/29 02:00:00 AM,5.552,,,,
40,2019/11/29 03:00:00 AM,5.552,,,,
41,2019/11/29 04:00:00 AM,5.552,,,,
42,2019/11/29 05:00:00 AM,5.552,,,,
43,2019/11/29 06:00:00 AM,5.552,,,,
44,2019/11/29 07:00:00 AM,5.552,,,,
45,2019/11/29 08:00:00 AM,5.552,,,,
46,2019/11/29 09:00:00 AM,9.176,,,,
47,2019/11/29 10:00:00 AM,13.846,,,,
48,2019/11/29 11:00:00 AM,17.760,,,,
49,2019/11/29 12:00:00 PM,18.045,,,,
50,2019/11/29 01:00:00 PM,18.045,,,,
51,2019/11/29 02:00:00 PM,17.475,,,,
52,2019/11/29 03:00:00 PM,17.284,,,,
53,2019/11/29 04:00:00 PM,17.284,,,,
54,2019/11/29 05:00:00 PM,17.284,,,,
55,2019/11/29 06:00:00 PM,17.379,,,,
56,2019/11/29 07:00:00 PM,15.473,,,,
57,2019/11/29 08:00:00 PM,15.378,,,,
58,2019/11/29 09:00:00 PM,11.625,,,,
59,2019/11/29 10:00:00 PM,6.877,,,,
60,2019/11/29 11:00:00 PM,5.860,,,,
61,2019/11/30 12:00:00 AM,5.552,,,,
62,2019/11/30 01:00:00 AM,5.450,,,,
63,2019/11/30 02:00:00 AM,5.450,,,,
64,2019/11/30 03:00:00 AM,5.450,,,,
65,2019/11/30 04:00:00 AM,5.450,,,,
66,2019/11/30 05:00:00 AM,5.450,,,,
67,2019/11/30 06:00:00 AM,5.450,,,,
68,2019/11/30 07:00:00 AM,5.450,,,,
69,2019/11/30 08:00:00 AM,5.450,,,,
70,2019/11/30 09:00:00 AM,9.275,,,,
71,2019/11/30 10:00:00 AM,13.942,,,,
72,2019/11/30 11:00:00 AM,16.999,,,,
73,2019/11/30 12:00:00 PM,17.189,,,,
74,2019/11/30 01:00:00 PM,17.189,,,,
75,2019/11/30 02:00:00 PM,17.379,,,,
76,2019/11/30 03:00:00 PM,17.284,,,,
77,2019/11/30 04:00:00 PM,17.284,,,,
78,2019/11/30 05:00:00 PM,17.189,,,,
79,2019/11/30 06:00:00 PM,17.284,,,,
80,2019/11/30 07:00:00 PM,15.378,,,,
81,2019/11/30 08:00:00 PM,15.378,,,,
82,2019/11/30 09:00:00 PM,11.625,,,,
83,2019/11/30 10:00:00 PM,6.978,,,,
84,2019/11/30 11:00:00 PM,5.860,,,,
85,2019/12/01 12:00:00 AM,5.655,,,,
86,2019/12/01 01:00:00 AM,5.450,,,,
87,2019/12/01 02:00:00 AM,5.450,,,,
88,2019/12/01 03:00:00 AM,5.450,,,,
89,2019/12/01 04:00:00 AM,5.450,,,,
90,2019/12/01 05:00:00 AM,5.450,,,,
91,2019/12/01 06:00:00 AM,5.450,,,,
92,2019/12/01 07:00:00 AM,5.450,,,,
93,2019/12/01 08:00:00 AM,5.552,,,,
94,2019/12/01 09:00:00 AM,9.176,,,,
95,2019/12/01 10:00:00 AM,13.942,,,,
96,2019/12/01 11:00:00 AM,16.903,,,,
97,2019/12/01 12:00:00 PM,17.189,,,,
98,2019/12/01 01:00:00 PM,17.189,,,,
99,2019/12/01 02:00:00 PM,17.189,,,,
