"Plot Title: E615F6"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786043, SEN S/N: 9786043)","Bad Battery (LGR S/N: 9786043)","Good Battery (LGR S/N: 9786043)","Coupler Attached (LGR S/N: 9786043)","Host Connected (LGR S/N: 9786043)","Stopped (LGR S/N: 9786043)","End Of File (LGR S/N: 9786043)"
1,2019/11/25 08:00:00 AM,22.238,,,,,,
2,2019/11/25 09:00:00 AM,22.238,,,,,,
3,2019/11/25 10:00:00 AM,-13.715,,,,,,
4,2019/11/25 11:00:00 AM,-22.498,,,,,,
5,2019/11/25 12:00:00 PM,-21.297,,,,,,
6,2019/11/25 01:00:00 PM,-23.329,Logged,,,,,
7,2019/11/25 02:00:00 PM,-24.406,,,,,,
8,2019/11/25 03:00:00 PM,-21.691,,,,,,
9,2019/11/25 04:00:00 PM,-22.294,,,,,,
10,2019/11/25 05:00:00 PM,-23.755,,,,,,
11,2019/11/25 06:00:00 PM,-21.691,,,,,,
12,2019/11/25 07:00:00 PM,3.367,,,,,,
13,2019/11/25 08:00:00 PM,18.140,,Logged,,,,
14,2019/11/25 09:00:00 PM,20.519,,,,,,
15,2019/11/25 10:00:00 PM,21.378,,,,,,
16,2019/11/25 11:00:00 PM,21.569,,,,,,
17,2019/11/26 12:00:00 AM,22.142,,,,,,
18,2019/11/26 01:00:00 AM,21.855,,,,,,
19,2019/11/26 02:00:00 AM,21.378,,,,,,
20,2019/11/26 03:00:00 AM,21.091,,,,,,
21,2019/11/26 04:00:00 AM,20.901,,,,,,
22,2019/11/26 05:00:00 AM,20.710,,,,,,
23,2019/11/26 06:00:00 AM,20.615,,,,,,
24,2019/11/26 07:00:00 AM,20.615,,,,,,
25,2019/11/26 08:00:00 AM,19.853,,,,,,
26,2019/11/26 09:00:00 AM,20.615,,,,,,
27,2019/11/26 10:00:00 AM,21.378,,,,,,
28,2019/11/26 11:00:00 AM,21.760,,,,,,
29,2019/11/26 12:00:00 PM,21.760,,,,,,
30,2019/11/26 01:00:00 PM,21.951,,,,,,
31,2019/11/26 02:00:00 PM,22.238,,,,,,
32,2019/11/26 03:00:00 PM,22.429,,,,,,
33,2019/11/26 04:00:00 PM,22.046,,,,,,
34,2019/11/26 05:00:00 PM,20.424,,,,,,
35,2019/11/26 06:00:00 PM,17.284,,,,,,
36,2019/11/26 07:00:00 PM,18.236,,,,,,
37,2019/11/26 08:00:00 PM,19.187,,,,,,
38,2019/11/26 09:00:00 PM,21.091,,,,,,
39,2019/11/26 09:18:45 PM,,,,Logged,Logged,,
40,2019/11/26 09:18:53 PM,,,,,,Logged,Logged
