"Plot Title: E710A1"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262354, SEN S/N: 2262354)","Coupler Attached (LGR S/N: 2262354)","Host Connected (LGR S/N: 2262354)","Stopped (LGR S/N: 2262354)","End Of File (LGR S/N: 2262354)"
1,2019/11/25 08:00:00 AM,22.333,,,,
2,2019/11/25 09:00:00 AM,22.333,,,,
3,2019/11/25 10:00:00 AM,-17.792,,,,
4,2019/11/25 11:00:00 AM,-23.119,,,,
5,2019/11/25 12:00:00 PM,-21.891,,,,
6,2019/11/25 01:00:00 PM,-23.541,,,,
7,2019/11/25 02:00:00 PM,-24.406,,,,
8,2019/11/25 03:00:00 PM,-21.891,,,,
9,2019/11/25 04:00:00 PM,-22.704,,,,
10,2019/11/25 05:00:00 PM,-24.187,,,,
11,2019/11/25 06:00:00 PM,-22.092,,,,
12,2019/11/25 07:00:00 PM,-0.213,,,,
13,2019/11/25 08:00:00 PM,16.523,,,,
14,2019/11/25 09:00:00 PM,20.424,,,,
15,2019/11/25 10:00:00 PM,21.282,,,,
16,2019/11/25 11:00:00 PM,21.473,,,,
17,2019/11/26 12:00:00 AM,22.621,,,,
18,2019/11/26 01:00:00 AM,22.142,,,,
19,2019/11/26 02:00:00 AM,21.473,,,,
20,2019/11/26 03:00:00 AM,21.091,,,,
21,2019/11/26 04:00:00 AM,20.901,,,,
22,2019/11/26 05:00:00 AM,20.710,,,,
23,2019/11/26 06:00:00 AM,20.615,,,,
24,2019/11/26 07:00:00 AM,20.615,,,,
25,2019/11/26 08:00:00 AM,20.329,,,,
26,2019/11/26 09:00:00 AM,20.996,,,,
27,2019/11/26 10:00:00 AM,21.569,,,,
28,2019/11/26 11:00:00 AM,21.855,,,,
29,2019/11/26 12:00:00 PM,21.760,,,,
30,2019/11/26 01:00:00 PM,22.046,,,,
31,2019/11/26 02:00:00 PM,22.429,,,,
32,2019/11/26 03:00:00 PM,22.429,,,,
33,2019/11/26 04:00:00 PM,21.951,,,,
34,2019/11/26 05:00:00 PM,20.519,,,,
35,2019/11/26 06:00:00 PM,17.094,,,,
36,2019/11/26 07:00:00 PM,18.140,,,,
37,2019/11/26 08:00:00 PM,19.187,,,,
38,2019/11/26 09:00:00 PM,21.187,,,,
39,2019/11/26 09:20:13 PM,,Logged,Logged,,
40,2019/11/26 09:20:22 PM,,,,Logged,Logged
