"Plot Title: 8"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262354, SEN S/N: 2262354)","Coupler Attached (LGR S/N: 2262354)","Host Connected (LGR S/N: 2262354)","End Of File (LGR S/N: 2262354)"
1,2019/11/27 12:00:00 PM,17.094,,,
2,2019/11/27 01:00:00 PM,17.189,,,
3,2019/11/27 02:00:00 PM,17.189,,,
4,2019/11/27 03:00:00 PM,17.189,,,
5,2019/11/27 04:00:00 PM,17.189,,,
6,2019/11/27 05:00:00 PM,17.189,,,
7,2019/11/27 06:00:00 PM,17.189,,,
8,2019/11/27 07:00:00 PM,17.189,,,
9,2019/11/27 08:00:00 PM,17.189,,,
10,2019/11/27 09:00:00 PM,11.334,,,
11,2019/11/27 10:00:00 PM,6.166,,,
12,2019/11/27 11:00:00 PM,5.347,,,
13,2019/11/28 12:00:00 AM,5.244,,,
14,2019/11/28 01:00:00 AM,5.244,,,
15,2019/11/28 02:00:00 AM,5.244,,,
16,2019/11/28 03:00:00 AM,5.141,,,
17,2019/11/28 04:00:00 AM,5.141,,,
18,2019/11/28 05:00:00 AM,5.141,,,
19,2019/11/28 06:00:00 AM,5.244,,,
20,2019/11/28 07:00:00 AM,5.141,,,
21,2019/11/28 08:00:00 AM,5.141,,,
22,2019/11/28 09:00:00 AM,11.236,,,
23,2019/11/28 10:00:00 AM,16.332,,,
24,2019/11/28 11:00:00 AM,17.189,,,
25,2019/11/28 12:00:00 PM,17.094,,,
26,2019/11/28 01:00:00 PM,17.189,,,
27,2019/11/28 02:00:00 PM,17.189,,,
28,2019/11/28 03:00:00 PM,17.189,,,
29,2019/11/28 04:00:00 PM,17.189,,,
30,2019/11/28 05:00:00 PM,17.189,,,
31,2019/11/28 06:00:00 PM,17.189,,,
32,2019/11/28 07:00:00 PM,17.189,,,
33,2019/11/28 08:00:00 PM,17.189,,,
34,2019/11/28 09:00:00 PM,11.236,,,
35,2019/11/28 10:00:00 PM,6.166,,,
36,2019/11/28 11:00:00 PM,5.347,,,
37,2019/11/29 12:00:00 AM,5.244,,,
38,2019/11/29 01:00:00 AM,5.244,,,
39,2019/11/29 02:00:00 AM,5.244,,,
40,2019/11/29 03:00:00 AM,5.244,,,
41,2019/11/29 04:00:00 AM,5.141,,,
42,2019/11/29 05:00:00 AM,5.141,,,
43,2019/11/29 06:00:00 AM,5.141,,,
44,2019/11/29 07:00:00 AM,5.141,,,
45,2019/11/29 08:00:00 AM,5.244,,,
46,2019/11/29 09:00:00 AM,11.236,,,
47,2019/11/29 10:00:00 AM,16.332,,,
48,2019/11/29 11:00:00 AM,17.189,,,
49,2019/11/29 12:00:00 PM,17.094,,,
50,2019/11/29 01:00:00 PM,17.189,,,
51,2019/11/29 02:00:00 PM,17.189,,,
52,2019/11/29 03:00:00 PM,17.189,,,
53,2019/11/29 04:00:00 PM,17.284,,,
54,2019/11/29 05:00:00 PM,17.189,,,
55,2019/11/29 06:00:00 PM,17.189,,,
56,2019/11/29 07:00:00 PM,16.999,,,
57,2019/11/29 08:00:00 PM,17.189,,,
58,2019/11/29 09:00:00 PM,11.334,,,
59,2019/11/29 10:00:00 PM,6.166,,,
60,2019/11/29 11:00:00 PM,5.450,,,
61,2019/11/30 12:00:00 AM,5.244,,,
62,2019/11/30 01:00:00 AM,5.244,,,
63,2019/11/30 02:00:00 AM,5.141,,,
64,2019/11/30 03:00:00 AM,5.244,,,
65,2019/11/30 04:00:00 AM,5.244,,,
66,2019/11/30 05:00:00 AM,5.141,,,
67,2019/11/30 06:00:00 AM,5.244,,,
68,2019/11/30 07:00:00 AM,5.141,,,
69,2019/11/30 08:00:00 AM,5.141,,,
70,2019/11/30 09:00:00 AM,11.236,,,
71,2019/11/30 10:00:00 AM,16.237,,,
72,2019/11/30 11:00:00 AM,17.189,,,
73,2019/11/30 12:00:00 PM,16.999,,,
74,2019/11/30 01:00:00 PM,16.427,,,
75,2019/11/30 02:00:00 PM,16.523,,,
76,2019/11/30 03:00:00 PM,16.427,,,
77,2019/11/30 04:00:00 PM,16.427,,,
78,2019/11/30 05:00:00 PM,16.332,,,
79,2019/11/30 06:00:00 PM,16.332,,,
80,2019/11/30 07:00:00 PM,16.427,,,
81,2019/11/30 08:00:00 PM,16.427,,,
82,2019/11/30 09:00:00 PM,11.236,,,
83,2019/11/30 10:00:00 PM,6.166,,,
84,2019/11/30 11:00:00 PM,5.347,,,
85,2019/12/01 12:00:00 AM,5.244,,,
86,2019/12/01 01:00:00 AM,5.141,,,
87,2019/12/01 02:00:00 AM,5.141,,,
88,2019/12/01 03:00:00 AM,5.141,,,
89,2019/12/01 04:00:00 AM,5.244,,,
90,2019/12/01 05:00:00 AM,5.244,,,
91,2019/12/01 06:00:00 AM,5.244,,,
92,2019/12/01 07:00:00 AM,5.244,,,
93,2019/12/01 08:00:00 AM,5.141,,,
94,2019/12/01 09:00:00 AM,10.455,,,
95,2019/12/01 10:00:00 AM,15.473,,,
96,2019/12/01 11:00:00 AM,16.427,,,
97,2019/12/01 12:00:00 PM,16.427,,,
98,2019/12/01 01:00:00 PM,16.427,,,
99,2019/12/01 02:00:00 PM,16.427,,,
100,2019/12/01 03:00:00 PM,16.523,,,
101,2019/12/01 04:00:00 PM,16.523,,,
102,2019/12/01 05:00:00 PM,16.523,,,
103,2019/12/01 06:00:00 PM,16.523,,,
104,2019/12/01 07:00:00 PM,16.427,,,
105,2019/12/01 08:00:00 PM,16.523,,,
106,2019/12/01 09:00:00 PM,11.236,,,
107,2019/12/01 10:00:00 PM,6.166,,,
108,2019/12/01 11:00:00 PM,5.347,,,
109,2019/12/02 12:00:00 AM,5.244,,,
110,2019/12/02 01:00:00 AM,5.244,,,
111,2019/12/02 02:00:00 AM,5.244,,,
112,2019/12/02 03:00:00 AM,5.244,,,
113,2019/12/02 04:00:00 AM,5.141,,,
114,2019/12/02 05:00:00 AM,5.244,,,
115,2019/12/02 06:00:00 AM,5.141,,,
116,2019/12/02 07:00:00 AM,5.141,,,
117,2019/12/02 08:00:00 AM,5.141,,,
118,2019/12/02 09:00:00 AM,10.455,,,
119,2019/12/02 10:00:00 AM,15.473,,,
120,2019/12/02 11:00:00 AM,16.427,,,
121,2019/12/02 12:00:00 PM,16.332,,,
122,2019/12/02 01:00:00 PM,16.332,,,
123,2019/12/02 02:00:00 PM,16.427,,,
124,2019/12/02 03:00:00 PM,16.427,,,
125,2019/12/02 04:00:00 PM,15.855,,,
126,2019/12/02 05:00:00 PM,16.523,,,
127,2019/12/02 06:00:00 PM,16.808,,,
128,2019/12/02 07:00:00 PM,16.903,,,
129,2019/12/02 08:00:00 PM,16.903,,,
130,2019/12/02 09:00:00 PM,11.916,,,
131,2019/12/02 10:00:00 PM,7.280,,,
132,2019/12/02 11:00:00 PM,6.370,,,
133,2019/12/03 12:00:00 AM,6.166,,,
134,2019/12/03 01:00:00 AM,5.962,,,
135,2019/12/03 02:00:00 AM,5.962,,,
136,2019/12/03 03:00:00 AM,5.962,,,
137,2019/12/03 04:00:00 AM,5.962,,,
138,2019/12/03 05:00:00 AM,6.064,,,
139,2019/12/03 06:00:00 AM,5.962,,,
140,2019/12/03 07:00:00 AM,5.962,,,
141,2019/12/03 08:00:00 AM,5.962,,,
142,2019/12/03 09:00:00 AM,10.846,,,
143,2019/12/03 10:00:00 AM,15.473,,,
144,2019/12/03 11:00:00 AM,16.618,,,
145,2019/12/03 12:00:00 PM,16.808,,,
146,2019/12/03 01:00:00 PM,16.808,,,
147,2019/12/03 02:00:00 PM,16.903,,,
148,2019/12/03 03:00:00 PM,16.903,,,
149,2019/12/03 04:00:00 PM,16.903,,,
150,2019/12/03 05:00:00 PM,16.903,,,
151,2019/12/03 06:00:00 PM,16.903,,,
152,2019/12/03 07:00:00 PM,16.903,,,
153,2019/12/03 08:00:00 PM,16.903,,,
154,2019/12/03 09:00:00 PM,11.819,,,
155,2019/12/03 10:00:00 PM,7.280,,,
156,2019/12/03 11:00:00 PM,6.268,,,
157,2019/12/04 12:00:00 AM,6.166,,,
158,2019/12/04 01:00:00 AM,5.962,,,
159,2019/12/04 02:00:00 AM,5.962,,,
160,2019/12/04 03:00:00 AM,5.962,,,
161,2019/12/04 04:00:00 AM,5.962,,,
162,2019/12/04 05:00:00 AM,5.962,,,
163,2019/12/04 06:00:00 AM,5.962,,,
164,2019/12/04 07:00:00 AM,5.962,,,
165,2019/12/04 08:00:00 AM,5.962,,,
166,2019/12/04 09:00:00 AM,10.846,,,
167,2019/12/04 10:00:00 AM,15.569,,,
168,2019/12/04 11:00:00 AM,16.618,,,
169,2019/12/04 12:00:00 PM,16.713,,,
170,2019/12/04 01:00:00 PM,16.808,,,
171,2019/12/04 02:00:00 PM,16.903,,,
172,2019/12/04 02:19:41 PM,,Logged,Logged,Logged
