"Plot Title: E775C3"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786029, SEN S/N: 9786029)","Bad Battery (LGR S/N: 9786029)","Good Battery (LGR S/N: 9786029)","Host Connected (LGR S/N: 9786029)","Coupler Attached (LGR S/N: 9786029)","Stopped (LGR S/N: 9786029)","End Of File (LGR S/N: 9786029)"
1,2019/11/25 08:00:00 AM,22.238,,,,,,
2,2019/11/25 09:00:00 AM,22.238,,,,,,
3,2019/11/25 10:00:00 AM,-20.333,Logged,,,,,
4,2019/11/25 11:00:00 AM,-23.755,,,,,,
5,2019/11/25 12:00:00 PM,-21.891,,,,,,
6,2019/11/25 01:00:00 PM,-23.755,,,,,,
7,2019/11/25 02:00:00 PM,-24.626,,,,,,
8,2019/11/25 03:00:00 PM,-21.891,,,,,,
9,2019/11/25 04:00:00 PM,-22.092,,,,,,
10,2019/11/25 05:00:00 PM,-23.755,,,,,,
11,2019/11/25 06:00:00 PM,-21.691,,,,,,
12,2019/11/25 07:00:00 PM,-1.114,,,,,,
13,2019/11/25 08:00:00 PM,18.331,,Logged,,,,
14,2019/11/25 09:00:00 PM,20.615,,,,,,
15,2019/11/25 10:00:00 PM,21.187,,,,,,
16,2019/11/25 11:00:00 PM,21.473,,,,,,
17,2019/11/26 12:00:00 AM,21.378,,,,,,
18,2019/11/26 01:00:00 AM,21.282,,,,,,
19,2019/11/26 02:00:00 AM,20.996,,,,,,
20,2019/11/26 03:00:00 AM,20.901,,,,,,
21,2019/11/26 04:00:00 AM,20.710,,,,,,
22,2019/11/26 05:00:00 AM,20.710,,,,,,
23,2019/11/26 06:00:00 AM,20.615,,,,,,
24,2019/11/26 07:00:00 AM,20.615,,,,,,
25,2019/11/26 08:00:00 AM,18.426,,,,,,
26,2019/11/26 09:00:00 AM,20.615,,,,,,
27,2019/11/26 10:00:00 AM,21.282,,,,,,
28,2019/11/26 11:00:00 AM,21.664,,,,,,
29,2019/11/26 12:00:00 PM,21.760,,,,,,
30,2019/11/26 01:00:00 PM,21.855,,,,,,
31,2019/11/26 02:00:00 PM,22.238,,,,,,
32,2019/11/26 03:00:00 PM,22.333,,,,,,
33,2019/11/26 04:00:00 PM,22.238,,,,,,
34,2019/11/26 05:00:00 PM,20.710,,,,,,
35,2019/11/26 06:00:00 PM,17.760,,,,,,
36,2019/11/26 07:00:00 PM,18.331,,,,,,
37,2019/11/26 08:00:00 PM,19.282,,,,,,
38,2019/11/26 09:00:00 PM,20.996,,,,,,
39,2019/11/26 09:21:18 PM,,,,Logged,,,
40,2019/11/26 09:21:19 PM,,,,,Logged,,
41,2019/11/26 09:24:45 PM,,,,,,Logged,Logged
