chamber,date_time,temp,day_night,callibration,force
8,2019-12-23 11:08,21.091,day,1.705,high
8,2019-12-23 12:08,22.812,day,1.705,high
8,2019-12-23 13:08,23.196,day,1.705,high
8,2019-12-23 14:08,23.388,day,1.705,high
8,2019-12-23 15:08,23.388,day,1.705,high
8,2019-12-23 16:08,23.388,day,1.705,high
8,2019-12-23 17:08,23.388,day,1.705,high
8,2019-12-23 18:08,23.292,day,1.705,high
8,2019-12-23 19:08,23.388,day,1.705,high
8,2019-12-23 20:08,19.092,day,1.705,high
8,2019-12-23 21:08,13.076,transition,1.705,high
8,2019-12-23 22:08,10.651,night,1.705,high
8,2019-12-23 23:08,10.357,night,1.705,high
8,2019-12-24 0:08,10.259,night,1.705,high
8,2019-12-24 1:08,10.259,night,1.705,high
8,2019-12-24 2:08,10.259,night,1.705,high
8,2019-12-24 3:08,10.259,night,1.705,high
8,2019-12-24 4:08,10.259,night,1.705,high
8,2019-12-24 5:08,10.161,night,1.705,high
8,2019-12-24 6:08,10.259,night,1.705,high
8,2019-12-24 7:08,10.161,night,1.705,high
8,2019-12-24 8:08,14.517,night,1.705,high
8,2019-12-24 9:08,20.519,transition,1.705,high
8,2019-12-24 10:08,23.1,day,1.705,high
8,2019-12-24 11:08,23.292,day,1.705,high
8,2019-12-24 12:08,23.388,day,1.705,high
8,2019-12-24 13:08,23.388,day,1.705,high
8,2019-12-24 14:08,23.388,day,1.705,high
8,2019-12-24 15:08,23.388,day,1.705,high
8,2019-12-24 16:08,23.388,day,1.705,high
8,2019-12-24 17:08,23.388,day,1.705,high
8,2019-12-24 18:08,23.292,day,1.705,high
8,2019-12-24 19:08,23.292,day,1.705,high
8,2019-12-24 20:08,19.092,day,1.705,high
8,2019-12-24 21:08,13.076,transition,1.705,high
8,2019-12-24 22:08,10.553,night,1.705,high
8,2019-12-24 23:08,10.357,night,1.705,high
8,2019-12-25 0:08,10.259,night,1.705,high
8,2019-12-25 1:08,10.357,night,1.705,high
8,2019-12-25 2:08,10.259,night,1.705,high
8,2019-12-25 3:08,10.259,night,1.705,high
8,2019-12-25 4:08,10.259,night,1.705,high
8,2019-12-25 5:08,10.259,night,1.705,high
8,2019-12-25 6:08,10.259,night,1.705,high
8,2019-12-25 7:08,10.357,night,1.705,high
8,2019-12-25 8:08,14.517,night,1.705,high
8,2019-12-25 9:08,20.519,transition,1.705,high
8,2019-12-25 10:08,23.004,day,1.705,high
8,2019-12-25 11:08,23.292,day,1.705,high
8,2019-12-25 12:08,23.292,day,1.705,high
8,2019-12-25 13:08,23.388,day,1.705,high
8,2019-12-25 14:08,23.292,day,1.705,high
8,2019-12-25 15:08,23.388,day,1.705,high
8,2019-12-25 16:08,23.388,day,1.705,high
8,2019-12-25 17:08,23.388,day,1.705,high
