chamber,date_time,temp,day_night,callibration,force
11,2019-12-23 11:00,19.472,day,1.288,high
11,2019-12-23 12:00,20.805,day,1.288,high
11,2019-12-23 13:00,22.429,day,1.288,high
11,2019-12-23 14:00,22.717,day,1.288,high
11,2019-12-23 15:00,22.812,day,1.288,high
11,2019-12-23 16:00,22.812,day,1.288,high
11,2019-12-23 17:00,22.812,day,1.288,high
11,2019-12-23 18:00,22.812,day,1.288,high
11,2019-12-23 19:00,20.234,day,1.288,high
11,2019-12-23 20:00,20.234,day,1.288,high
11,2019-12-23 21:00,17.284,transition,1.288,high
11,2019-12-23 22:00,12.594,night,1.288,high
11,2019-12-23 23:00,10.748,night,1.288,high
11,2019-12-24 0:00,10.455,night,1.288,high
11,2019-12-24 1:00,10.455,night,1.288,high
11,2019-12-24 2:00,10.455,night,1.288,high
11,2019-12-24 3:00,10.455,night,1.288,high
11,2019-12-24 4:00,10.455,night,1.288,high
11,2019-12-24 5:00,10.455,night,1.288,high
11,2019-12-24 6:00,10.455,night,1.288,high
11,2019-12-24 7:00,10.455,night,1.288,high
11,2019-12-24 8:00,10.455,night,1.288,high
11,2019-12-24 9:00,13.365,transition,1.288,high
11,2019-12-24 10:00,18.045,day,1.288,high
11,2019-12-24 11:00,22.525,day,1.288,high
11,2019-12-24 12:00,22.717,day,1.288,high
11,2019-12-24 13:00,22.717,day,1.288,high
11,2019-12-24 14:00,22.717,day,1.288,high
11,2019-12-24 15:00,22.812,day,1.288,high
11,2019-12-24 16:00,22.717,day,1.288,high
11,2019-12-24 17:00,22.717,day,1.288,high
11,2019-12-24 18:00,22.717,day,1.288,high
11,2019-12-24 19:00,20.234,day,1.288,high
11,2019-12-24 20:00,20.234,day,1.288,high
11,2019-12-24 21:00,17.284,transition,1.288,high
11,2019-12-24 22:00,12.594,night,1.288,high
11,2019-12-24 23:00,10.748,night,1.288,high
11,2019-12-25 0:00,10.553,night,1.288,high
11,2019-12-25 1:00,10.455,night,1.288,high
11,2019-12-25 2:00,10.455,night,1.288,high
11,2019-12-25 3:00,10.455,night,1.288,high
11,2019-12-25 4:00,10.455,night,1.288,high
11,2019-12-25 5:00,10.455,night,1.288,high
11,2019-12-25 6:00,10.455,night,1.288,high
11,2019-12-25 7:00,10.455,night,1.288,high
11,2019-12-25 8:00,10.455,night,1.288,high
11,2019-12-25 9:00,13.365,transition,1.288,high
11,2019-12-25 10:00,18.045,day,1.288,high
11,2019-12-25 11:00,22.525,day,1.288,high
11,2019-12-25 12:00,22.621,day,1.288,high
11,2019-12-25 13:00,22.717,day,1.288,high
11,2019-12-25 14:00,22.717,day,1.288,high
11,2019-12-25 15:00,22.717,day,1.288,high
11,2019-12-25 16:00,22.717,day,1.288,high
11,2019-12-25 17:00,22.717,day,1.288,high
11,2019-12-25 18:00,22.717,day,1.288,high
11,2019-12-25 19:00,20.234,day,1.288,high
11,2019-12-25 20:00,20.234,day,1.288,high
11,2019-12-25 21:00,17.284,transition,1.288,high
11,2019-12-25 22:00,12.497,night,1.288,high
11,2019-12-25 23:00,10.748,night,1.288,high
11,2019-12-26 0:00,10.553,night,1.288,high
11,2019-12-26 1:00,10.455,night,1.288,high
11,2019-12-26 2:00,10.455,night,1.288,high
11,2019-12-26 3:00,10.455,night,1.288,high
11,2019-12-26 4:00,10.357,night,1.288,high
11,2019-12-26 5:00,10.357,night,1.288,high
11,2019-12-26 6:00,10.357,night,1.288,high
11,2019-12-26 7:00,10.357,night,1.288,high
11,2019-12-26 8:00,10.357,night,1.288,high
11,2019-12-26 9:00,13.365,transition,1.288,high
11,2019-12-26 10:00,18.045,day,1.288,high
11,2019-12-26 11:00,22.429,day,1.288,high
11,2019-12-26 12:00,22.621,day,1.288,high
11,2019-12-26 13:00,22.717,day,1.288,high
11,2019-12-26 14:00,22.717,day,1.288,high
11,2019-12-26 15:00,22.717,day,1.288,high
11,2019-12-26 16:00,22.717,day,1.288,high
11,2019-12-26 17:00,22.717,day,1.288,high
11,2019-12-26 18:00,22.717,day,1.288,high
11,2019-12-26 19:00,20.234,day,1.288,high
11,2019-12-26 20:00,20.234,day,1.288,high
11,2019-12-26 21:00,17.284,transition,1.288,high
11,2019-12-26 22:00,12.497,night,1.288,high
11,2019-12-26 23:00,10.748,night,1.288,high
11,2019-12-27 0:00,10.455,night,1.288,high
11,2019-12-27 1:00,10.455,night,1.288,high
11,2019-12-27 2:00,10.357,night,1.288,high
11,2019-12-27 3:00,10.357,night,1.288,high
11,2019-12-27 4:00,10.455,night,1.288,high
11,2019-12-27 5:00,10.357,night,1.288,high
11,2019-12-27 6:00,10.357,night,1.288,high
11,2019-12-27 7:00,10.357,night,1.288,high
11,2019-12-27 8:00,10.357,night,1.288,high
11,2019-12-27 9:00,13.365,transition,1.288,high
11,2019-12-27 10:00,18.045,day,1.288,high
11,2019-12-27 11:00,22.429,day,1.288,high
11,2019-12-27 12:00,22.621,day,1.288,high
11,2019-12-27 13:00,22.621,day,1.288,high
11,2019-12-27 14:00,22.621,day,1.288,high
11,2019-12-27 15:00,21.569,day,1.288,high
11,2019-12-27 16:00,21.76,day,1.288,high
11,2019-12-27 17:00,21.76,day,1.288,high
11,2019-12-27 18:00,21.76,day,1.288,high
11,2019-12-27 19:00,20.138,day,1.288,high
11,2019-12-27 20:00,20.138,day,1.288,high
11,2019-12-27 21:00,17.094,transition,1.288,high
11,2019-12-27 22:00,12.401,night,1.288,high
11,2019-12-27 23:00,10.651,night,1.288,high
11,2019-12-28 0:00,10.357,night,1.288,high
11,2019-12-28 1:00,10.357,night,1.288,high
11,2019-12-28 2:00,10.259,night,1.288,high
11,2019-12-28 3:00,10.259,night,1.288,high
11,2019-12-28 4:00,10.259,night,1.288,high
11,2019-12-28 5:00,10.259,night,1.288,high
11,2019-12-28 6:00,10.259,night,1.288,high
11,2019-12-28 7:00,10.259,night,1.288,high
11,2019-12-28 8:00,10.259,night,1.288,high
11,2019-12-28 9:00,13.365,transition,1.288,high
11,2019-12-28 10:00,17.95,day,1.288,high
11,2019-12-28 11:00,21.473,day,1.288,high
11,2019-12-28 12:00,21.664,day,1.288,high
11,2019-12-28 13:00,21.76,day,1.288,high
11,2019-12-28 14:00,21.76,day,1.288,high
11,2019-12-28 15:00,21.76,day,1.288,high
11,2019-12-28 16:00,21.855,day,1.288,high
11,2019-12-28 17:00,21.951,day,1.288,high
11,2019-12-28 18:00,21.855,day,1.288,high
11,2019-12-28 19:00,20.234,day,1.288,high
11,2019-12-28 20:00,20.138,day,1.288,high
11,2019-12-28 21:00,17.094,transition,1.288,high
11,2019-12-28 22:00,12.497,night,1.288,high
11,2019-12-28 23:00,10.651,night,1.288,high
11,2019-12-29 0:00,10.455,night,1.288,high
11,2019-12-29 1:00,10.357,night,1.288,high
11,2019-12-29 2:00,10.357,night,1.288,high
11,2019-12-29 3:00,10.357,night,1.288,high
11,2019-12-29 4:00,10.357,night,1.288,high
11,2019-12-29 5:00,10.357,night,1.288,high
11,2019-12-29 6:00,10.357,night,1.288,high
11,2019-12-29 7:00,10.357,night,1.288,high
