site,abbrev,asorscoignment,flask
sm,amealn,HC_HP_HF,T1-5
sm,alninc,HC_HP_HF,T1-1
sm,sorsco,HC_HP_HF,T1-11
sm,vibedu,HC_HP_HF,T1-4
sm,corsto,HC_HP_HF,T10-b
sm,rubpar,HC_HP_HF,T10
sm,symalb,HC_HP_HF,T10
sm,spipyr,HC_HP_HF,T10-b40
sm,betpap,HC_HP_HF,T11-A
sm,betpap,HC_HP_HF,T11-A
sm,poptre,HC_HP_HF,T11-B
sm,poptre,HC_HP_HF,T11-b
sm,shecan,HC_HP_HF,T11-12
sm,loninv,HC_HP_HF,T12-10
sm,menfer,HC_HP_HF,T12-12
sm,popbal,HC_HP_HF,T12-A
sm,poptre,HC_HP_HF,T12-8
,,,
sm,alninc,HC_HP_HF,T13-1
sm,popbal,HC_HP_HF,T13-20
sm,symalb,HC_HP_HF,T13-
sm,sorsco,HC_HP_HF,T13-5
,,,
sm,acegla,HC_HP_HF,T14--11
sm,loninv,HC_HP_HF,T14--10
sm,menfer,HC_HP_HF,T14--#3
sm,poptre,HC_HP_HF,T14--11
sm,amealn,HC_HP_HF,T15--1
sm,loninv,HC_HP_HF,T15--9
sm,spibet,HC_HP_HF,T15--A28
sm,sorsco,HC_HP_HF,T15-6
sm,popbal,HC_HP_HF,T16-onionE
sm,symalb,HC_HP_HF,T16
sm,spibet,HC_HP_HF,T16
Sm,shecan,HC_HP_HF,T16-A
sm,popbal,HC_HP_HF,T17-onionE
sm,rubpar,HC_HP_HF,T17
sm,rubpar,HC_HP_HF,T17
sm,vibedu,HC_HP_HF,T17-3
sm,alninc,HC_HP_HF,T18-5
sm,menfer,HC_HP_HF,T18-2
sm,popbal,HC_HP_HF,T18-20
sm,alninc,HC_HP_HF,T19-5
sm,corsto,HC_HP_HF,T19-11
sm,menfer,HC_HP_HF,T19-4
sm,symalb,HC_HP_HF,T19-2
sm,symalb,HC_HP_HF,T2
sm,spibet,HC_HP_HF,T2
sm,shecan,HC_HP_HF,T2-8
sm,vibedu,HC_HP_HF,T2-D
sm,riblac,HC_HP_HF,T20-3b
sm,spibet,HC_HP_HF,T20
sm,vacmem,HC_HP_HF,T20-oct21
sm,vacmem,HC_HP_HF,T20-oct21
sm,amealn,HC_HP_HF,T21-5
sm,loninv,HC_HP_HF,T21-9
sm,vacmem,HC_HP_HF,T21-oct 23
sm,betpap,HC_HP_HF,T22-A
sm,riblac,HC_HP_HF,T22-9
sm,symalb,HC_HP_HF,T22
Shecan12,,,
sm,sorsco,HC_HP_HF,T22
sm,betpap,HC_HP_HF,T23-A
sm,popbal,HC_HP_HF,T23-A
sm,spibet,HC_HP_HF,T23-A38
sm,alnvir,HC_HP_HF,T24-6
