"","DAY","Max_Temp_degC","Min_Temp_degC","Mean_Temp_degC","site"
"1",2019-09-01,23.7,4.8,14.3,"Smithers"
"2",2019-09-02,24.8,4.5,14.7,"Smithers"
"3",2019-09-03,18.4,9.3,13.9,"Smithers"
"4",2019-09-04,20.9,9.1,15,"Smithers"
"5",2019-09-05,21.6,2.3,12,"Smithers"
"6",2019-09-06,19,9.5,14.3,"Smithers"
"7",2019-09-07,18.6,9.6,14.1,"Smithers"
"8",2019-09-08,15.4,10.9,13.2,"Smithers"
"9",2019-09-09,15.4,9.4,12.4,"Smithers"
"10",2019-09-10,16.7,8.3,12.5,"Smithers"
"11",2019-09-11,17.9,9.7,13.8,"Smithers"
"12",2019-09-12,15.9,10.8,13.4,"Smithers"
"13",2019-09-13,14.1,8.7,11.4,"Smithers"
"14",2019-09-14,15.8,4.6,10.2,"Smithers"
"15",2019-09-15,16.1,1.9,9,"Smithers"
"16",2019-09-16,15.6,0,7.8,"Smithers"
"17",2019-09-17,17.1,3.1,10.1,"Smithers"
"18",2019-09-18,18.4,0.1,9.3,"Smithers"
"19",2019-09-19,17.9,9,13.5,"Smithers"
"20",2019-09-20,15.7,5.5,10.6,"Smithers"
"21",2019-09-21,19,9.8,14.4,"Smithers"
"22",2019-09-22,15.4,4.3,9.9,"Smithers"
"23",2019-09-23,11.9,2.5,7.2,"Smithers"
"24",2019-09-24,15.3,4.7,10,"Smithers"
"25",2019-09-25,10.9,5.4,8.2,"Smithers"
"26",2019-09-26,11.3,-0.6,5.4,"Smithers"
"27",2019-09-27,8.9,-0.8,4.1,"Smithers"
"28",2019-09-28,10.2,-4.3,3,"Smithers"
"29",2019-09-29,10.2,-5.7,2.3,"Smithers"
"30",2019-09-30,12.6,-4.2,4.2,"Smithers"
"35",2019-10-01,12.3,1.3,6.8,"Smithers"
"36",2019-10-02,8.6,4.9,6.8,"Smithers"
"37",2019-10-03,8.3,6,7.2,"Smithers"
"38",2019-10-04,10.9,5.2,8.1,"Smithers"
"39",2019-10-05,12.9,-1.4,5.8,"Smithers"
"40",2019-10-06,14,-1.2,6.4,"Smithers"
"41",2019-10-07,12.3,0.5,6.4,"Smithers"
"42",2019-10-08,5.1,-5,0.1,"Smithers"
"43",2019-10-09,4.9,-8.2,-1.7,"Smithers"
"44",2019-10-10,8.1,-6.8,0.7,"Smithers"
"45",2019-10-11,6.3,-3.7,1.3,"Smithers"
"46",2019-10-12,9.4,-1.5,4,"Smithers"
"47",2019-10-13,6.4,-3.5,1.5,"Smithers"
"48",2019-10-14,3,-5.4,-1.2,"Smithers"
"49",2019-10-15,6.8,3,4.9,"Smithers"
"50",2019-10-16,10,4,7,"Smithers"
"51",2019-10-17,12,3.3,7.7,"Smithers"
"52",2019-10-18,8.3,-0.7,3.8,"Smithers"
"53",2019-10-19,5.9,-3.1,1.4,"Smithers"
"54",2019-10-20,4.8,-1.2,1.8,"Smithers"
