"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"1","mp.HC.HP.HF.1.acegla.1","mp","HC","HP","HF",1,"acegla",NA,0,NA,NA,NA
"2","mp.HC.HP.HF.1.loninv.1","mp","HC","HP","HF",1,"loninv",10,1,NA,28,10
"3","mp.HC.HP.HF.1.menfer.1","mp","HC","HP","HF",1,"menfer",45,1,NA,NA,45
"4","mp.HC.HP.HF.1.rhoalb.1","mp","HC","HP","HF",1,"rhoalb",10,1,NA,NA,13
"5","mp.HC.HP.HF.10.amealn.1","mp","HC","HP","HF",10,"amealn",5,1,5,5,5
"6","mp.HC.HP.HF.10.corsto.1","mp","HC","HP","HF",10,"corsto",8,1,12,8,8
"7","mp.HC.HP.HF.10.samrac.1","mp","HC","HP","HF",10,"samrac",12,1,19,12,12
"8","mp.HC.HP.HF.10.symalb.1","mp","HC","HP","HF",10,"symalb",8,1,NA,54,8
"9","mp.HC.HP.HF.11.corsto.1","mp","HC","HP","HF",11,"corsto",10,1,NA,NA,10
"10","mp.HC.HP.HF.11.corsto.2","mp","HC","HP","HF",11,"corsto",10,1,12,10,10
"11","mp.HC.HP.HF.11.rhoalb.1","mp","HC","HP","HF",11,"rhoalb",10,1,12,10,10
"12","mp.HC.HP.HF.11.vacmem.1","mp","HC","HP","HF",11,"vacmem",10,1,NA,NA,10
"13","mp.HC.HP.HF.12.rhoalb.1","mp","HC","HP","HF",12,"rhoalb",10,1,NA,40,16
"14","mp.HC.HP.HF.12.riblac.1","mp","HC","HP","HF",12,"riblac",19,1,NA,42,19
"15","mp.HC.HP.HF.12.shecan.1","mp","HC","HP","HF",12,"shecan",19,1,34,28,19
"16","mp.HC.HP.HF.12.sorsco.1","mp","HC","HP","HF",12,"sorsco",16,1,NA,NA,NA
"17","mp.HC.HP.HF.13.alninc.1","mp","HC","HP","HF",13,"alninc",19,1,28,25,19
"18","mp.HC.HP.HF.13.amealn.1","mp","HC","HP","HF",13,"amealn",13,1,16,13,13
"19","mp.HC.HP.HF.13.popbal.1","mp","HC","HP","HF",13,"popbal",16,1,NA,NA,NA
"20","mp.HC.HP.HF.13.riblac.1","mp","HC","HP","HF",13,"riblac",34,1,NA,NA,34
"21","mp.HC.HP.HF.14.alnvir.1","mp","HC","HP","HF",14,"alnvir",31,1,42,37,37
"22","mp.HC.HP.HF.14.amealn.1","mp","HC","HP","HF",14,"amealn",5,1,5,5,5
"23","mp.HC.HP.HF.14.spibet.1","mp","HC","HP","HF",14,"spibet",10,1,40,10,10
"24","mp.HC.HP.HF.14.spipyr.1","mp","HC","HP","HF",14,"spipyr",16,1,NA,NA,16
"25","mp.HC.HP.HF.15.alnvir.1","mp","HC","HP","HF",15,"alnvir",19,1,19,19,19
"26","mp.HC.HP.HF.15.poptre.1","mp","HC","HP","HF",15,"poptre",34,1,NA,NA,34
"27","mp.HC.HP.HF.15.rhoalb.1","mp","HC","HP","HF",15,"rhoalb",13,1,NA,NA,17
"28","mp.HC.HP.HF.15.spibet.1","mp","HC","HP","HF",15,"spibet",10,1,NA,NA,13
"29","mp.HC.HP.HF.16.loninv.1","mp","HC","HP","HF",16,"loninv",7,1,NA,NA,NA
"30","mp.HC.HP.HF.16.poptre.1","mp","HC","HP","HF",16,"poptre",28,1,31,28,28
"31","mp.HC.HP.HF.16.samrac.1","mp","HC","HP","HF",16,"samrac",16,1,NA,NA,NA
"32","mp.HC.HP.HF.16.spibet.1","mp","HC","HP","HF",16,"spibet",13,1,13,13,13
"33","mp.HC.HP.HF.17.acegla.1","mp","HC","HP","HF",17,"acegla",16,1,NA,NA,22
"34","mp.HC.HP.HF.17.alninc.1","mp","HC","HP","HF",17,"alninc",22,1,25,25,22
"35","mp.HC.HP.HF.17.alninc.2","mp","HC","HP","HF",17,"alninc",22,1,25,22,22
"36","mp.HC.HP.HF.17.samrac.1","mp","HC","HP","HF",17,"samrac",10,1,NA,NA,NA
"37","mp.HC.HP.HF.18.poptre.1","mp","HC","HP","HF",18,"poptre",31,1,37,37,37
"38","mp.HC.HP.HF.18.samrac.1","mp","HC","HP","HF",18,"samrac",19,1,NA,NA,NA
"39","mp.HC.HP.HF.18.spipyr.1","mp","HC","HP","HF",18,"spipyr",12,1,NA,26,15
"40","mp.HC.HP.HF.18.vibedu.1","mp","HC","HP","HF",18,"vibedu",7,1,26,12,7
"41","mp.HC.HP.HF.19.shecan.1","mp","HC","HP","HF",19,"shecan",16,1,23,23,16
