"lab2","population","treatment","flask","species","day","latbb80","latbb50","latbb1"
"mp.HC.HP.HF.1.loninv.1","mp","HC.HP.HF",1,"loninv",10,NA,28,10
"mp.HC.HP.HF.1.rhoalb.1","mp","HC.HP.HF",1,"rhoalb",10,NA,NA,13
"mp.HC.HP.HF.10.amealn.1","mp","HC.HP.HF",10,"amealn",5,5,5,5
"mp.HC.HP.HF.10.corsto.1","mp","HC.HP.HF",10,"corsto",8,12,8,8
"mp.HC.HP.HF.10.samrac.1","mp","HC.HP.HF",10,"samrac",19,19,12,12
"mp.HC.HP.HF.11.corsto.1","mp","HC.HP.HF",11,"corsto",10,NA,NA,10
"mp.HC.HP.HF.11.corsto.2","mp","HC.HP.HF",11,"corsto",10,12,10,10
"mp.HC.HP.HF.11.rhoalb.1","mp","HC.HP.HF",11,"rhoalb",10,12,10,10
"mp.HC.HP.HF.11.vacmem.1","mp","HC.HP.HF",11,"vacmem",10,NA,NA,10
"mp.HC.HP.HF.12.rhoalb.1","mp","HC.HP.HF",12,"rhoalb",10,NA,40,16
"mp.HC.HP.HF.12.shecan.1","mp","HC.HP.HF",12,"shecan",19,34,28,19
"mp.HC.HP.HF.12.sorsco.1","mp","HC.HP.HF",12,"sorsco",16,NA,NA,NA
"mp.HC.HP.HF.13.alninc.1","mp","HC.HP.HF",13,"alninc",19,28,25,19
"mp.HC.HP.HF.13.amealn.1","mp","HC.HP.HF",13,"amealn",13,16,13,13
"mp.HC.HP.HF.13.popbal.1","mp","HC.HP.HF",13,"popbal",16,NA,NA,NA
"mp.HC.HP.HF.14.alnvir.1","mp","HC.HP.HF",14,"alnvir",31,42,37,37
"mp.HC.HP.HF.14.amealn.1","mp","HC.HP.HF",14,"amealn",5,5,5,5
"mp.HC.HP.HF.14.spibet.1","mp","HC.HP.HF",14,"spibet",10,40,10,10
"mp.HC.HP.HF.14.spipyr.1","mp","HC.HP.HF",14,"spipyr",16,NA,NA,16
"mp.HC.HP.HF.15.alnvir.1","mp","HC.HP.HF",15,"alnvir",19,19,19,19
"mp.HC.HP.HF.15.poptre.1","mp","HC.HP.HF",15,"poptre",34,NA,NA,34
"mp.HC.HP.HF.15.rhoalb.1","mp","HC.HP.HF",15,"rhoalb",13,NA,NA,17
"mp.HC.HP.HF.15.spibet.1","mp","HC.HP.HF",15,"spibet",10,NA,NA,13
"mp.HC.HP.HF.16.loninv.1","mp","HC.HP.HF",16,"loninv",7,NA,NA,NA
"mp.HC.HP.HF.16.poptre.1","mp","HC.HP.HF",16,"poptre",28,31,28,28
"mp.HC.HP.HF.16.samrac.1","mp","HC.HP.HF",16,"samrac",16,NA,NA,NA
"mp.HC.HP.HF.16.spibet.1","mp","HC.HP.HF",16,"spibet",13,13,13,13
"mp.HC.HP.HF.17.acegla.1","mp","HC.HP.HF",17,"acegla",16,NA,NA,22
"mp.HC.HP.HF.17.alninc.1","mp","HC.HP.HF",17,"alninc",22,25,25,22
"mp.HC.HP.HF.17.samrac.1","mp","HC.HP.HF",17,"samrac",10,NA,NA,NA
"mp.HC.HP.HF.18.poptre.1","mp","HC.HP.HF",18,"poptre",31,37,37,37
"mp.HC.HP.HF.18.samrac.1","mp","HC.HP.HF",18,"samrac",19,NA,NA,NA
"mp.HC.HP.HF.18.spipyr.1","mp","HC.HP.HF",18,"spipyr",12,NA,26,15
"mp.HC.HP.HF.18.vibedu.1","mp","HC.HP.HF",18,"vibedu",12,26,12,7
"mp.HC.HP.HF.19.shecan.1","mp","HC.HP.HF",19,"shecan",26,23,23,16
"mp.HC.HP.HF.19.vacmem.1","mp","HC.HP.HF",19,"vacmem",13,NA,NA,13
"mp.HC.HP.HF.19.vacmem.2","mp","HC.HP.HF",19,"vacmem",10,NA,28,10
"mp.HC.HP.HF.2.rhoalb.1","mp","HC.HP.HF",2,"rhoalb",7,19,19,13
"mp.HC.HP.HF.20.rhoalb.1","mp","HC.HP.HF",20,"rhoalb",7,26,19,7
"mp.HC.HP.HF.20.shecan.1","mp","HC.HP.HF",20,"shecan",16,23,19,13
"mp.HC.HP.HF.20.spipyr.1","mp","HC.HP.HF",20,"spipyr",13,NA,26,13
"mp.HC.HP.HF.21.acegla.1","mp","HC.HP.HF",21,"acegla",23,NA,45,42
"mp.HC.HP.HF.21.sorsco.1","mp","HC.HP.HF",21,"sorsco",13,NA,NA,NA
"mp.HC.HP.HF.21.vibedu.1","mp","HC.HP.HF",21,"vibedu",10,NA,13,13
"mp.HC.HP.HF.22.loninv.1","mp","HC.HP.HF",22,"loninv",10,19,19,19
"mp.HC.HP.HF.22.samrac.1","mp","HC.HP.HF",22,"samrac",10,23,16,16
"mp.HC.HP.HF.22.sorsco.1","mp","HC.HP.HF",22,"sorsco",10,NA,NA,NA
"mp.HC.HP.HF.22.spipyr.1","mp","HC.HP.HF",22,"spipyr",16,NA,NA,26
"mp.HC.HP.HF.23.loninv.1","mp","HC.HP.HF",23,"loninv",10,NA,NA,13
"mp.HC.HP.HF.23.riblac.1","mp","HC.HP.HF",23,"riblac",45,NA,NA,19
"mp.HC.HP.HF.23.rubpar.1","mp","HC.HP.HF",23,"rubpar",23,NA,19,19
"mp.HC.HP.HF.24.poptre.1","mp","HC.HP.HF",24,"poptre",42,NA,45,45
"mp.HC.HP.HF.24.shecan.1","mp","HC.HP.HF",24,"shecan",19,31,22,19
"mp.HC.HP.HF.24.vibedu.1","mp","HC.HP.HF",24,"vibedu",10,NA,NA,10
"mp.HC.HP.HF.25.acegla.1","mp","HC.HP.HF",25,"acegla",34,NA,NA,NA
"mp.HC.HP.HF.25.popbal.1","mp","HC.HP.HF",25,"popbal",16,19,19,16
"mp.HC.HP.HF.25.samrac.1","mp","HC.HP.HF",25,"samrac",13,NA,48,48
"mp.HC.HP.HF.26.loninv.1","mp","HC.HP.HF",26,"loninv",10,NA,NA,NA
"mp.HC.HP.HF.26.riblac.1","mp","HC.HP.HF",26,"riblac",10,28,22,10
"mp.HC.HP.HF.26.sorsco.1","mp","HC.HP.HF",26,"sorsco",13,NA,13,13
"mp.HC.HP.HF.26.vibedu.1","mp","HC.HP.HF",26,"vibedu",13,19,13,13
"mp.HC.HP.HF.27.amealn.1","mp","HC.HP.HF",27,"amealn",4,10,4,4
"mp.HC.HP.HF.27.shecan.1","mp","HC.HP.HF",27,"shecan",15,19,19,15
"mp.HC.HP.HF.27.vacmem.1","mp","HC.HP.HF",27,"vacmem",10,NA,NA,8
