"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1","treatment"
"1","mp.HC.HP.HF.1.acegla.1","mp","HC","HP","HF",1,"acegla",NA,0,NA,NA,NA,"HC.HP.HF"
"2","mp.HC.HP.HF.1.loninv.1","mp","HC","HP","HF",1,"loninv",10,1,NA,28,10,"HC.HP.HF"
"3","mp.HC.HP.HF.1.menfer.1","mp","HC","HP","HF",1,"menfer",45,1,NA,NA,45,"HC.HP.HF"
"4","mp.HC.HP.HF.1.rhoalb.1","mp","HC","HP","HF",1,"rhoalb",10,1,NA,NA,13,"HC.HP.HF"
"5","mp.HC.HP.HF.10.amealn.1","mp","HC","HP","HF",10,"amealn",5,1,5,5,5,"HC.HP.HF"
"6","mp.HC.HP.HF.10.corsto.1","mp","HC","HP","HF",10,"corsto",8,1,12,8,8,"HC.HP.HF"
"7","mp.HC.HP.HF.10.samrac.1","mp","HC","HP","HF",10,"samrac",12,1,19,12,12,"HC.HP.HF"
"8","mp.HC.HP.HF.10.symalb.1","mp","HC","HP","HF",10,"symalb",8,1,NA,54,8,"HC.HP.HF"
"9","mp.HC.HP.HF.11.corsto.1","mp","HC","HP","HF",11,"corsto",10,1,NA,NA,10,"HC.HP.HF"
"10","mp.HC.HP.HF.11.corsto.2","mp","HC","HP","HF",11,"corsto",10,1,12,10,10,"HC.HP.HF"
"11","mp.HC.HP.HF.11.rhoalb.1","mp","HC","HP","HF",11,"rhoalb",10,1,12,10,10,"HC.HP.HF"
"12","mp.HC.HP.HF.11.vacmem.1","mp","HC","HP","HF",11,"vacmem",10,1,NA,NA,10,"HC.HP.HF"
"13","mp.HC.HP.HF.12.rhoalb.1","mp","HC","HP","HF",12,"rhoalb",10,1,NA,40,16,"HC.HP.HF"
"14","mp.HC.HP.HF.12.riblac.1","mp","HC","HP","HF",12,"riblac",19,1,NA,42,19,"HC.HP.HF"
"15","mp.HC.HP.HF.12.shecan.1","mp","HC","HP","HF",12,"shecan",19,1,34,28,19,"HC.HP.HF"
"16","mp.HC.HP.HF.12.sorsco.1","mp","HC","HP","HF",12,"sorsco",16,1,NA,NA,NA,"HC.HP.HF"
"17","mp.HC.HP.HF.13.alninc.1","mp","HC","HP","HF",13,"alninc",19,1,28,25,19,"HC.HP.HF"
"18","mp.HC.HP.HF.13.amealn.1","mp","HC","HP","HF",13,"amealn",13,1,16,13,13,"HC.HP.HF"
"19","mp.HC.HP.HF.13.popbal.1","mp","HC","HP","HF",13,"popbal",16,1,NA,NA,NA,"HC.HP.HF"
"20","mp.HC.HP.HF.13.riblac.1","mp","HC","HP","HF",13,"riblac",34,1,NA,NA,34,"HC.HP.HF"
"21","mp.HC.HP.HF.14.alnvir.1","mp","HC","HP","HF",14,"alnvir",31,1,42,37,37,"HC.HP.HF"
"22","mp.HC.HP.HF.14.amealn.1","mp","HC","HP","HF",14,"amealn",5,1,5,5,5,"HC.HP.HF"
"23","mp.HC.HP.HF.14.spibet.1","mp","HC","HP","HF",14,"spibet",10,1,40,10,10,"HC.HP.HF"
"24","mp.HC.HP.HF.14.spipyr.1","mp","HC","HP","HF",14,"spipyr",16,1,NA,NA,16,"HC.HP.HF"
"25","mp.HC.HP.HF.15.alnvir.1","mp","HC","HP","HF",15,"alnvir",19,1,19,19,19,"HC.HP.HF"
"26","mp.HC.HP.HF.15.poptre.1","mp","HC","HP","HF",15,"poptre",34,1,NA,NA,34,"HC.HP.HF"
"27","mp.HC.HP.HF.15.rhoalb.1","mp","HC","HP","HF",15,"rhoalb",13,1,NA,NA,17,"HC.HP.HF"
"28","mp.HC.HP.HF.15.spibet.1","mp","HC","HP","HF",15,"spibet",10,1,NA,NA,13,"HC.HP.HF"
"29","mp.HC.HP.HF.16.loninv.1","mp","HC","HP","HF",16,"loninv",7,1,NA,NA,NA,"HC.HP.HF"
"30","mp.HC.HP.HF.16.poptre.1","mp","HC","HP","HF",16,"poptre",28,1,31,28,28,"HC.HP.HF"
"31","mp.HC.HP.HF.16.samrac.1","mp","HC","HP","HF",16,"samrac",16,1,NA,NA,NA,"HC.HP.HF"
"32","mp.HC.HP.HF.16.spibet.1","mp","HC","HP","HF",16,"spibet",13,1,13,13,13,"HC.HP.HF"
"33","mp.HC.HP.HF.17.acegla.1","mp","HC","HP","HF",17,"acegla",16,1,NA,NA,22,"HC.HP.HF"
"34","mp.HC.HP.HF.17.alninc.1","mp","HC","HP","HF",17,"alninc",22,1,25,25,22,"HC.HP.HF"
"35","mp.HC.HP.HF.17.alninc.2","mp","HC","HP","HF",17,"alninc",22,1,25,22,22,"HC.HP.HF"
"36","mp.HC.HP.HF.17.samrac.1","mp","HC","HP","HF",17,"samrac",10,1,NA,NA,NA,"HC.HP.HF"
"37","mp.HC.HP.HF.18.poptre.1","mp","HC","HP","HF",18,"poptre",31,1,37,37,37,"HC.HP.HF"
"38","mp.HC.HP.HF.18.samrac.1","mp","HC","HP","HF",18,"samrac",19,1,NA,NA,NA,"HC.HP.HF"
"39","mp.HC.HP.HF.18.spipyr.1","mp","HC","HP","HF",18,"spipyr",12,1,NA,26,15,"HC.HP.HF"
"40","mp.HC.HP.HF.18.vibedu.1","mp","HC","HP","HF",18,"vibedu",7,1,26,12,7,"HC.HP.HF"
"41","mp.HC.HP.HF.19.shecan.1","mp","HC","HP","HF",19,"shecan",16,1,23,23,16,"HC.HP.HF"
"42","mp.HC.HP.HF.19.symalb.1","mp","HC","HP","HF",19,"symalb",10,1,NA,13,10,"HC.HP.HF"
"43","mp.HC.HP.HF.19.vacmem.1","mp","HC","HP","HF",19,"vacmem",13,1,NA,NA,13,"HC.HP.HF"
"44","mp.HC.HP.HF.19.vacmem.2","mp","HC","HP","HF",19,"vacmem",10,1,NA,28,10,"HC.HP.HF"
"45","mp.HC.HP.HF.2.acegla.1","mp","HC","HP","HF",2,"acegla",NA,0,NA,NA,NA,"HC.HP.HF"
"46","mp.HC.HP.HF.2.menfer.1","mp","HC","HP","HF",2,"menfer",31,1,34,31,31,"HC.HP.HF"
"47","mp.HC.HP.HF.2.menfer.2","mp","HC","HP","HF",2,"menfer",26,1,84,42,26,"HC.HP.HF"
"48","mp.HC.HP.HF.2.rhoalb.1","mp","HC","HP","HF",2,"rhoalb",7,1,19,19,13,"HC.HP.HF"
"49","mp.HC.HP.HF.20.menfer.1","mp","HC","HP","HF",20,"menfer",26,1,NA,NA,26,"HC.HP.HF"
"50","mp.HC.HP.HF.20.rhoalb.1","mp","HC","HP","HF",20,"rhoalb",7,1,26,19,7,"HC.HP.HF"
"51","mp.HC.HP.HF.20.shecan.1","mp","HC","HP","HF",20,"shecan",13,1,23,19,13,"HC.HP.HF"
"52","mp.HC.HP.HF.20.spipyr.1","mp","HC","HP","HF",20,"spipyr",13,1,NA,26,13,"HC.HP.HF"
"53","mp.HC.HP.HF.21.acegla.1","mp","HC","HP","HF",21,"acegla",23,1,NA,45,42,"HC.HP.HF"
"54","mp.HC.HP.HF.21.sorsco.1","mp","HC","HP","HF",21,"sorsco",13,1,NA,NA,NA,"HC.HP.HF"
"55","mp.HC.HP.HF.21.spipyr.1","mp","HC","HP","HF",21,"spipyr",13,1,13,13,13,"HC.HP.HF"
"56","mp.HC.HP.HF.21.vibedu.1","mp","HC","HP","HF",21,"vibedu",10,1,NA,13,13,"HC.HP.HF"
"57","mp.HC.HP.HF.22.loninv.1","mp","HC","HP","HF",22,"loninv",10,1,19,19,19,"HC.HP.HF"
"58","mp.HC.HP.HF.22.samrac.1","mp","HC","HP","HF",22,"samrac",10,1,23,16,16,"HC.HP.HF"
"59","mp.HC.HP.HF.22.sorsco.1","mp","HC","HP","HF",22,"sorsco",10,1,NA,NA,NA,"HC.HP.HF"
"60","mp.HC.HP.HF.22.spipyr.1","mp","HC","HP","HF",22,"spipyr",16,1,NA,NA,26,"HC.HP.HF"
"61","mp.HC.HP.HF.23.loninv.1","mp","HC","HP","HF",23,"loninv",10,1,NA,NA,13,"HC.HP.HF"
"62","mp.HC.HP.HF.23.riblac.1","mp","HC","HP","HF",23,"riblac",19,1,NA,NA,19,"HC.HP.HF"
"63","mp.HC.HP.HF.23.rubpar.1","mp","HC","HP","HF",23,"rubpar",19,1,NA,19,19,"HC.HP.HF"
"64","mp.HC.HP.HF.23.symalb.1","mp","HC","HP","HF",23,"symalb",10,1,NA,13,10,"HC.HP.HF"
"65","mp.HC.HP.HF.24.poptre.1","mp","HC","HP","HF",24,"poptre",42,1,NA,45,45,"HC.HP.HF"
"66","mp.HC.HP.HF.24.riblac.1","mp","HC","HP","HF",24,"riblac",12,1,NA,NA,12,"HC.HP.HF"
"67","mp.HC.HP.HF.24.shecan.1","mp","HC","HP","HF",24,"shecan",19,1,31,22,19,"HC.HP.HF"
"68","mp.HC.HP.HF.24.vibedu.1","mp","HC","HP","HF",24,"vibedu",10,1,NA,NA,10,"HC.HP.HF"
"69","mp.HC.HP.HF.25.acegla.1","mp","HC","HP","HF",25,"acegla",34,1,NA,NA,NA,"HC.HP.HF"
"70","mp.HC.HP.HF.25.acegla.2","mp","HC","HP","HF",25,"acegla",NA,0,NA,NA,NA,"HC.HP.HF"
"71","mp.HC.HP.HF.25.popbal.1","mp","HC","HP","HF",25,"popbal",16,1,19,19,16,"HC.HP.HF"
"72","mp.HC.HP.HF.25.samrac.1","mp","HC","HP","HF",25,"samrac",13,1,NA,48,48,"HC.HP.HF"
"73","mp.HC.HP.HF.26.loninv.1","mp","HC","HP","HF",26,"loninv",10,1,NA,NA,NA,"HC.HP.HF"
"74","mp.HC.HP.HF.26.riblac.1","mp","HC","HP","HF",26,"riblac",10,1,28,22,10,"HC.HP.HF"
"75","mp.HC.HP.HF.26.sorsco.1","mp","HC","HP","HF",26,"sorsco",13,1,NA,13,13,"HC.HP.HF"
"76","mp.HC.HP.HF.26.vibedu.1","mp","HC","HP","HF",26,"vibedu",13,1,19,13,13,"HC.HP.HF"
"77","mp.HC.HP.HF.27.amealn.1","mp","HC","HP","HF",27,"amealn",4,1,10,4,4,"HC.HP.HF"
"78","mp.HC.HP.HF.27.rubpar.1","mp","HC","HP","HF",27,"rubpar",19,1,NA,23,19,"HC.HP.HF"
"79","mp.HC.HP.HF.27.shecan.1","mp","HC","HP","HF",27,"shecan",15,1,19,19,15,"HC.HP.HF"
"80","mp.HC.HP.HF.27.vacmem.1","mp","HC","HP","HF",27,"vacmem",8,1,NA,NA,8,"HC.HP.HF"
"81","mp.HC.HP.HF.28.alninc.1","mp","HC","HP","HF",28,"alninc",22,1,22,22,22,"HC.HP.HF"
"82","mp.HC.HP.HF.28.amealn.1","mp","HC","HP","HF",28,"amealn",7,1,13,7,7,"HC.HP.HF"
"83","mp.HC.HP.HF.28.spibet.1","mp","HC","HP","HF",28,"spibet",10,1,10,10,10,"HC.HP.HF"
"84","mp.HC.HP.HF.28.spipyr.1","mp","HC","HP","HF",28,"spipyr",13,1,NA,19,13,"HC.HP.HF"
"85","mp.HC.HP.HF.29.amealn.1","mp","HC","HP","HF",29,"amealn",10,1,NA,22,12,"HC.HP.HF"
"86","mp.HC.HP.HF.29.poptre.1","mp","HC","HP","HF",29,"poptre",40,1,NA,NA,NA,"HC.HP.HF"
"87","mp.HC.HP.HF.29.sorsco.1","mp","HC","HP","HF",29,"sorsco",12,1,NA,NA,NA,"HC.HP.HF"
"88","mp.HC.HP.HF.29.vibedu.1","mp","HC","HP","HF",29,"vibedu",10,1,NA,19,10,"HC.HP.HF"
"89","mp.HC.HP.HF.3.alnvir.1","mp","HC","HP","HF",3,"alnvir",28,1,NA,42,28,"HC.HP.HF"
"90","mp.HC.HP.HF.3.spibet.1","mp","HC","HP","HF",3,"spibet",13,1,13,13,13,"HC.HP.HF"
"91","mp.HC.HP.HF.3.spibet.2","mp","HC","HP","HF",3,"spibet",13,1,NA,NA,13,"HC.HP.HF"
"92","mp.HC.HP.HF.30.loninv.1","mp","HC","HP","HF",30,"loninv",10,1,NA,13,13,"HC.HP.HF"
"93","mp.HC.HP.HF.30.menfer.1","mp","HC","HP","HF",30,"menfer",23,1,NA,NA,23,"HC.HP.HF"
"94","mp.HC.HP.HF.30.popbal.1","mp","HC","HP","HF",30,"popbal",16,1,NA,NA,NA,"HC.HP.HF"
"95","mp.HC.HP.HF.30.sorsco.1","mp","HC","HP","HF",30,"sorsco",10,1,NA,13,10,"HC.HP.HF"
"96","mp.HC.HP.HF.31.acegla.1","mp","HC","HP","HF",31,"acegla",23,1,NA,NA,28,"HC.HP.HF"
"97","mp.HC.HP.HF.31.amealn.1","mp","HC","HP","HF",31,"amealn",10,1,19,10,10,"HC.HP.HF"
