"","Site","Treatment","Chilling_Hours","Utah_Model","Chill_portions"
"1","Harvard Forest","Field chilling until collection",892,814.5,56.6243044946424
"2","Harvard Forest","Field chilling to 1 Apr",1153,980,79.3745543920761
"3","Harvard Forest","Field chilling to 1 May",1449,1360.5,99.9425007007545
"4","Harvard Forest","Field chilling + 4.0° x 30 d",2140,2062.5,94.0559459873306
"5","Harvard Forest","Field chilling + 1.5° x 30 d",2140,1702.5,91.167564696361
"6","St. Hippolyte","Field chilling until collection",682,599.5,44.6322618572603
"7","St. Hippolyte","Field chilling to 1 Apr",796,653.5,63.5464989107792
"8","St. Hippolyte","Field chilling to 1 May",1166,937,83.8275325873195
"9","St. Hippolyte","Field chilling + 4.0° x 30 d",1930,1847.5,82.0639033499485
"10","St. Hippolyte","Field chilling + 1.5° x 30 d",1930,1487.5,79.1755220589789
