"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"ACEPEN01_HF_01","ACEPEN01_HF_01_HC_HP_LF","HF","CL2","HC","LF","HP","ACEPEN",46,46
"ACEPEN01_HF_02","ACEPEN01_HF_02_LC_LP_LF","HF","CS1","LC","LF","LP","ACEPEN",48,56
"ACEPEN01_HF_03","ACEPEN01_HF_03_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACEPEN",20,20
"ACEPEN01_HF_04","ACEPEN01_HF_04_HC_LP_HF","HF","WS2","HC","HF","LP","ACEPEN",57,64
"ACEPEN01_HF_05","ACEPEN01_HF_05_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACEPEN",18,18
"ACEPEN01_HF_06","ACEPEN01_HF_06_HC_LP_LF","HF","CS2","HC","LF","LP","ACEPEN",50,50
"ACEPEN01_HF_07","ACEPEN01_HF_07_HC_HP_HF","HF","WL2","HC","HF","HP","ACEPEN",47,53
"ACEPEN01_HF_08","ACEPEN01_HF_08_chill0_HP_HF","HF","WL0","chill0","HF","HP","ACEPEN",26,26
"ACEPEN01_HF_09","ACEPEN01_HF_09_LC_LP_HF","HF","WS1","LC","HF","LP","ACEPEN",49,49
"ACEPEN01_HF_10","ACEPEN01_HF_10_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACEPEN",33,33
"ACEPEN01_HF_11","ACEPEN01_HF_11_LC_HP_HF","HF","WL1","LC","HF","HP","ACEPEN",46,46
"ACEPEN01_HF_12","ACEPEN01_HF_12_LC_HP_LF","HF","CL1","LC","LF","HP","ACEPEN",46,46
"ACEPEN02_HF_02","ACEPEN02_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACEPEN",32,20
"ACEPEN02_HF_04","ACEPEN02_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACEPEN",21,21
"ACEPEN02_HF_10","ACEPEN02_HF_10_HC_LP_HF","HF","WS2","HC","HF","LP","ACEPEN",57,57
"ACEPEN03_HF_01","ACEPEN03_HF_01_HC_LP_LF","HF","CS2","HC","LF","LP","ACEPEN",46,46
"ACEPEN03_HF_02","ACEPEN03_HF_02_chill0_HP_HF","HF","WL0","chill0","HF","HP","ACEPEN",13,13
"ACEPEN03_HF_03","ACEPEN03_HF_03_HC_LP_HF","HF","WS2","HC","HF","LP","ACEPEN",46,57
"ACEPEN03_HF_04","ACEPEN03_HF_04_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACEPEN",20,20
"ACEPEN03_HF_05","ACEPEN03_HF_05_LC_HP_LF","HF","CL1","LC","LF","HP","ACEPEN",41,41
"ACEPEN03_HF_06","ACEPEN03_HF_06_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACEPEN",21,33
"ACEPEN03_HF_07","ACEPEN03_HF_07_LC_LP_HF","HF","WS1","LC","HF","LP","ACEPEN",49,41
"ACEPEN03_HF_08","ACEPEN03_HF_08_LC_HP_HF","HF","WL1","LC","HF","HP","ACEPEN",36,36
"ACEPEN03_HF_09","ACEPEN03_HF_09_HC_HP_HF","HF","WL2","HC","HF","HP","ACEPEN",53,53
"ACEPEN03_HF_10","ACEPEN03_HF_10_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACEPEN",18,18
"ACEPEN03_HF_12","ACEPEN03_HF_12_LC_LP_LF","HF","CS1","LC","LF","LP","ACEPEN",42,36
"ACEPEN04_HF_02","ACEPEN04_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACEPEN",20,20
"ACEPEN04_HF_03","ACEPEN04_HF_03_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACEPEN",18,18
"ACEPEN04_HF_05","ACEPEN04_HF_05_LC_HP_LF","HF","CL1","LC","LF","HP","ACEPEN",36,41
"ACEPEN04_HF_06","ACEPEN04_HF_06_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACEPEN",21,21
"ACEPEN04_HF_08","ACEPEN04_HF_08_LC_LP_LF","HF","CS1","LC","LF","LP","ACEPEN",42,48
"ACEPEN04_HF_09","ACEPEN04_HF_09_HC_LP_HF","HF","WS2","HC","HF","LP","ACEPEN",46,57
"ACEPEN04_HF_10","ACEPEN04_HF_10_LC_HP_HF","HF","WL1","LC","HF","HP","ACEPEN",41,41
"ACEPEN04_HF_11","ACEPEN04_HF_11_chill0_HP_HF","HF","WL0","chill0","HF","HP","ACEPEN",13,13
"ACEPEN04_SH_01","ACEPEN04_SH_01_HC_HP_HF","SH","WL2","HC","HF","HP","ACEPEN",47,47
"ACEPEN04_SH_02","ACEPEN04_SH_02_chill0_HP_HF","SH","WL0","chill0","HF","HP","ACEPEN",13,18
"ACEPEN04_SH_03","ACEPEN04_SH_03_HC_HP_LF","SH","CL2","HC","LF","HP","ACEPEN",46,46
"ACEPEN04_SH_04","ACEPEN04_SH_04_LC_LP_LF","SH","CS1","LC","LF","LP","ACEPEN",48,48
"ACEPEN04_SH_05","ACEPEN04_SH_05_chill0_LP_HF","SH","WS0","chill0","HF","LP","ACEPEN",27,18
"ACEPEN04_SH_06","ACEPEN04_SH_06_LC_HP_LF","SH","CL1","LC","LF","HP","ACEPEN",50,46
"ACEPEN04_SH_07","ACEPEN04_SH_07_HC_LP_LF","SH","CS2","HC","LF","LP","ACEPEN",46,50
"ACEPEN04_SH_08","ACEPEN04_SH_08_LC_HP_HF","SH","WL1","LC","HF","HP","ACEPEN",46,46
"ACEPEN04_SH_09","ACEPEN04_SH_09_HC_LP_HF","SH","WS2","HC","HF","LP","ACEPEN",57,57
"ACEPEN04_SH_10","ACEPEN04_SH_10_LC_LP_HF","SH","WS1","LC","HF","LP","ACEPEN",57,57
"ACEPEN04_SH_11","ACEPEN04_SH_11_chill0_LP_LF","SH","CS0","chill0","LF","LP","ACEPEN",21,39
"ACEPEN06_SH_01","ACEPEN06_SH_01_chill0_HP_HF","SH","WL0","chill0","HF","HP","ACEPEN",18,18
"ACEPEN06_SH_03","ACEPEN06_SH_03_chill0_LP_HF","SH","WS0","chill0","HF","LP","ACEPEN",18,26
"ACEPEN06_SH_06","ACEPEN06_SH_06_LC_HP_LF","SH","CL1","LC","LF","HP","ACEPEN",41,46
"ACEPEN06_SH_08","ACEPEN06_SH_08_LC_HP_HF","SH","WL1","LC","HF","HP","ACEPEN",41,46
"ACEPEN06_SH_10","ACEPEN06_SH_10_chill0_HP_LF","SH","CL0","chill0","LF","HP","ACEPEN",29,20
"ACEPEN07_SH_01","ACEPEN07_SH_01_LC_LP_LF","SH","CS1","LC","LF","LP","ACEPEN",56,56
"ACEPEN07_SH_03","ACEPEN07_SH_03_HC_HP_LF","SH","CL2","HC","LF","HP","ACEPEN",49,49
