"","lab","day","population","chill","photo","force","flask","percent4.t","indiv","tbb","nl","latbb80","latbb50","latbb1","treatment"
"1","mp_HC_HP_HF_1_acegla",61,"mp","HC","HP","HF",1,NA,"11",NA,0,NA,NA,NA,"HC_HP_HF"
"2","mp_HC_HP_HF_1_loninv",20,"mp","HC","HP","HF",1,50,"6",20,1,NA,24,10,"HC_HP_HF"
"3","mp_HC_HP_HF_1_menfer",31,"mp","HC","HP","HF",1,NA,"10",84,1,NA,NA,45,"HC_HP_HF"
"4","mp_HC_HP_HF_1_rhoalb",36,"mp","HC","HP","HF",1,75,"1",36,1,NA,NA,13,"HC_HP_HF"
"5","mp_HC_HP_HF_10_amealn",82,"mp","HC","HP","HF",10,NA,"6",82,1,5,5,5,"HC_HP_HF"
"6","mp_HC_HP_HF_10_corsto",0,"mp","HC","HP","HF",10,NA,"1",79,1,12,8,8,"HC_HP_HF"
"7","mp_HC_HP_HF_10_samrac",60,"mp","HC","HP","HF",10,50,"a_sf",60,1,19,12,12,"HC_HP_HF"
"8","mp_HC_HP_HF_10_symalb",76,"mp","HC","HP","HF",10,NA,"eg",76,1,24,24,8,"HC_HP_HF"
"9","mp_HC_HP_HF_11_corsto",80,"mp","HC","HP","HF",11,80,"NA",80,1,10,10,10,"HC_HP_HF"
"10","mp_HC_HP_HF_11_rhoalb",57,"mp","HC","HP","HF",11,NA,"9",57,1,12,10,10,"HC_HP_HF"
"11","mp_HC_HP_HF_11_vacmem",80,"mp","HC","HP","HF",11,5,"ll",80,1,NA,NA,10,"HC_HP_HF"
"12","mp_HC_HP_HF_12_rhoalb",8,"mp","HC","HP","HF",12,NA,"1",80,1,NA,24,16,"HC_HP_HF"
"13","mp_HC_HP_HF_12_riblac",9,"mp","HC","HP","HF",12,NA,"9",64,1,NA,42,19,"HC_HP_HF"
"14","mp_HC_HP_HF_12_shecan",0,"mp","HC","HP","HF",12,NA,"6",82,1,34,28,19,"HC_HP_HF"
"15","mp_HC_HP_HF_12_sorsco",47,"mp","HC","HP","HF",12,NA,"10",47,1,NA,NA,NA,"HC_HP_HF"
"16","mp_HC_HP_HF_13_alninc",32,"mp","HC","HP","HF",13,50,"b_ll",32,1,24,24,19,"HC_HP_HF"
"17","mp_HC_HP_HF_13_amealn",3,"mp","HC","HP","HF",13,NA,"6",40,1,16,13,13,"HC_HP_HF"
"18","mp_HC_HP_HF_13_popbal",10,"mp","HC","HP","HF",13,NA,"10",66,1,NA,NA,NA,"HC_HP_HF"
"19","mp_HC_HP_HF_13_riblac",26,"mp","HC","HP","HF",13,NA,"b_sf",35,1,NA,NA,34,"HC_HP_HF"
"20","mp_HC_HP_HF_14_alnvir",76,"mp","HC","HP","HF",14,50,"1",76,1,42,37,37,"HC_HP_HF"
"21","mp_HC_HP_HF_14_amealn",41,"mp","HC","HP","HF",14,NA,"6",41,1,5,5,5,"HC_HP_HF"
"22","mp_HC_HP_HF_14_spibet",9,"mp","HC","HP","HF",14,NA,"tml",47,1,24,10,10,"HC_HP_HF"
"23","mp_HC_HP_HF_14_spipyr",14,"mp","HC","HP","HF",14,NA,"2",24,1,NA,24,16,"HC_HP_HF"
"24","mp_HC_HP_HF_15_alnvir",32,"mp","HC","HP","HF",15,NA,"6",32,1,19,19,19,"HC_HP_HF"
"25","mp_HC_HP_HF_15_poptre",80,"mp","HC","HP","HF",15,40,"6",80,1,NA,NA,34,"HC_HP_HF"
"26","mp_HC_HP_HF_15_rhoalb",84,"mp","HC","HP","HF",15,60,"1",84,1,NA,24,17,"HC_HP_HF"
"27","mp_HC_HP_HF_15_spibet",82,"mp","HC","HP","HF",15,NA,"NA",82,1,NA,24,13,"HC_HP_HF"
"28","mp_HC_HP_HF_16_loninv",46,"mp","HC","HP","HF",16,60,"a",46,1,NA,NA,NA,"HC_HP_HF"
"29","mp_HC_HP_HF_16_poptre",9,"mp","HC","HP","HF",16,NA,"9",79,1,31,28,28,"HC_HP_HF"
"30","mp_HC_HP_HF_16_samrac",79,"mp","HC","HP","HF",16,50,"5",79,1,NA,NA,NA,"HC_HP_HF"
"31","mp_HC_HP_HF_16_spibet",18,"mp","HC","HP","HF",16,NA,"wjt",18,1,13,13,13,"HC_HP_HF"
"32","mp_HC_HP_HF_17_acegla",82,"mp","HC","HP","HF",17,15,"tml",82,1,NA,24,22,"HC_HP_HF"
"33","mp_HC_HP_HF_17_alninc",30,"mp","HC","HP","HF",17,NA,"4",30,1,22,22,22,"HC_HP_HF"
"34","mp_HC_HP_HF_17_samrac",46,"mp","HC","HP","HF",17,50,"5",46,1,NA,NA,NA,"HC_HP_HF"
"35","mp_HC_HP_HF_18_poptre",63,"mp","HC","HP","HF",18,15,"6",63,1,37,37,37,"HC_HP_HF"
"36","mp_HC_HP_HF_18_samrac",22,"mp","HC","HP","HF",18,50,"3",22,1,NA,NA,NA,"HC_HP_HF"
"37","mp_HC_HP_HF_18_spipyr",1,"mp","HC","HP","HF",18,NA,"wjt",69,1,NA,26,15,"HC_HP_HF"
"38","mp_HC_HP_HF_18_vibedu",41,"mp","HC","HP","HF",18,NA,"9",41,1,24,12,7,"HC_HP_HF"
"39","mp_HC_HP_HF_19_shecan",1,"mp","HC","HP","HF",19,NA,"8",55,1,23,23,16,"HC_HP_HF"
"40","mp_HC_HP_HF_19_symalb",49,"mp","HC","HP","HF",19,NA,"eg",49,1,24,13,10,"HC_HP_HF"
"41","mp_HC_HP_HF_19_vacmem",49,"mp","HC","HP","HF",19,5,"ll",49,1,24,23,10,"HC_HP_HF"
"42","mp_HC_HP_HF_2_acegla",16,"mp","HC","HP","HF",2,NA,"NA",NA,0,NA,NA,NA,"HC_HP_HF"
"43","mp_HC_HP_HF_2_menfer",19,"mp","HC","HP","HF",2,NA,"NA",61,1,31,31,26,"HC_HP_HF"
"44","mp_HC_HP_HF_2_rhoalb",35,"mp","HC","HP","HF",2,NA,"NA",35,1,19,19,13,"HC_HP_HF"
"45","mp_HC_HP_HF_20_menfer",18,"mp","HC","HP","HF",20,NA,"10",75,1,NA,NA,26,"HC_HP_HF"
"46","mp_HC_HP_HF_20_rhoalb",79,"mp","HC","HP","HF",20,NA,"11",79,1,24,19,7,"HC_HP_HF"
"47","mp_HC_HP_HF_20_shecan",34,"mp","HC","HP","HF",20,40,"8",34,1,23,19,13,"HC_HP_HF"
"48","mp_HC_HP_HF_20_spipyr",31,"mp","HC","HP","HF",20,NA,"2",31,1,24,24,13,"HC_HP_HF"
"49","mp_HC_HP_HF_21_acegla",57,"mp","HC","HP","HF",21,35,"11",57,1,NA,45,42,"HC_HP_HF"
"50","mp_HC_HP_HF_21_sorsco",81,"mp","HC","HP","HF",21,NA,"10",81,1,NA,NA,NA,"HC_HP_HF"
"51","mp_HC_HP_HF_21_spipyr",46,"mp","HC","HP","HF",21,NA,"wjt",46,1,13,13,13,"HC_HP_HF"
"52","mp_HC_HP_HF_21_vibedu",30,"mp","HC","HP","HF",21,75,"9",30,1,24,13,13,"HC_HP_HF"
"53","mp_HC_HP_HF_22_loninv",34,"mp","HC","HP","HF",22,30,"a",34,1,19,19,19,"HC_HP_HF"
"54","mp_HC_HP_HF_22_samrac",5,"mp","HC","HP","HF",22,NA,"6",24,1,23,16,16,"HC_HP_HF"
"55","mp_HC_HP_HF_22_sorsco",30,"mp","HC","HP","HF",22,NA,"9",30,1,NA,NA,NA,"HC_HP_HF"
"56","mp_HC_HP_HF_22_spipyr",10,"mp","HC","HP","HF",22,NA,"2",82,1,NA,NA,26,"HC_HP_HF"
"57","mp_HC_HP_HF_23_loninv",43,"mp","HC","HP","HF",23,40,"6",43,1,NA,NA,13,"HC_HP_HF"
"58","mp_HC_HP_HF_23_riblac",1,"mp","HC","HP","HF",23,NA,"9",78,1,NA,NA,19,"HC_HP_HF"
"59","mp_HC_HP_HF_23_rubpar",3,"mp","HC","HP","HF",23,NA,"sf",79,1,24,19,19,"HC_HP_HF"
"60","mp_HC_HP_HF_23_symalb",8,"mp","HC","HP","HF",23,NA,"wjt",51,1,NA,13,10,"HC_HP_HF"
"61","mp_HC_HP_HF_24_poptre",45,"mp","HC","HP","HF",24,NA,"g_eg",45,1,NA,45,45,"HC_HP_HF"
"62","mp_HC_HP_HF_24_riblac",78,"mp","HC","HP","HF",24,NA,"c_sf",78,1,NA,24,12,"HC_HP_HF"
"63","mp_HC_HP_HF_24_shecan",24,"mp","HC","HP","HF",24,40,"8",24,1,24,22,19,"HC_HP_HF"
"64","mp_HC_HP_HF_24_vibedu",33,"mp","HC","HP","HF",24,25,"2",33,1,NA,24,10,"HC_HP_HF"
"65","mp_HC_HP_HF_25_acegla",19,"mp","HC","HP","HF",25,NA,"10",75,1,NA,NA,NA,"HC_HP_HF"
"66","mp_HC_HP_HF_25_popbal",60,"mp","HC","HP","HF",25,NA,"8",60,1,19,19,16,"HC_HP_HF"
"67","mp_HC_HP_HF_25_samrac",44,"mp","HC","HP","HF",25,50,"5",44,1,NA,48,48,"HC_HP_HF"
"68","mp_HC_HP_HF_26_loninv",18,"mp","HC","HP","HF",26,30,"6",18,1,NA,NA,NA,"HC_HP_HF"
"69","mp_HC_HP_HF_26_riblac",63,"mp","HC","HP","HF",26,NA,"6",63,1,24,22,10,"HC_HP_HF"
"70","mp_HC_HP_HF_26_sorsco",15,"mp","HC","HP","HF",26,NA,"10",15,1,24,13,13,"HC_HP_HF"
"71","mp_HC_HP_HF_26_vibedu",43,"mp","HC","HP","HF",26,70,"9",43,1,19,13,13,"HC_HP_HF"
"72","mp_HC_HP_HF_27_amealn",36,"mp","HC","HP","HF",27,NA,"7",36,1,10,4,4,"HC_HP_HF"
"73","mp_HC_HP_HF_27_rubpar",31,"mp","HC","HP","HF",27,NA,"7",31,1,24,23,19,"HC_HP_HF"
"74","mp_HC_HP_HF_27_shecan",37,"mp","HC","HP","HF",27,85,"8",37,1,19,19,15,"HC_HP_HF"
"75","mp_HC_HP_HF_27_vacmem",1,"mp","HC","HP","HF",27,NA,"tml",60,1,NA,NA,8,"HC_HP_HF"
