lab2,population,treatment,flask,species,bb,trt
sm.LC.HP.LF.1.acegla.1,sm,LC.HP.LF,1,acegla,75,LC_HP_LF
sm.HC.HP.LF.2.acegla.1,sm,HC.HP.LF,2,acegla,42,HC_HP_LF
mp.HC.LP.LF.2.acegla.1,mp,HC.LP.LF,2,acegla,36,HC_LP_LF
sm.LC.LP.LF.2.acegla.1,sm,LC.LP.LF,2,acegla,60,LC_LP_LF
mp.HC.LP.LF.3.acegla.1,mp,HC.LP.LF,3,acegla,42,HC_LP_LF
sm.HC.LP.LF.4.acegla.1,sm,HC.LP.LF,4,acegla,16,HC_LP_LF
sm.LC.LP.HF.4.acegla.1,sm,LC.LP.HF,4,acegla,69,LC_LP_HF
sm.HC.HP.HF.5.acegla.1,sm,HC.HP.HF,5,acegla,54,HC_HP_HF
mp.HC.HP.LF.5.acegla.1,mp,HC.HP.LF,5,acegla,24,HC_HP_LF
mp.HC.LP.HF.6.acegla.1,mp,HC.LP.HF,6,acegla,20,HC_LP_HF
sm.LC.LP.HF.7.acegla.1,sm,LC.LP.HF,7,acegla,81,LC_LP_HF
mp.HC.HP.HF.8.acegla.1,mp,HC.HP.HF,8,acegla,19,HC_HP_HF
sm.LC.HP.LF.8.acegla.1,sm,LC.HP.LF,8,acegla,39,LC_HP_LF
sm.LC.LP.HF.8.acegla.1,sm,LC.LP.HF,8,acegla,19,LC_LP_HF
sm.LC.LP.LF.8.acegla.1,sm,LC.LP.LF,8,acegla,49,LC_LP_LF
sm.HC.HP.HF.9.acegla.1,sm,HC.HP.HF,9,acegla,16,HC_HP_HF
sm.HC.LP.LF.9.acegla.1,sm,HC.LP.LF,9,acegla,30,HC_LP_LF
sm.LC.HP.LF.9.acegla.1,sm,LC.HP.LF,9,acegla,43,LC_HP_LF
mp.LC.HP.LF.10.acegla.1,mp,LC.HP.LF,10,acegla,81,LC_HP_LF
sm.LC.LP.HF.10.acegla.1,sm,LC.LP.HF,10,acegla,19,LC_LP_HF
sm.LC.HP.LF.11.acegla.1,sm,LC.HP.LF,11,acegla,48,LC_HP_LF
sm.LC.LP.HF.11.acegla.1,sm,LC.LP.HF,11,acegla,42,LC_LP_HF
