"year","day","tempMin","tempMax","tempMean","month"
"1976",1,"LegendMM","LegendMM","LegendMM","9"
"1976",2,"LegendMM","LegendMM","LegendMM","9"
"1976",3,"LegendMM","LegendMM","LegendMM","9"
"1976",4,"LegendMM","LegendMM","LegendMM","9"
"1976",5,"LegendMM","LegendMM","LegendMM","9"
"1976",6,"LegendMM","LegendMM","LegendMM","9"
"1976",7,"LegendMM","LegendMM","LegendMM","9"
"1976",8,"LegendMM","LegendMM","LegendMM","9"
"1976",9,"LegendMM","LegendMM","LegendMM","9"
"1976",10,"LegendMM","LegendMM","LegendMM","9"
"1976",11,"LegendMM","LegendMM","LegendMM","9"
"1976",12,"LegendMM","LegendMM","LegendMM","9"
"1976",13,"LegendMM","LegendMM","LegendMM","9"
"1976",14,"LegendMM","LegendMM","LegendMM","9"
"1976",15,"LegendMM","LegendMM","LegendMM","9"
"1976",16,"LegendMM","LegendMM","LegendMM","9"
"1976",17,"LegendMM","LegendMM","LegendMM","9"
"1976",18,"LegendMM","LegendMM","LegendMM","9"
"1976",19,"4.4","22.8","13.6","9"
"1976",20,"3.3","27.2","15.3","9"
"1976",21,"4.4","23.9","14.2","9"
"1976",22,"7.8","15.0","11.4","9"
"1976",23,"10.6","17.8","14.2","9"
"1976",24,"9.4","20.0","14.7","9"
"1976",25,"6.7","21.1","13.9","9"
"1976",26,"7.2","22.2","14.7","9"
"1976",27,"8.3","22.2","15.3","9"
"1976",28,"5.6","18.9","12.3","9"
"1976",29,"5.6","18.3","12.0","9"
"1976",30,"5.0","17.8","11.4","9"
"1977",1,"3.9","18.3","11.1","9"
"1977",2,"5.0","12.8","8.9","9"
"1977",3,"9.4","16.1","12.8","9"
"1977",4,"9.4","21.7","15.6","9"
"1977",5,"10.0","16.7","13.4","9"
"1977",6,"4.4","18.3","11.4","9"
"1977",7,"4.4","16.7","10.6","9"
"1977",8,"6.1","15.6","10.9","9"
"1977",9,"6.1","18.3","12.2","9"
"1977",10,"2.8","21.1","12.0","9"
"1977",11,"3.3","22.2","12.8","9"
"1977",12,"3.9","22.8","13.4","9"
"1977",13,"4.4","22.2","13.3","9"
"1977",14,"7.8","13.3","10.6","9"
"1977",15,"5.0","12.2","8.6","9"
"1977",16,"5.0","13.3","9.2","9"
"1977",17,"3.3","16.1","9.7","9"
"1977",18,"3.9","16.7","10.3","9"
"1977",19,"5.6","11.7","8.7","9"
"1977",20,"7.2","11.1","9.2","9"
"1977",21,"3.9","10.6","7.3","9"
"1977",22,"1.1","12.8","7.0","9"
"1977",23,"2.2","8.3","5.3","9"
"1977",24,"5.0","10.6","7.8","9"
"1977",25,"-0.6","14.4","6.9","9"
"1977",26,"0.0","15.6","7.8","9"
"1977",27,"0.0","15.6","7.8","9"
"1977",28,"1.7","12.2","7.0","9"
"1977",29,"4.4","11.1","7.8","9"
"1977",30,"5.6","9.4","7.5","9"
"1978",1,"7.4","14.8","11.1","9"
"1978",2,"7.9","13.0","10.5","9"
