"","site","chill","photo","force","indiv","flask","species"
"1","sm","HC","HP","HF","5","1","amealn"
"2","sm","HC","HP","HF","1","1","alninc"
"3","sm","HC","HP","HF","11","1","sorsco"
"4","sm","HC","HP","HF","4","1","vibedu"
"5","sm","HC","HP","HF","b","10","corsto"
"6","sm","HC","HP","HF",NA,"10","rubpar"
"7","sm","HC","HP","HF",NA,"10","symalb"
"8","sm","HC","HP","HF","b","10","spipyr"
"9","sm","HC","HP","HF","a","11","betpap"
"10","sm","HC","HP","HF","a","11","betpap"
"11","sm","HC","HP","HF","b","11","poptre"
"12","sm","HC","HP","HF","b","11","poptre"
"13","sm","HC","HP","HF","12","11","shecan"
"14","sm","HC","HP","HF","10","12","loninv"
"15","sm","HC","HP","HF","12","12","menfer"
"16","sm","HC","HP","HF","a","12","popbal"
"17","sm","HC","HP","HF","8","12","poptre"
"18","sm","HC","HP","HF","1","13","alninc"
"19","sm","HC","HP","HF","20","13","popbal"
"20","sm","HC","HP","HF","NA","13","symalb"
"21","sm","HC","HP","HF","5","13","sorsco"
"22","sm","HC","HP","HF","11","14","acegla"
"23","sm","HC","HP","HF","10","14","loninv"
"24","sm","HC","HP","HF","3","14","menfer"
"25","sm","HC","HP","HF","11","14","poptre"
"26","sm","HC","HP","HF","1","15","amealn"
"27","sm","HC","HP","HF","9","15","loninv"
"28","sm","HC","HP","HF","a","15","spibet"
"29","sm","HC","HP","HF","6","15","sorsco"
"30","sm","HC","HP","HF","onion_e","16","popbal"
"31","sm","HC","HP","HF",NA,"16","symalb"
"32","sm","HC","HP","HF",NA,"16","spibet"
"33","Sm","HC","HP","HF","a","16","shecan"
"34","sm","HC","HP","HF","onion_e","17","popbal"
"35","sm","HC","HP","HF",NA,"17","rubpar"
"36","sm","HC","HP","HF",NA,"17","rubpar"
"37","sm","HC","HP","HF","3","17","vibedu"
"38","sm","HC","HP","HF","5","18","alninc"
"39","sm","HC","HP","HF","2","18","menfer"
"40","sm","HC","HP","HF","20","18","popbal"
"41","sm","HC","HP","HF","5","19","alninc"
"42","sm","HC","HP","HF","11","19","corsto"
"43","sm","HC","HP","HF","4","19","menfer"
"44","sm","HC","HP","HF","2","19","symalb"
"45","sm","HC","HP","HF",NA,"2","symalb"
"46","sm","HC","HP","HF",NA,"2","spibet"
"47","sm","HC","HP","HF","8","2","shecan"
"48","sm","HC","HP","HF","d","2","vibedu"
"49","sm","HC","HP","HF","3b","20","riblac"
"50","sm","HC","HP","HF",NA,"20","spibet"
"51","sm","HC","HP","HF","oct_21","20","vacmem"
"52","sm","HC","HP","HF","oct_21","20","vacmem"
"53","sm","HC","HP","HF","5","21","amealn"
"54","sm","HC","HP","HF","9","21","loninv"
"55","sm","HC","HP","HF","oct_23","21","vacmem"
"56","sm","HC","HP","HF","a","22","betpap"
"57","sm","HC","HP","HF","9","22","riblac"
"58","sm","HC","HP","HF",NA,"22","symalb"
"59","sm","HC","HP","HF","12","22","shecan"
"60","sm","HC","HP","HF",NA,"22","sorsco"
"61","sm","HC","HP","HF","a","23","betpap"
"62","sm","HC","HP","HF","a","23","popbal"
"63","sm","HC","HP","HF","a","23","spibet"
"64","sm","HC","HP","HF","6","24","alnvir"
"65","sm","HC","HP","HF","2","24","alnvir"
"66","sm","HC","HP","HF","cl","24","symalb"
"67","sm","HC","HP","HF","oct_21","24","vacmem"
"68","sm","HC","HP","HF","a","25","betpap"
"69","sm","HC","HP","HF","13","25","corsto"
