"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH"
"1976/1977",1977,152,217.75,143.256578947368,2279,1617,123.069049180383,3824.78190318818
"1977/1978",1978,151,242,160.264900662252,2224,1764.5,126.162136576337,6419.62053630008
"1978/1979",1979,151,242,160.264900662252,2289,1953,138.607849181428,5069.82593434914
"1979/1980",1980,151,242,160.264900662252,2705,2042.5,144.219051595907,7426.63685956361
"1980/1981",1981,152,235.333333333333,154.824561403509,3044,2729,153.384697931704,7135.48599846949
"1981/1982",1982,151,231.333333333333,153.200883002208,2402,1681,126.826053091507,6722.83212908298
"1982/1983",1983,151,229.333333333333,151.876379690949,3014,2323,141.840263548207,7027.62421813668
"1983/1984",1984,151,228.333333333333,151.21412803532,2803,2165,131.795116583193,6066.61481379548
"1984/1985",1985,152,236.5,155.592105263158,2421,1874.5,134.652025376398,4629.26002381048
"1985/1986",1986,151,231.833333333333,153.532008830022,2870,2215,147.368332278414,6469.6895549591
"1986/1987",1987,151,234.833333333333,155.518763796909,3052,2355,135.716011599814,6263.4220985778
"1987/1988",1988,151,240.416666666667,159.216335540839,2704,1983,132.596342717367,9786.11904069079
"1988/1989",1989,152,238.916666666667,157.18201754386,2921,2204.5,142.639779053697,6264.00843163351
"1989/1990",1990,151,242,160.264900662252,2771,1882.5,122.586679646549,7989.94045655583
"1990/1991",1991,151,242,160.264900662252,2956,2220,142.931429353142,9484.68810209378
"1991/1992",1992,151,242,160.264900662252,2936,2354,137.843549508188,10190.0764593457
"1992/1993",1993,152,242,159.210526315789,2542,2187,142.984439911627,7430.84299364125
"1993/1994",1994,151,242,160.264900662252,3080,2281.5,132.325984293909,7588.37818378681
"1994/1995",1995,151,242,160.264900662252,3031,2572,147.884236097546,8500.95427573917
"1995/1996",1996,151,242,160.264900662252,2432,1884,119.164449935415,8477.75820716941
"1996/1997",1997,152,242,159.210526315789,3047,2315.5,148.365150191235,4989.8100904028
"1997/1998",1998,151,242,160.264900662252,3056,2333,141.63725038506,7419.33873175797
"1998/1999",1999,151,242,160.264900662252,2955,1962,134.979958116946,7739.8547554785
"1999/2000",2000,151,242,160.264900662252,2617,1769.5,130.585630985419,5727.21726062541
"2000/2001",2001,152,242,159.210526315789,2739,2138.5,137.378833663292,5783.64020805085
"2001/2002",2002,151,242,160.264900662252,2576,2008.5,137.570820170342,6573.2399085008
"2002/2003",2003,151,242,160.264900662252,2736,2060,145.581263849913,6746.35125980526
"2003/2004",2004,151,242,160.264900662252,3055,2291,145.282020103627,7640.72183195551
"2004/2005",2005,152,242,159.210526315789,2712,2540,149.881585998597,7096.65307456189
"2005/2006",2006,151,242,160.264900662252,2877,2133.5,140.109358826509,6707.33274983249
"2006/2007",2007,151,242,160.264900662252,2818,2213,136.532441894997,7578.71127368004
"2007/2008",2008,151,150,99.3377483443709,1582,1174.5,78.0223711048649,4448.05862047416
"2009/2010",2010,151,212,140.397350993378,2562,2084,128.50321697903,7637.70180908173
"2010/2011",2011,151,242,160.264900662252,2738,1998.5,139.16697858863,6271.42656402505
"2011/2012",2012,151,242,160.264900662252,2689,1738.5,125.511374436316,7215.42056066844
"2012/2013",2013,152,240.916666666667,158.497807017544,2774,1924.5,139.484359404133,7705.36368736796
"2013/2014",2014,151,242,160.264900662252,2748,2112,132.048064899216,9476.02438432117
"2014/2015",2015,151,242,160.264900662252,2917,2583.5,146.711958161475,9638.05612072094
"2015/2016",2016,151,242,160.264900662252,3193,2668,147.594549154274,7262.96180561906
"2016/2017",2017,152,242,159.210526315789,2570,2080.5,128.571069121639,7921.75430971569
"2017/2018",2018,151,242,160.264900662252,2946,2162,137.320077793126,7733.90685651727
"1974/1975",1975,151,101.166666666667,66.9977924944812,1159,823.5,60.4919835479893,2352.88538632501
"1975/1976",1976,151,162.083333333333,107.33995584989,1682,1236,90.9069279119464,2276.24249485161
"2008/2009",2009,152,122,80.2631578947368,1609,1096,72.9811937823903,1217.60140157914
