"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH"
"1975/1976",1976,152,242,159.210526315789,1897,1569,128.891692946112,4691.85150183192
"1976/1977",1977,153,242,158.169934640523,1941,1606,125.596344935675,5056.2352613379
"1977/1978",1978,152,242,159.210526315789,1808,1672.5,120.989401956504,5419.82148489464
"1978/1979",1979,152,228.5,150.328947368421,1681,1612.5,114.684500261143,5359.11232735
"1979/1980",1980,152,242,159.210526315789,2099,1731.5,131.549559836014,7329.62803478816
"1980/1981",1981,153,242,158.169934640523,2224,1951.5,133.492625653631,5336.23150089025
"1981/1982",1982,152,242,159.210526315789,1474,1396,104.131352371088,4928.97144849023
"1982/1983",1983,152,242,159.210526315789,1898,1578,117.774984412079,5149.0640238974
"1983/1984",1984,152,242,159.210526315789,1982,1801,129.131182557453,5032.88695581737
"1984/1985",1985,153,242,158.169934640523,1862,1577.5,123.452574721038,3051.17334227665
"1985/1986",1986,152,242,159.210526315789,1892,1797.5,135.308163676318,5612.23345421341
"1986/1987",1987,152,242,159.210526315789,2234,1830.5,132.787067403117,4352.21815731786
"1987/1988",1988,152,242,159.210526315789,2153,1832,128.816640539724,5904.05921768001
"1988/1989",1989,153,242,158.169934640523,2048,1618.5,128.37324375327,5805.09774559869
"1989/1990",1990,152,242,159.210526315789,1849,1395.5,114.523992454688,6234.29294260178
"1990/1991",1991,152,242,159.210526315789,2178,1662.5,133.622942983517,5976.90487011605
"1991/1992",1992,152,237,155.921052631579,2026,1575.5,126.843625180562,6341.86313191266
"1992/1993",1993,153,203,132.679738562092,1719,1656.5,107.192256223658,4383.35379869192
"1993/1994",1994,152,225,148.026315789474,1582,1301,105.736495312042,4528.72499227491
"1994/1995",1995,152,242,159.210526315789,1795,1621.5,109.832798004124,5989.95963692831
"1995/1996",1996,152,239.916666666667,157.839912280702,1580,1264,94.8315245497829,7052.86189059279
"1996/1997",1997,153,241,157.516339869281,2075,1654,144.833329953201,3971.97725056149
"1997/1998",1998,152,241,158.552631578947,2069,1844,121.743359702016,5700.46610701382
"1998/1999",1999,152,242,159.210526315789,1897,1510.5,125.081814494497,4979.22949451293
"1999/2000",2000,152,242,159.210526315789,2082,1661,126.638746365128,4578.73745934994
"2000/2001",2001,153,242,158.169934640523,1962,1675.5,123.312528233256,4212.07811154826
"2001/2002",2002,152,242,159.210526315789,1854,1572,121.143327749421,4360.71462070543
"2002/2003",2003,152,242,159.210526315789,1694,1478,125.282574116263,4732.7997610422
"2003/2004",2004,152,242,159.210526315789,1931,1667.5,132.694063592202,5884.21275661144
"2004/2005",2005,153,242,158.169934640523,2353,2110,142.586575800592,5056.31857340876
"2005/2006",2006,152,242,159.210526315789,1712,1463.5,121.421501860634,5420.4253844009
"2006/2007",2007,152,242,159.210526315789,1996,1643,123.479864269364,5471.34019052023
"2007/2008",2008,152,242,159.210526315789,2017,1675,129.300121786822,4501.11479864998
"2008/2009",2009,153,242,158.169934640523,1675,1360.5,118.687579527823,4155.45131570169
"2009/2010",2010,152,242,159.210526315789,2174,1875,129.553702043467,6185.38637343517
"2010/2011",2011,152,238,156.578947368421,1857,1556,124.363520894474,5242.46277783557
"2011/2012",2012,152,242,159.210526315789,1719,1293,115.147570523319,5600.30988533424
"2012/2013",2013,153,242,158.169934640523,2050,1630,133.928812588355,5899.45304836656
"2013/2014",2014,152,240,157.894736842105,1801,1512,110.031430593352,6688.24634666146
"2014/2015",2015,152,239,157.236842105263,2069,1837.5,124.345541811774,7150.80307353331
"2015/2016",2016,152,242,159.210526315789,2625,2299.5,142.510564100705,4621.05862605445
"2016/2017",2017,153,242,158.169934640523,1840,1642.5,110.563608805187,6021.82719547466
"2017/2018",2018,152,185,121.710526315789,1377,1377,101.650335288464,6431.74281572277
"1974/1975",1975,152,182,119.736842105263,1110,699,78.182616067754,814.519721549072
