"year","day","tempMin","tempMax","tempMean","month"
"1943",1,"4.4","16.1","10.3","9"
"1943",2,"3.9","15.0","9.5","9"
"1943",3,"8.3","13.9","11.1","9"
"1943",4,"6.1","13.9","10.0","9"
"1943",5,"5.0","17.2","11.1","9"
"1943",6,"2.2","18.3","10.3","9"
"1943",7,"-0.6","22.8","11.1","9"
"1943",8,"2.8","20.0","11.4","9"
"1943",9,"3.9","22.2","13.1","9"
"1943",10,"-1.1","23.9","11.4","9"
"1943",11,"6.7","26.7","16.7","9"
"1943",12,"6.1","21.1","13.6","9"
"1943",13,"0.6","15.6","8.1","9"
"1943",14,"-3.3","17.8","7.3","9"
"1943",15,"-1.1","22.2","10.6","9"
"1943",16,"3.9","16.7","10.3","9"
"1943",17,"-0.6","14.4","6.9","9"
"1943",18,"-3.3","17.2","7.0","9"
"1943",19,"5.6","11.1","8.4","9"
"1943",20,"5.0","14.4","9.7","9"
"1943",21,"3.3","13.3","8.3","9"
"1943",22,"5.0","14.4","9.7","9"
"1943",23,"6.7","23.3","15.0","9"
"1943",24,"5.6","23.3","14.5","9"
"1943",25,"12.8","22.8","17.8","9"
"1943",26,"9.4","17.8","13.6","9"
"1943",27,"2.8","12.8","7.8","9"
"1943",28,"2.2","10.6","6.4","9"
"1943",29,"2.8","14.4","8.6","9"
"1943",30,"2.8","15.0","8.9","9"
"1944",1,"2.8","16.1","9.5","9"
"1944",2,"6.7","20.0","13.4","9"
"1944",3,"6.7","19.4","13.1","9"
"1944",4,"1.7","20.0","10.9","9"
"1944",5,"1.1","27.2","14.2","9"
"1944",6,"3.9","21.7","12.8","9"
"1944",7,"3.3","25.0","14.2","9"
"1944",8,"6.1","25.0","15.6","9"
"1944",9,"3.9","29.4","16.7","9"
"1944",10,"5.6","26.7","16.2","9"
"1944",11,"5.6","30.0","17.8","9"
"1944",12,"8.3","21.7","15.0","9"
"1944",13,"9.4","13.9","11.7","9"
"1944",14,"7.8","16.1","12.0","9"
"1944",15,"6.1","13.3","9.7","9"
"1944",16,"4.4","13.3","8.9","9"
"1944",17,"4.4","14.4","9.4","9"
"1944",18,"0.0","12.8","6.4","9"
"1944",19,"4.4","15.0","9.7","9"
"1944",20,"1.7","9.4","5.6","9"
"1944",21,"6.1","10.0","8.1","9"
"1944",22,"7.2","16.7","12.0","9"
"1944",23,"6.1","10.6","8.4","9"
"1944",24,"6.1","11.1","8.6","9"
"1944",25,"8.3","14.4","11.4","9"
"1944",26,"-1.7","19.4","8.9","9"
"1944",27,"2.8","11.7","7.3","9"
"1944",28,"8.3","10.0","9.2","9"
"1944",29,"0.6","11.7","6.2","9"
"1944",30,"-2.2","10.0","3.9","9"
"1945",1,"LegendMM","LegendMM","LegendMM","9"
"1945",2,"LegendMM","LegendMM","LegendMM","9"
"1945",3,"LegendMM","LegendMM","LegendMM","9"
"1945",4,"LegendMM","LegendMM","LegendMM","9"
"1945",5,"LegendMM","LegendMM","LegendMM","9"
"1945",6,"LegendMM","LegendMM","LegendMM","9"
"1945",7,"LegendMM","LegendMM","LegendMM","9"
"1945",8,"LegendMM","LegendMM","LegendMM","9"
"1945",9,"LegendMM","LegendMM","LegendMM","9"
"1945",10,"LegendMM","LegendMM","LegendMM","9"
"1945",11,"LegendMM","LegendMM","LegendMM","9"
"1945",12,"LegendMM","LegendMM","LegendMM","9"
"1945",13,"LegendMM","LegendMM","LegendMM","9"
"1945",14,"LegendMM","LegendMM","LegendMM","9"
"1945",15,"LegendMM","LegendMM","LegendMM","9"
"1945",16,"LegendMM","LegendMM","LegendMM","9"
"1945",17,"LegendMM","LegendMM","LegendMM","9"
"1945",18,"LegendMM","LegendMM","LegendMM","9"
"1945",19,"-0.6","15.6","7.5","9"
"1945",20,"0.6","13.9","7.3","9"
"1945",21,"2.8","12.2","7.5","9"
"1945",22,"-1.1","12.8","5.9","9"
"1945",23,"1.1","12.8","7.0","9"
"1945",24,"3.3","13.3","8.3","9"
"1945",25,"-2.8","15.6","6.4","9"
"1945",26,"-5.6","16.1","5.3","9"
"1945",27,"-5.0","14.4","4.7","9"
"1945",28,"-3.9","13.9","5.0","9"
"1945",29,"1.1","16.7","8.9","9"
"1945",30,"2.8","18.9","10.9","9"
"1946",1,"LegendMM","LegendMM","LegendMM","9"
"1946",2,"5.0","LegendMM","LegendMM","9"
"1946",3,"5.0","17.8","11.4","9"
"1946",4,"7.2","22.2","14.7","9"
"1946",5,"5.6","19.4","12.5","9"
"1946",6,"-1.7","21.7","10.0","9"
"1946",7,"-1.7","23.3","10.8","9"
"1946",8,"-1.1","25.0","12.0","9"
"1946",9,"-0.6","26.7","13.1","9"
"1946",10,"0.0","27.2","13.6","9"
"1946",11,"0.0","26.7","13.4","9"
"1946",12,"7.8","17.8","12.8","9"
"1946",13,"4.4","15.6","10.0","9"
"1946",14,"4.4","16.1","10.3","9"
"1946",15,"-1.7","17.2","7.8","9"
"1946",16,"2.2","17.2","9.7","9"
"1946",17,"-1.7","15.0","6.7","9"
"1946",18,"2.8","21.1","12.0","9"
"1946",19,"10.6","17.8","14.2","9"
"1946",20,"3.3","13.9","8.6","9"
"1946",21,"-2.2","12.2","5.0","9"
"1946",22,"-1.1","9.4","4.2","9"
"1946",23,"3.9","15.6","9.8","9"
"1946",24,"-0.6","14.4","6.9","9"
"1946",25,"-5.0","13.9","4.5","9"
"1946",26,"-2.8","8.9","3.1","9"
"1946",27,"-2.8","8.9","3.1","9"
"1946",28,"-0.6","7.8","3.6","9"
"1946",29,"4.4","13.3","8.9","9"
"1946",30,"1.7","15.6","8.7","9"
"1947",1,"10.0","16.7","13.4","9"
"1947",2,"7.2","19.4","13.3","9"
"1947",3,"2.8","17.2","10.0","9"
"1947",4,"1.7","12.8","7.3","9"
"1947",5,"-0.6","13.3","6.4","9"
"1947",6,"2.8","16.1","9.5","9"
"1947",7,"6.1","13.3","9.7","9"
"1947",8,"5.0","13.9","9.5","9"
"1947",9,"7.8","16.1","12.0","9"
"1947",10,"6.7","20.0","13.4","9"
"1947",11,"9.4","18.9","14.2","9"
"1947",12,"4.4","14.4","9.4","9"
"1947",13,"0.6","13.9","7.3","9"
"1947",14,"2.8","6.7","4.8","9"
"1947",15,"1.7","11.7","6.7","9"
"1947",16,"-1.1","13.3","6.1","9"
"1947",17,"-5.6","14.4","4.4","9"
"1947",18,"-4.4","17.8","6.7","9"
"1947",19,"-1.1","17.2","8.1","9"
"1947",20,"3.3","19.4","11.4","9"
"1947",21,"9.4","23.3","16.4","9"
"1947",22,"1.7","21.1","11.4","9"
"1947",23,"3.3","21.7","12.5","9"
"1947",24,"0.6","24.4","12.5","9"
"1947",25,"1.7","24.4","13.1","9"
"1947",26,"0.0","23.3","11.7","9"
"1947",27,"1.1","17.8","9.5","9"
"1947",28,"4.4","20.0","12.2","9"
"1947",29,"3.3","25.0","14.2","9"
"1947",30,"0.6","24.4","12.5","9"
"1948",1,"2.2","14.4","8.3","9"
"1948",2,"7.8","18.3","13.1","9"
"1948",3,"6.1","13.3","9.7","9"
"1948",4,"1.7","16.1","8.9","9"
"1948",5,"5.0","15.6","10.3","9"
"1948",6,"5.6","15.6","10.6","9"
"1948",7,"7.2","20.0","13.6","9"
"1948",8,"5.0","21.7","13.4","9"
"1948",9,"8.9","24.4","16.7","9"
"1948",10,"8.3","21.7","15.0","9"
"1948",11,"-1.1","14.4","6.7","9"
"1948",12,"-2.2","17.8","7.8","9"
"1948",13,"7.2","10.0","8.6","9"
"1948",14,"7.2","13.3","10.3","9"
"1948",15,"6.7","13.9","10.3","9"
"1948",16,"2.2","15.0","8.6","9"
"1948",17,"-0.6","18.9","9.2","9"
"1948",18,"7.8","17.2","12.5","9"
"1948",19,"8.9","17.2","13.1","9"
"1948",20,"4.4","17.2","10.8","9"
"1948",21,"2.8","14.4","8.6","9"
"1948",22,"-3.3","11.1","3.9","9"
"1948",23,"-6.7","11.1","2.2","9"
"1948",24,"-5.0","11.1","3.1","9"
"1948",25,"4.4","15.0","9.7","9"
"1948",26,"5.6","11.1","8.4","9"
"1948",27,"3.3","11.1","7.2","9"
"1948",28,"1.1","9.4","5.3","9"
"1948",29,"-4.4","9.4","2.5","9"
"1948",30,"-3.9","14.4","5.3","9"
"1949",1,"7.2","20.6","13.9","9"
"1949",2,"11.1","17.2","14.2","9"
"1949",3,"11.7","22.8","17.3","9"
"1949",4,"6.7","25.0","15.9","9"
"1949",5,"3.9","26.7","15.3","9"
"1949",6,"2.8","27.2","15.0","9"
"1949",7,"4.4","27.2","15.8","9"
"1949",8,"5.6","25.6","15.6","9"
"1949",9,"8.3","18.9","13.6","9"
"1949",10,"-0.6","16.1","7.8","9"
"1949",11,"-3.9","18.3","7.2","9"
"1949",12,"-1.7","9.4","3.9","9"
"1949",13,"5.6","12.2","8.9","9"
"1949",14,"8.3","16.1","12.2","9"
"1949",15,"0.6","8.9","4.8","9"
"1949",16,"6.7","12.2","9.5","9"
"1949",17,"2.8","13.9","8.4","9"
"1949",18,"5.6","12.2","8.9","9"
"1949",19,"-1.7","12.2","5.3","9"
"1949",20,"3.3","11.1","7.2","9"
"1949",21,"6.7","17.8","12.3","9"
"1949",22,"5.0","19.4","12.2","9"
"1949",23,"2.8","21.1","12.0","9"
"1949",24,"8.9","17.8","13.4","9"
"1949",25,"-0.6","20.0","9.7","9"
"1949",26,"0.0","22.2","11.1","9"
"1949",27,"0.6","22.8","11.7","9"
"1949",28,"0.6","22.8","11.7","9"
"1949",29,"10.0","13.9","12.0","9"
"1949",30,"6.1","13.3","9.7","9"
"1950",1,"5.0","20.0","12.5","9"
"1950",2,"5.0","18.9","12.0","9"
"1950",3,"6.1","17.8","12.0","9"
"1950",4,"4.4","16.7","10.6","9"
"1950",5,"5.6","14.4","10.0","9"
"1950",6,"5.0","13.9","9.5","9"
"1950",7,"1.1","16.7","8.9","9"
"1950",8,"-1.7","20.0","9.2","9"
"1950",9,"-1.7","22.8","10.6","9"
"1950",10,"0.0","25.0","12.5","9"
"1950",11,"0.0","23.3","11.7","9"
"1950",12,"2.2","25.6","13.9","9"
"1950",13,"2.8","28.3","15.6","9"
"1950",14,"3.9","26.1","15.0","9"
"1950",15,"5.6","17.8","11.7","9"
"1950",16,"7.8","17.2","12.5","9"
"1950",17,"3.9","17.2","10.6","9"
"1950",18,"1.1","15.6","8.4","9"
"1950",19,"2.8","14.4","8.6","9"
"1950",20,"9.4","20.0","14.7","9"
"1950",21,"6.7","25.6","16.2","9"
"1950",22,"10.0","20.0","15.0","9"
"1950",23,"8.9","18.3","13.6","9"
"1950",24,"5.0","15.6","10.3","9"
"1950",25,"0.6","11.1","5.9","9"
"1950",26,"0.6","13.3","7.0","9"
"1950",27,"0.0","11.7","5.9","9"
"1950",28,"-1.7","13.3","5.8","9"
"1950",29,"-6.1","13.3","3.6","9"
"1950",30,"-6.1","13.9","3.9","9"
"1951",1,"7.8","25.0","16.4","9"
"1951",2,"6.1","25.6","15.9","9"
"1951",3,"4.4","26.1","15.3","9"
"1951",4,"5.6","27.8","16.7","9"
"1951",5,"4.4","28.3","16.4","9"
"1951",6,"5.6","27.2","16.4","9"
"1951",7,"11.7","23.9","17.8","9"
"1951",8,"10.0","17.2","13.6","9"
"1951",9,"8.9","15.6","12.3","9"
"1951",10,"1.7","15.0","8.4","9"
"1951",11,"-1.1","12.2","5.6","9"
"1951",12,"3.9","15.6","9.8","9"
"1951",13,"5.0","22.2","13.6","9"
"1951",14,"2.2","25.6","13.9","9"
"1951",15,"4.4","26.7","15.6","9"
"1951",16,"3.3","28.3","15.8","9"
"1951",17,"5.0","26.7","15.9","9"
"1951",18,"8.3","18.9","13.6","9"
"1951",19,"2.2","18.3","10.3","9"
"1951",20,"-1.7","20.0","9.2","9"
"1951",21,"0.6","22.8","11.7","9"
"1951",22,"1.7","21.1","11.4","9"
"1951",23,"4.4","8.9","6.7","9"
"1951",24,"-0.6","3.3","1.4","9"
"1951",25,"0.0","6.1","3.1","9"
"1951",26,"-5.0","6.7","0.9","9"
"1951",27,"-0.6","3.9","1.7","9"
"1951",28,"1.7","6.7","4.2","9"
"1951",29,"3.9","14.4","9.2","9"
"1951",30,"2.8","12.8","7.8","9"
"1952",1,"4.4","24.4","14.4","9"
"1952",2,"7.2","18.9","13.1","9"
"1952",3,"7.8","18.3","13.1","9"
"1952",4,"0.0","18.3","9.2","9"
"1952",5,"4.4","18.9","11.7","9"
"1952",6,"11.1","16.7","13.9","9"
"1952",7,"5.0","10.6","7.8","9"
"1952",8,"1.7","15.6","8.7","9"
"1952",9,"-2.2","17.2","7.5","9"
"1952",10,"5.0","14.4","9.7","9"
"1952",11,"7.2","14.4","10.8","9"
"1952",12,"-0.6","15.6","7.5","9"
"1952",13,"0.6","13.9","7.3","9"
"1952",14,"5.6","17.8","11.7","9"
"1952",15,"3.9","15.6","9.8","9"
"1952",16,"5.0","9.4","7.2","9"
"1952",17,"6.1","15.6","10.9","9"
"1952",18,"10.0","17.8","13.9","9"
"1952",19,"6.1","18.3","12.2","9"
"1952",20,"1.7","21.7","11.7","9"
"1952",21,"2.2","22.2","12.2","9"
"1952",22,"3.3","22.8","13.1","9"
"1952",23,"2.8","20.6","11.7","9"
"1952",24,"10.0","17.8","13.9","9"
"1952",25,"9.4","17.2","13.3","9"
"1952",26,"7.8","16.7","12.3","9"
"1952",27,"6.1","13.9","10.0","9"
"1952",28,"6.7","13.9","10.3","9"
"1952",29,"7.2","16.1","11.7","9"
"1952",30,"3.3","11.1","7.2","9"
"1953",1,"3.9","17.2","10.6","9"
"1953",2,"-0.6","18.3","8.9","9"
"1953",3,"1.1","21.1","11.1","9"
"1953",4,"3.3","24.4","13.9","9"
"1953",5,"8.3","22.2","15.3","9"
"1953",6,"10.0","22.2","16.1","9"
"1953",7,"3.9","18.9","11.4","9"
"1953",8,"3.9","16.7","10.3","9"
"1953",9,"8.3","15.0","11.7","9"
"1953",10,"3.3","18.3","10.8","9"
"1953",11,"3.9","16.7","10.3","9"
"1953",12,"6.7","18.9","12.8","9"
"1953",13,"7.8","17.2","12.5","9"
"1953",14,"2.8","15.0","8.9","9"
"1953",15,"7.2","14.4","10.8","9"
"1953",16,"3.9","14.4","9.2","9"
"1953",17,"5.0","15.0","10.0","9"
"1953",18,"7.2","16.7","12.0","9"
"1953",19,"1.7","12.2","7.0","9"
"1953",20,"1.1","12.8","7.0","9"
"1953",21,"5.6","11.1","8.4","9"
"1953",22,"0.6","15.0","7.8","9"
"1953",23,"0.6","13.3","7.0","9"
"1953",24,"5.6","10.6","8.1","9"
"1953",25,"1.1","12.2","6.7","9"
"1953",26,"4.4","12.8","8.6","9"
"1953",27,"1.1","7.2","4.2","9"
"1953",28,"3.3","6.1","4.7","9"
"1953",29,"-0.6","10.0","4.7","9"
"1953",30,"1.7","7.8","4.8","9"
"1954",1,"7.2","19.4","13.3","9"
"1954",2,"7.8","18.3","13.1","9"
"1954",3,"5.0","18.9","12.0","9"
"1954",4,"2.8","17.8","10.3","9"
"1954",5,"7.2","17.8","12.5","9"
"1954",6,"3.9","18.3","11.1","9"
"1954",7,"6.1","16.1","11.1","9"
"1954",8,"10.0","17.8","13.9","9"
"1954",9,"3.9","17.8","10.9","9"
"1954",10,"3.3","22.8","13.1","9"
"1954",11,"4.4","22.2","13.3","9"
"1954",12,"8.9","17.2","13.1","9"
"1954",13,"4.4","18.9","11.7","9"
"1954",14,"7.8","11.1","9.5","9"
"1954",15,"7.8","16.7","12.3","9"
"1954",16,"1.7","16.7","9.2","9"
"1954",17,"-1.1","12.8","5.9","9"
"1954",18,"5.0","12.8","8.9","9"
