"year","month","tempMin","tempMax","tempMean","site"
"1942",1,"-1.7","2.8","0.6","smithers"
"1942",2,"-5.0","1.1","-2.0","smithers"
"1942",3,"-3.3","-1.1","-2.2","smithers"
"1942",4,"-6.7","-5.0","-5.9","smithers"
"1942",5,"-6.7","-5.0","-5.9","smithers"
"1942",6,"-12.8","-5.6","-9.2","smithers"
"1942",7,"-14.4","-5.6","-10.0","smithers"
"1942",8,"-9.4","-5.0","-7.2","smithers"
"1942",9,"-6.1","0.0","-3.1","smithers"
"1942",10,"-2.2","7.8","2.8","smithers"
"1942",11,"2.2","5.6","3.9","smithers"
"1942",12,"0.6","4.4","2.5","smithers"
"1943",1,"0.6","6.1","3.4","smithers"
"1943",2,"-2.8","5.0","1.1","smithers"
"1943",3,"-0.6","7.2","3.3","smithers"
"1943",4,"1.7","7.8","4.8","smithers"
"1943",5,"-0.6","7.8","3.6","smithers"
"1943",6,"-5.0","2.2","-1.4","smithers"
"1943",7,"-1.1","3.3","1.1","smithers"
"1943",8,"-0.6","4.4","1.9","smithers"
"1943",9,"2.2","8.3","5.3","smithers"
"1943",10,"-1.7","6.7","2.5","smithers"
"1943",11,"0.0","7.2","3.6","smithers"
"1943",12,"-1.1","5.6","2.3","smithers"
"1944",1,"2.8","5.6","4.2","smithers"
"1944",2,"0.6","2.2","1.4","smithers"
"1944",3,"0.0","2.8","1.4","smithers"
"1944",4,"1.7","3.9","2.8","smithers"
"1944",5,"-0.6","3.9","1.7","smithers"
"1944",6,"0.6","7.2","3.9","smithers"
"1944",7,"-2.8","3.3","0.3","smithers"
"1944",8,"-1.1","5.6","2.3","smithers"
"1944",9,"-1.1","3.3","1.1","smithers"
"1944",10,"-0.6","2.2","0.8","smithers"
"1944",11,"-3.3","-2.2","-2.8","smithers"
"1944",12,"-4.4","-1.1","-2.8","smithers"
"1945",1,"-9.4","1.7","-3.9","smithers"
"1945",2,"-3.9","7.2","1.7","smithers"
"1945",3,"0.0","8.9","4.5","smithers"
"1945",4,"-2.8","3.9","0.6","smithers"
"1945",5,"-11.7","-6.7","-9.2","smithers"
"1945",6,"-17.8","-8.3","-13.1","smithers"
"1945",7,"-22.2","-7.2","-14.7","smithers"
"1945",8,"-16.7","-5.0","-10.9","smithers"
"1945",9,"-8.9","-3.3","-6.1","smithers"
"1945",10,"-9.4","-3.9","-6.7","smithers"
"1945",11,"-9.4","-3.9","-6.7","smithers"
"1945",12,"-8.3","-3.9","-6.1","smithers"
"1946",1,"-3.9","2.8","-0.6","smithers"
"1946",2,"-3.3","3.9","0.3","smithers"
"1946",3,"0.6","8.3","4.5","smithers"
"1946",4,"-1.7","11.7","5.0","smithers"
"1946",5,"-1.1","3.9","1.4","smithers"
"1946",6,"-2.8","3.9","0.6","smithers"
"1946",7,"-3.9","0.0","-2.0","smithers"
"1946",8,"-1.7","4.4","1.4","smithers"
"1946",9,"0.0","8.9","4.5","smithers"
"1946",10,"-1.1","3.9","1.4","smithers"
"1946",11,"-4.4","6.1","0.9","smithers"
"1946",12,"-7.8","6.7","-0.6","smithers"
"1947",1,"-1.1","7.8","3.4","smithers"
"1947",2,"-3.3","7.8","2.3","smithers"
"1947",3,"-5.6","3.3","-1.2","smithers"
"1947",4,"-7.8","1.1","-3.4","smithers"
"1947",5,"-4.4","2.2","-1.1","smithers"
"1947",6,"-3.9","3.3","-0.3","smithers"
"1947",7,"-4.4","2.2","-1.1","smithers"
"1947",8,"-2.8","3.9","0.6","smithers"
"1947",9,"-1.1","1.1","0.0","smithers"
"1947",10,"-1.1","0.6","-0.3","smithers"
"1947",11,"-3.9","1.7","-1.1","smithers"
"1947",12,"-1.7","1.7","0.0","smithers"
"1948",1,"-10.6","2.8","-3.9","smithers"
"1948",2,"-7.8","3.3","-2.3","smithers"
"1948",3,"-0.6","6.7","3.1","smithers"
"1948",4,"-1.1","8.3","3.6","smithers"
"1948",5,"-3.3","5.6","1.2","smithers"
"1948",6,"-3.9","4.4","0.3","smithers"
"1948",7,"-5.0","6.7","0.9","smithers"
"1948",8,"-2.8","6.7","2.0","smithers"
"1948",9,"-5.6","4.4","-0.6","smithers"
"1948",10,"-5.6","5.0","-0.3","smithers"
"1948",11,"-0.6","5.0","2.2","smithers"
"1948",12,"-2.2","5.0","1.4","smithers"
"1949",1,"-3.3","8.3","2.5","smithers"
"1949",2,"1.1","15.0","8.1","smithers"
"1949",3,"1.1","11.1","6.1","smithers"
"1949",4,"1.7","8.3","5.0","smithers"
"1949",5,"4.4","11.7","8.1","smithers"
"1949",6,"0.0","7.8","3.9","smithers"
"1949",7,"0.6","4.4","2.5","smithers"
"1949",8,"2.2","4.4","3.3","smithers"
"1949",9,"-0.6","3.9","1.7","smithers"
"1949",10,"0.0","2.8","1.4","smithers"
