species.name,species,type,transect
Acer_glabrum,acegla,tree,west
Acer_pensylvanicum,acepen,tree,east
Acer_rubrum,acerub,tree,east
Acer_saccharum,acesac,tree,east
Alnus_incana,alninc,shrub,east/west
Alnus_viridis,alnvir,shrub,west
Amelanchier_alnifolia,amealn,shrub,west
Aronia_melanocarpa,aromel,shrub,east
Betula_alleghaniensis,betall,tree,east
Betula_lenta,betlen,tree,east
Betula_papyrifera,betpap,tree,east/west
Corylus_cornuta,corcor,shrub,east
Fagus_grandifolia,faggra,tree,east
Fraxinus_nigra,franig,tree,east
Hamamelis_virginiana,hamvir,shrub,east
Ilex_mucronata,ilemuc,shrub,east
Kalmia_angustifolia,kalang,shrub,east
Lonicera_canadensis,loncan,shrub,east
Lonicera_involucrata,loninv,shrub,west
Lyonia_ligustrina,lyolig,shrub,east
Menziesia_ferruginea,menfer,shrub,west
Nyssa_sylvatica,nyssyl,tree,east
Populus_balsamifera,popbal,tree,west
Populus_grandidentata,popgra,tree,east
Populus_tremuloides,poptre,tree,east/west
Prunus_pensylvanica,prupen,tree,east
Quercus_alba,quealb,tree,east
Quercus_rubra,querub,tree,east
Quercus_velutina,quevel,tree,east
Rhamnus_frangula,rhafra,shrub,east
Rhododendron_albiflorum,rhoalb,shrub,west
Rhododendron_prinophyllum,rhopri,shrub,east
Rubus_parviflorus,rubpar,shrub,west
Ribes_lacustre,riblac,shrub,west
Shepherdia_canadensis,shecan,shrub,west
Sambucus_racemosa,samrac,shrub,west
Sorbus_scopulina,sorsco,shrub,west
Spiraea_alba,spialb,shrub,west
Spiraea_betulifolia,spibet,shrub,west
Spiraea_pyramidata,spipyr,shrub,west
Symphoricarpos_albus,symalb,shrub,west
Vaccinium_membranaceum,vacmem,shrub,west
Vaccinium_myrtilloides,vacmyr,shrub,east
Viburnum_cassinoides,vibcas,shrub,east
Viburnum_edule,vibedu,shrub,west
Viburnum_lantanoides,viblan,shrub,east
Cornus_stolonifera,corsto,shrub,west
