"","X","day","population","indiv","chill","photo","force","flask","species","bbch.t","percent.t","bbch.l","percent.l","bbch2.l","percent2.l","bbch3.l","percent3.l","bbch4.t","percent4.t","lab","dup","ref","lab2"
"28",5136,0,"mp","10","LC","HP","HF",4,"shecan",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_4_shecan",TRUE,"b","mp_LC_HP_HF_4_shecan_b"
"33",5141,0,"sm",NA,"LC","HP","HF",4,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_4_spibet",TRUE,"b","sm_LC_HP_HF_4_spibet_b"
"55",5163,0,"sm","A branched","LC","HP","HF",7,"corsto",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_7_corsto",TRUE,"b","sm_LC_HP_HF_7_corsto_b"
"65",5173,0,"sm",NA,"LC","HP","HF",8,"riblac",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_8_riblac",TRUE,"b","sm_LC_HP_HF_8_riblac_b"
"67",5175,0,"mp",NA,"LC","HP","HF",9,"samrac",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_9_samrac",TRUE,"b","mp_LC_HP_HF_9_samrac_b"
"73",5181,0,"sm","B","LC","HP","HF",9,"vacmem",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_9_vacmem",TRUE,"b","sm_LC_HP_HF_9_vacmem_b"
"81",5189,0,"sm",NA,"LC","HP","HF",10,"symalb",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_10_symalb",TRUE,"b","sm_LC_HP_HF_10_symalb_b"
"139",5247,0,"mp",NA,"LC","HP","HF",18,"spipyr",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_18_spipyr",TRUE,"b","mp_LC_HP_HF_18_spipyr_b"
"143",5251,0,"sm",NA,"LC","HP","HF",18,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_18_sorsco",TRUE,"b","sm_LC_HP_HF_18_sorsco_b"
"147",5255,0,"mp","7","LC","HP","HF",19,"alnvir",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_19_alnvir",TRUE,"b","mp_LC_HP_HF_19_alnvir_b"
"167",5275,0,"sm",NA,"LC","HP","HF",21,"amealn",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_21_amealn",TRUE,"b","sm_LC_HP_HF_21_amealn_b"
"171",5279,0,"mp","10","LC","HP","HF",22,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_22_alninc",TRUE,"b","mp_LC_HP_HF_22_alninc_b"
"204",5312,0,"mp",NA,"LC","HP","HF",26,"vibedu",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_26_vibedu",TRUE,"b","mp_LC_HP_HF_26_vibedu_b"
"206",5314,0,"sm","9","LC","HP","HF",26,"acegla",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_26_acegla",TRUE,"b","sm_LC_HP_HF_26_acegla_b"
"226",5334,0,"mp",NA,"LC","HP","HF",29,"shecan",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_29_shecan",TRUE,"b","mp_LC_HP_HF_29_shecan_b"
"229",5337,0,"sm",NA,"LC","HP","HF",29,"shecan",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_29_shecan",TRUE,"b","sm_LC_HP_HF_29_shecan_b"
"234",5342,0,"mp",NA,"LC","HP","HF",30,"symalb",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_30_symalb",TRUE,"b","mp_LC_HP_HF_30_symalb_b"
"242",5350,0,"mp","B","LC","HP","HF",31,"vacmem",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_31_vacmem",TRUE,"b","mp_LC_HP_HF_31_vacmem_b"
"251",5359,0,"mp","B","LC","HP","HF",32,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_32_spibet",TRUE,"b","mp_LC_HP_HF_32_spibet_b"
"276",5386,0,"sm","11","LC","HP","HF",35,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_35_menfer",TRUE,"b","sm_LC_HP_HF_35_menfer_b"
"285",5395,0,"sm","2","LC","HP","HF",36,"vibedu",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_36_vibedu",TRUE,"b","sm_LC_HP_HF_36_vibedu_b"
"299",5411,0,"sm","B","LC","HP","HF",38,"symalb",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_38_symalb",TRUE,"b","sm_LC_HP_HF_38_symalb_b"
"343",5455,0,"mp","tml-unbranched","LC","HP","LF",4,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_4_spibet",TRUE,"b","mp_LC_HP_LF_4_spibet_b"
"357",5469,0,"mp","4","LC","HP","LF",6,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_6_alninc",TRUE,"b","mp_LC_HP_LF_6_alninc_b"
"363",5475,0,"sm","cl","LC","HP","LF",6,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_6_rubpar",TRUE,"b","sm_LC_HP_LF_6_rubpar_b"
"378",5490,0,"sm","3","LC","HP","LF",8,"popbal",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_8_popbal",TRUE,"b","sm_LC_HP_LF_8_popbal_b"
"391",5503,0,"sm","3b","LC","HP","LF",10,"riblac",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_10_riblac",TRUE,"b","sm_LC_HP_LF_10_riblac_b"
"402",5514,0,"mp","6","LC","HP","LF",12,"amealn",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_12_amealn",TRUE,"b","mp_LC_HP_LF_12_amealn_b"
"404",5516,0,"mp","9","LC","HP","LF",12,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_12_sorsco",TRUE,"b","mp_LC_HP_LF_12_sorsco_b"
"424",5536,0,"sm","cl","LC","HP","LF",14,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_14_rubpar",TRUE,"b","sm_LC_HP_LF_14_rubpar_b"
"432",5544,0,"sm",NA,"LC","HP","LF",15,"symalb",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_15_symalb",TRUE,"b","sm_LC_HP_LF_15_symalb_b"
"452",5564,0,"mp","9","LC","HP","LF",18,"samrac",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_18_samrac",TRUE,"b","mp_LC_HP_LF_18_samrac_b"
"454",5566,0,"sm","9","LC","HP","LF",18,"acegla",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_18_acegla",TRUE,"b","sm_LC_HP_LF_18_acegla_b"
"460",5572,0,"mp","11","LC","HP","LF",19,"vibedu",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_19_vibedu",TRUE,"b","mp_LC_HP_LF_19_vibedu_b"
"466",5578,0,"mp","5","LC","HP","LF",20,"corsto",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_20_corsto",TRUE,"b","mp_LC_HP_LF_20_corsto_b"
"480",5592,0,"mp","3","LC","HP","LF",22,"alnvir",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_22_alnvir",TRUE,"b","mp_LC_HP_LF_22_alnvir_b"
"499",5611,0,"sm",NA,"LC","HP","LF",24,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_24_sorsco",TRUE,"b","sm_LC_HP_LF_24_sorsco_b"
"528",5640,0,"mp","2","LC","HP","LF",28,"spipyr",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_28_spipyr",TRUE,"b","mp_LC_HP_LF_28_spipyr_b"
"540",5652,0,"sm","cl","LC","HP","LF",29,"vacmem",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_29_vacmem",TRUE,"b","sm_LC_HP_LF_29_vacmem_b"
"542",5654,0,"mp","5","LC","HP","LF",30,"alnvir",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_30_alnvir",TRUE,"b","mp_LC_HP_LF_30_alnvir_b"
"555",5667,0,"sm","9","LC","HP","LF",31,"riblac",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_31_riblac",TRUE,"b","sm_LC_HP_LF_31_riblac_b"
"589",5701,0,"mp","4","LC","HP","LF",36,"acegla",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_36_acegla",TRUE,"b","mp_LC_HP_LF_36_acegla_b"
"605",5717,0,"mp","11","LC","HP","LF",38,"acegla",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_38_acegla",TRUE,"b","mp_LC_HP_LF_38_acegla_b"
"609",5721,0,"sm","10","LC","HP","LF",38,"alnvir",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_38_alnvir",TRUE,"b","sm_LC_HP_LF_38_alnvir_b"
"659",5771,0,"sm","B1","LC","LP","HF",4,"spipyr",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_4_spipyr",TRUE,"b","sm_LC_LP_HF_4_spipyr_b"
"671",5783,0,"mp","3","LC","LP","HF",6,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_6_alninc",TRUE,"b","mp_LC_LP_HF_6_alninc_b"
"686",5798,0,"mp","7","LC","LP","HF",8,"alnvir",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_8_alnvir",TRUE,"b","mp_LC_LP_HF_8_alnvir_b"
"699",5811,0,"sm","8","LC","LP","HF",9,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_9_sorsco",TRUE,"b","sm_LC_LP_HF_9_sorsco_b"
"711",5823,0,"mp","5","LC","LP","HF",11,"poptre",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_11_poptre",TRUE,"b","mp_LC_LP_HF_11_poptre_b"
"731",5843,0,"sm","Extra?","LC","LP","HF",13,"poptre",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_13_poptre",TRUE,"b","sm_LC_LP_HF_13_poptre_b"
"733",5845,0,"sm","B","LC","LP","HF",13,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_13_spibet",TRUE,"b","sm_LC_LP_HF_13_spibet_b"
"736",5848,0,"mp","9","LC","LP","HF",14,"shecan",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_14_shecan",TRUE,"b","mp_LC_LP_HF_14_shecan_b"
"777",5889,0,"mp","13","LC","LP","HF",19,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_19_sorsco",TRUE,"b","mp_LC_LP_HF_19_sorsco_b"
"783",5895,0,"mp","3","LC","LP","HF",20,"rhoalb",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_20_rhoalb",TRUE,"b","mp_LC_LP_HF_20_rhoalb_b"
"795",5907,0,"sm",NA,"LC","LP","HF",21,"popbal",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_21_popbal",TRUE,"b","sm_LC_LP_HF_21_popbal_b"
"823",5935,0,"mp",NA,"LC","LP","HF",25,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_25_spibet",TRUE,"b","mp_LC_LP_HF_25_spibet_b"
"837",5949,0,"sm","9","LC","LP","HF",26,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_26_menfer",TRUE,"b","sm_LC_LP_HF_26_menfer_b"
"872",5984,0,"mp",NA,"LC","LP","HF",31,"poptre",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_31_poptre",TRUE,"b","mp_LC_LP_HF_31_poptre_b"
"915",6027,0,"sm","B","LC","LP","HF",36,"poptre",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_36_poptre",TRUE,"b","sm_LC_LP_HF_36_poptre_b"
"940",6052,0,"sm","8","LC","LP","HF",39,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_39_menfer",TRUE,"b","sm_LC_LP_HF_39_menfer_b"
"946",6058,0,"sm","4","LC","LP","HF",40,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_40_alninc",TRUE,"b","sm_LC_LP_HF_40_alninc_b"
"959",6071,0,"mp","tml","LC","LP","LF",2,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_LF_2_spibet",TRUE,"b","mp_LC_LP_LF_2_spibet_b"
"973",6085,0,"mp","7","LC","LP","LF",4,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_LF_4_menfer",TRUE,"b","mp_LC_LP_LF_4_menfer_b"
