site,flask_id,indiv
mp,acegla_HC_HP_HF_1,11
mp,loninv_HC_HP_HF_1,6
mp,menfer_HC_HP_HF_1,10
mp,rhoalb_HC_HP_HF_1,1
mp,amealn_HC_HP_HF_10,6
mp,corsto_HC_HP_HF_10,1
mp,samrac_HC_HP_HF_10,Ase
mp,symalb_HC_HP_HF_10,eg
mp,corsto_HC_HP_HF_11,1
mp,corsto_HC_HP_HF_11,5
mp,rhoalb_HC_HP_HF_11,9
mp,vacmem_HC_HP_HF_11,LL
mp,rhoalb_HC_HP_HF_12,1
mp,riblac_HC_HP_HF_12,9
mp,shecan_HC_HP_HF_12,6
mp,sorsco_HC_HP_HF_12,10
mp,alninc_HC_HP_HF_13,bll
mp,amealn_HC_HP_HF_13,6
mp,popbal_HC_HP_HF_13,10
mp,riblac_HC_HP_HF_13,bsf
mp,alnvir_HC_HP_HF_14,1
mp,amealn_HC_HP_HF_14,6
mp,spibet_HC_HP_HF_14,tml
mp,spipyr_HC_HP_HF_14,2
mp,alnvir_HC_HP_HF_15,6
mp,poptre_HC_HP_HF_15,6
mp,rhoalb_HC_HP_HF_15,1
mp,spibet_HC_HP_HF_15,
mp,loninv_HC_HP_HF_16,A
mp,poptre_HC_HP_HF_16,9
mp,samrac_HC_HP_HF_16,5
mp,spibet_HC_HP_HF_16,wjt
mp,acegla_HC_HP_HF_17,Tml
mp,alninc_HC_HP_HF_17,4
mp,alninc_HC_HP_HF_17,5
mp,samrac_HC_HP_HF_17,5
mp,poptre_HC_HP_HF_18,6
mp,samrac_HC_HP_HF_18,3
mp,spipyr_HC_HP_HF_18,wjt
mp,vibedu_HC_HP_HF_18,9
mp,shecan_HC_HP_HF_19,8
mp,symalb_HC_HP_HF_19,eg
mp,vacmem_HC_HP_HF_19,ll
mp,vacmem_HC_HP_HF_19,ll
mp,acegla_HC_HP_HF_2,
mp,menfer_HC_HP_HF_2,
mp,menfer_HC_HP_HF_2,
mp,rhoalb_HC_HP_HF_2,
mp,menfer_HC_HP_HF_20,10
mp,rhoalb_HC_HP_HF_20,11
mp,shecan_HC_HP_HF_20,8
mp,spipyr_HC_HP_HF_20,2
mp,acegla_HC_HP_HF_21,11
mp,sorsco_HC_HP_HF_21,10
mp,spipyr_HC_HP_HF_21,wjt
mp,vibedu_HC_HP_HF_21,9
mp,loninv_HC_HP_HF_22,A
mp,samrac_HC_HP_HF_22,6
mp,sorsco_HC_HP_HF_22,9
mp,spipyr_HC_HP_HF_22,2
mp,loninv_HC_HP_HF_23,6
mp,riblac_HC_HP_HF_23,9
