site,trt,indiv,flask,species
sm,HC_HP_HF,5,1,amealn
sm,HC_HP_HF,1,1,alninc
sm,HC_HP_HF,11,1,sorsco
sm,HC_HP_HF,4,1,vibedu
sm,HC_HP_HF,B,10,corso
sm,HC_HP_HF,,10,rubpar
sm,HC_HP_HF,,10,symalb
sm,HC_HP_HF, b40,10,spipyr
sm,HC_HP_HF, A,11,bepap
sm,HC_HP_HF, A,11,bepap
sm,HC_HP_HF, B,11,popre
sm,HC_HP_HF,B,11,popre
sm,HC_HP_HF,12,11,shecan
sm,HC_HP_HF,10,12,loninv
sm,HC_HP_HF,12,12,menfer
sm,HC_HP_HF, A,12,popbal
sm,HC_HP_HF,8,12,popre
sm,HC_HP_HF,1,13,alninc
sm,HC_HP_HF,20,13,popbal
sm,HC_HP_HF, ,13,symalb
sm,HC_HP_HF,5,13,sorsco
sm,HC_HP_HF,11,14,acegla
sm,HC_HP_HF,10,14,loninv
sm,HC_HP_HF, #3,14,menfer
sm,HC_HP_HF,11,14,popre
sm,HC_HP_HF,1,15,amealn
sm,HC_HP_HF,9,15,loninv
sm,HC_HP_HF, A28,15,spibe
sm,HC_HP_HF,6,15,sorsco
sm,HC_HP_HF, onionE,16,popbal
sm,HC_HP_HF,,16,symalb
sm,HC_HP_HF,,16,spibe
Sm,HC_HP_HF, A,16,shecan
sm,HC_HP_HF, onionE,17,popbal
sm,HC_HP_HF,,17,rubpar
sm,HC_HP_HF,,17,rubpar
sm,HC_HP_HF,3,17,vibedu
sm,HC_HP_HF,5,18,alninc
sm,HC_HP_HF,2,18,menfer
sm,HC_HP_HF,20,18,popbal
sm,HC_HP_HF,5,19,alninc
sm,HC_HP_HF,11,19,corso
sm,HC_HP_HF,4,19,menfer
sm,HC_HP_HF,2,19,symalb
sm,HC_HP_HF,,2,symalb
sm,HC_HP_HF,,2,spibe
sm,HC_HP_HF,8,2,shecan
sm,HC_HP_HF, D,2,vibedu
sm,HC_HP_HF, 3b,20,riblac
sm,HC_HP_HF,,20,spibe
sm,HC_HP_HF, oc21,20,vacmem
sm,HC_HP_HF, oc21,20,vacmem
sm,HC_HP_HF,5,21,amealn
sm,HC_HP_HF,9,21,loninv
sm,HC_HP_HF, oc 23,21,vacmem
sm,HC_HP_HF, A,22,bepap
sm,HC_HP_HF,9,22,riblac
sm,HC_HP_HF,,22,symalb
sm,HC_HP_HF,12,22,shecan
sm,HC_HP_HF,,22,sorsco
sm,HC_HP_HF, A,23,bepap
sm,HC_HP_HF, A,23,popbal
sm,HC_HP_HF, A38,23,spibe
sm,HC_HP_HF,6,24,alnvir
sm,HC_HP_HF,2,24,alnvir
sm,HC_HP_HF, cl,24,symalb
sm,HC_HP_HF, oc 21,24,vacmem
sm,HC_HP_HF, A,25,bepap
sm,HC_HP_HF,13,25,corso
sm,HC_HP_HF, B,25,popre
sm,HC_HP_HF, cl,25,rubpar
sm,HC_HP_HF,12,26,menfer
sm,HC_HP_HF,11,26,menfer
sm,HC_HP_HF,,26,rubpar
sm,HC_HP_HF,7,26,shecan
sm,HC_HP_HF,15,27,acegla
sm,HC_HP_HF, B,27,bepap
sm,HC_HP_HF,6,27,sorsco
sm,HC_HP_HF, oc21,27,vacmem
sm,HC_HP_HF,8,28,popbal
sm,HC_HP_HF,9,28,riblac
sm,HC_HP_HF,3,28,vibedu
sm,HC_HP_HF, oc21,28,vacmem
sm,HC_HP_HF,12,28,shecan
sm,HC_HP_HF,6,29,alnvir
sm,HC_HP_HF,3,29,riblac
sm,HC_HP_HF, b24,29,spipyr
sm,HC_HP_HF,12,29,sorsco
sm,HC_HP_HF,,3,alnvir
sm,HC_HP_HF,,3,alnvir
sm,HC_HP_HF,,3,popbal
sm,HC_HP_HF,,3,sorsco
sm,HC_HP_HF,4,30,alninc
sm,HC_HP_HF,19,30,alnvir
sm,HC_HP_HF,11,30,corso
sm,HC_HP_HF,11,30,vibedu
sm,HC_HP_HF,7,31,acegla
sm,HC_HP_HF,2,31,alninc
sm,HC_HP_HF,10,31,riblac
sm,HC_HP_HF,12,31,riblac
sm,HC_HP_HF,10,32,loninv
sm,HC_HP_HF,,32,spipyr
sm,HC_HP_HF,,32,sorsco
sm,HC_HP_HF, 0c21,32,vacmem
sm,HC_HP_HF, b,33,corso
sm,HC_HP_HF, b,33,popre
sm,HC_HP_HF, A39,33,spibe
sm,HC_HP_HF, B39,33,spipyr
sm,HC_HP_HF,6,33,shecan
sm,HC_HP_HF,7,34,amealn
sm,HC_HP_HF,10,34,corso
sm,HC_HP_HF, w10,34,rubpar
sm,HC_HP_HF, B,34,vibedu
sm,HC_HP_HF, ,35,bepap
sm,HC_HP_HF,,35,loninv
sm,HC_HP_HF,,35,rubpar
sm,HC_HP_HF,,35,sorsco
sm,HC_HP_HF,5,36,alninc
sm,HC_HP_HF,5,36,loninv
sm,HC_HP_HF,4,36,menfer
sm,HC_HP_HF, B13,36,spipyr
sm,HC_HP_HF,11,37,acegla
sm,HC_HP_HF,5,37,corso
sm,HC_HP_HF, cl,37,rubpar
sm,HC_HP_HF,7,37,sorsco
sm,HC_HP_HF,5,38,amealn
sm,HC_HP_HF, A,38,menfer
sm,HC_HP_HF, b28,38,spipyr
sm,HC_HP_HF,10,38,shecan
sm,HC_HP_HF,2,39,acegla
sm,HC_HP_HF,19,39,alnvir
