day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,,,,,,,,
19,mp,LHH,NA,1,amealn,7,100,2,3,85,1,15,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,1,menfer,3,100,15,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,1,poptre,1,100,4,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,NA,1,symalb,NA,NA,NA,1,80,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,1,amealn,9,100,1,1,20,0,80,NA,NA,10,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,1,loninv,1,100,1,7,50,3,25,1,25,12,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,1,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,1,shecan,3,50,2,7,40,3,50,1,10,25,60,NA,NA,,,,,,,,
19,mp,LHH,A,2,loninv,3,100,2,1,100,NA,NA,NA,NA,7,NA,NA,NA,,,,,,,,
19,mp,LHH,4,2,menfer,1,100,14,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,Feg,2,poptre,1,100,2,1,100,NA,NA,NA,NA,18,NA,NA,NA,,,,,,,,
19,mp,LHH,tml,2,spibet,9,100,1,15,20,10,20,3,30,0,5,NA,NA,,,,,,,,
19,sm,LHH,7,2,loninv,15,25,4,10,15,9,30,7,40,13,NA,10,50,,,,,,,,
19,sm,LHH, A,2,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH, 3B,2,riblac,3,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,13,2,shecan,3,100,3,3,20,1,60,0,20,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,10,3,amealn,10,100,4,9,15,7,40,3,20,14,NA,,,,,,,,,,
19,mp,LHH,6,3,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,5,3,poptre,0,100,3,0,100,NA,NA,NA,NA,4,NA,NA,NA,,,,,,,,
19,mp,LHH,13,3,sorsco,9,50,2,0,100,NA,NA,NA,NA,NA,NA,1,50,,,,,,,,
19,sm,LHH,NA,3,amealn,1,100,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,3,corsto,7,100,1,7,40,3,40,1,20,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,9,3,menfer,1,100,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,3,shecan,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,3,spibet,10,100,1,9,10,7,60,3,30,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,1,4,corsto,7,100,1,7,50,3,25,1,25,8,NA,NA,NA,,,,,,,,
19,mp,LHH,9,4,shecan,9,50,2,3,70,1,30,,,NA,60,3,50,,,,,,,,
19,mp,LHH,10,4,shecan,9,100,1,7,20,3,60,1,20,NA,60,NA,NA,,,,,,,,
19,mp,LHH,A eg,4,symalb,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,1,4,menfer,1,80,16,0,100,NA,NA,NA,NA,NA,NA,0,20,,,,,,,,
19,sm,LHH,8,4,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,straight,4,spibet,1,100,1,9,25,3,25,1,25,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,NA,4,spibet,15,25,4,11,20,9,10,7,30,18,NA,1,50,,,,,,,,
19,mp,LHH,1,5,alnvir,1,100,3,3,20,1,20,0,60,8,NA,NA,NA,,,,,,,,
19,mp,LHH,A,5,loninv,3,100,1,1,100,NA,NA,NA,NA,2,NA,NA,NA,,,,,,,,
19,mp,LHH,14,5,sorsco,1,100,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,mp,LHH,2,5,spipyr,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,6,5,betpap,3,100,2,3,80,1,20,NA,NA,5,NA,NA,NA,,,,,,,,
19,sm,LHH,5,5,loninv,3,100,8,7,10,3,60,1,30,33,NA,NA,NA,,,,,,,,
19,sm,LHH, A36,5,spibet,3,100,5,3,40,1,25,0,35,NA,NA,NA,NA,,,,,,,,
19,sm,LHH,2,5,vibedu,11,20,5,11,20,10,20,9,30,16,NA,10,40,,,,,,,,
