day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t
23,mp,LHH,NA,1,amealn,8,100,2,7,85,1,15,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,1,menfer,3,100,15,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,1,poptre,1,100,4,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,NA,1,symalb,NA,NA,NA,1,80,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,1,amealn,10,100,1,7,30,3,10,1,60,10,NA,NA,NA
23,sm,LHH,NA,1,loninv,1,100,1,9,15,7,75,1,10,12,NA,NA,NA
23,sm,LHH,NA,1,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,NA,1,shecan,7,100,2,9,30,7,50,3,20,25,60,NA,NA
23,mp,LHH,A,2,loninv,3,100,2,1,100,NA,NA,NA,NA,7,NA,NA,NA
23,mp,LHH,4,2,menfer,1,100,14,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,Feg,2,poptre,3,100,2,9,5,7,15,3,80,18,NA,NA,NA
23,mp,LHH,tml,2,spibet,10,100,1,15,20,11,40,7,10,0,5,NA,NA
23,sm,LHH,7-missing,2,loninv,15,25,4,10,15,9,30,7,40,13,NA,11,50
23,sm,LHH, A,2,popbal,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH, 3B,2,riblac,3,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA
23,sm,LHH,13,2,shecan,3,100,3,3,20,1,60,0,20,NA,NA,NA,NA
23,mp,LHH,10,3,amealn,11,100,4,9,15,7,55,3,30,14,NA,,
23,mp,LHH,6,3,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
23,mp,LHH,5,3,poptre,0,100,3,0,100,NA,NA,NA,NA,4,NA,NA,NA
23,mp,LHH,13,3,sorsco,10,50,2,0,100,NA,NA,NA,NA,NA,NA,1,50
23,sm,LHH,NA,3,amealn,1,100,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA
