day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments
9,mp,LHH,NA,1,amealn,3,20,NA,3,50,1,50,,,NA,NA,NA,NA,NA
9,mp,LHH,NA,1,menfer,0,100,NA,1,10,0,90,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,NA,1,poptre,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,NA,1,symalb,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,1,amealn,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,1,loninv,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,1,popbal,1,100,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,1,shecan,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,A,2,loninv,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,4,2,menfer,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,Feg,2,poptre,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,tml,2,spibet,3,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,7,2,loninv,3,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH, A,2,popbal,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH, 3B,2,riblac,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,13,2,shecan,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,10,3,amealn,7,100,NA,3,10,1,10,0,80,NA,NA,NA,NA,NA
9,mp,LHH,6,3,popbal,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,5,3,poptre,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,13,3,sorsco,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,3,amealn,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,3,corsto,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,9,3,menfer,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,3,shecan,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,3,spibet,3,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,1,4,corsto,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,9,4,shecan,1,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,10,4,shecan,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,A eg,4,symalb,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,1,4,menfer,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,8,4,popbal,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,straight,4,spibet,7,100,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,NA,4,spibet,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,1,5,alnvir,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,A,5,loninv,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,14,5,sorsco,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,mp,LHH,2,5,spipyr,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,sm,LHH,6,5,betpap,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
