day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,Final.percent,Final.percent,
55,mp,LHH,NA,1,amealn,15,100,2,10,85,7,15,NA,NA,NA,y,NA,NA,,,
55,mp,LHH,NA,1,menfer,7,45,15,17,20,11,30,7,20,30,y,3,85,,,
55,mp,LHH,NA,1,poptre,15,40,5,3,100,NA,NA,NA,NA,NA,NA,11,20,,,
55,mp,LHH,NA,1,symalb,NA,NA,NA,15,10,3,30,0,60,NA,NA,NA,NA,,,
55,sm,LHH,NA,1,amealn,17,100,1,7,70,3,30,,,10,y,NA,NA,,,
55,sm,LHH,NA,1,loninv,1,100,1,17,25,15,15,7,60,12,NA,NA,NA,,,
55,sm,LHH,NA,1,popbal,17,100,1,11,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,1,shecan,17,100,2,17,70,15,25,3,5,25,y,NA,NA,,,
55,mp,LHH,A,2,loninv,3,100,2,1,100,NA,NA,NA,NA,7,NA,NA,NA,,,
55,mp,LHH,4,2,menfer,3,100,14,9,20,3,60,1,20,NA,y,NA,NA,,,
55,mp,LHH,Feg,2,poptre,17,100,2,17,80,11,10,10,10,18,NA,,,,,
55,mp,LHH,tml,2,spibet,17,100,1,17,80,7,20,,,5,5,NA,NA,,,
55,sm,LHH,7,2,loninv,17,50,4,17,30,7,20,3,50,16,y,11,25,,,
55,sm,LHH, A,2,popbal,15,100,1,9,100,3,NA,NA,NA,NA,2,NA,NA,,,
55,sm,LHH, 3B,2,riblac,9,100,2,9,50,3,50,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,13,2,shecan,17,100,3,15,50,7,10,3,40,15,y,NA,NA,,,
55,mp,LHH,10,3,amealn,15,25,4,10,5,9,95,,,14,NA,11,75,,,
55,mp,LHH,6,3,popbal,17,100,1,11,70,3,30,,,NA,NA,NA,NA,,,
55,mp,LHH,5,3,poptre,0,100,3,0,100,NA,NA,NA,NA,4,NA,NA,NA,,,
55,mp,LHH,13,3,sorsco,17,50,2,3,100,NA,NA,NA,NA,NA,y,1,50,,,
55,sm,LHH,NA,3,amealn,3,100,1,3,30,1,70,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,3,corsto,17,100,1,15,80,11,10,9,5,NA,NA,NA,NA,,,
55,sm,LHH,9,3,menfer,1,100,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,3,shecan,17,100,1,15,10,9,10,3,45,NA,y,NA,NA,,,
55,sm,LHH,NA,3,spibet,17,100,1,17,15,9,65,1,20,NA,NA,NA,NA,,,
55,mp,LHH,1,4,corsto,17,100,1,17,80,15,10,3,10,8,NA,NA,NA,,,
55,mp,LHH,9,4,shecan,17,100,2,17,95,3,5,,,NA,y,7,50,,,
55,mp,LHH,10,4,shecan,17,100,1,15,85,10,10,3,5,NA,y,NA,NA,,,
55,mp,LHH,A eg,4,symalb,NA,NA,NA,7,25,3,60,1,15,NA,NA,NA,NA,,,
55,sm,LHH,1,4,menfer,1,80,16,10,10,9,15,3,30,NA,NA,0,20,,,
55,sm,LHH,8,4,popbal,11,100,1,17,15,3,85,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,straight,4,spibet,1,100,1,17,25,7,25,1,25,NA,NA,NA,NA,,,
55,sm,LHH,NA,4,spibet,17,50,4,17,40,11,10,9,30,18,NA,11,25,,,
55,mp,LHH,1,5,alnvir,1,100,3,7,25,3,75,0,60,8,NA,NA,NA,,,
55,mp,LHH,A,5,loninv,15,100,1,3,50,1,50,NA,NA,2,y,NA,NA,,,
55,mp,LHH,14,5,sorsco,17,100,2,17,50,9,50,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,2,5,spipyr,17,100,1,17,10,10,20,1,70,NA,NA,NA,NA,,,
55,sm,LHH,6,5,betpap,17,100,2,17,50,15,25,10,25,4,NA,NA,NA,,turning yellow,
55,sm,LHH,5,5,loninv,17,40,8,17,25,15,15,10,25,13,y,7,15,,,
55,sm,LHH, A36,5,spibet,17,60,5,17,20,11,10,10,25,13,NA,9,40,,,
55,sm,LHH,2,5,vibedu,17,60,5,17,40,11,5,10,25,16,NA,10,40,,,
55,mp,LHH,10,6,corsto,17,100,1,17,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,10,6,loninv,9,50,2,11,10,9,15,7,30,11,NA,3,50,,,
