day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments
116,mp,HC_HP_HF,11,1,acegla,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,missing
116,mp,HC_HP_HF,6,1,loninv,17,50,2,11,25,10,50,3,25,8,y,10,50,remaining buds dried out & brown
116,mp,HC_HP_HF,10,1,menfer,0,100,NA,10,10,0,90,NA,NA,18,NA,NA,NA,
116,mp,HC_HP_HF,1,1,rhoalb,17,25,4,10,10,3,90,NA,NA,32,NA,15,75,
116,sm,HC_HP_HF,1,1,alninc,15,100,1,17,60,15,40,,,5,NA,NA,NA,
116,sm,HC_HP_HF,5,1,amealn,11,100,1,11,15,10,15,9,50,12,,NA,NA,
116,sm,HC_HP_HF,11,1,sorsco,17,100,1,1,100,NA,NA,NA,NA,4,NA,NA,NA,2/3 buds viable
116,sm,HC_HP_HF,4,1,vibedu,17,50,2,15,50,11,25,3,25,4,NA,15,50,
116,mp,HC_HP_HF,NA,2,acegla,0,100,4,0,100,NA,NA,NA,NA,12,NA,NA,NA,
116,mp,HC_HP_HF,8,2,menfer,0,100,NA,11,10,9,10,7,65,18,y,NA,NA,
116,mp,HC_HP_HF,9,2,menfer,0,100,NA,15,30,11,30,7,40,17,y,NA,NA,
116,mp,HC_HP_HF,NA,2,rhoalb,17,100,2,17,40,15,20,11,20,5,NA,NA,NA,
116,sm,HC_HP_HF,8,2,shecan,15,100,1,15,70,11,25,3,5,NA,y,NA,NA,
116,sm,HC_HP_HF,NA,2,spibet,17,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
116,sm,HC_HP_HF,NA,2,symalb,NA,NA,NA,15,20,11,30,7,10,NA,NA,NA,NA,
116,sm,HC_HP_HF, D,2,vibedu,17,35,3,17,15,15,40,9,5,12,NA,11,35,
116,mp,HC_HP_HF,1,3,alnvir,11,100,1,17,10,10,20,9,45,9,NA,NA,NA,
