"lab2","latbb1","latbb50","latbb80","treatment","tbb","population","chill","photo","force","flask","species","rep","lab3","chill.n","force.n","photo.n","site.n"
"loninv_mp_1",10,28,NA,"HC.HP.HF",10,"mp","HC","HP","HF",1,"loninv",1,"mp.HC.HP.HF.1.loninv.1",1,1,1,0
"menfer_mp_1",45,NA,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",1,"menfer",1,"mp.HC.HP.HF.1.menfer.1",1,1,1,0
"rhoalb_mp_1",13,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",1,"rhoalb",1,"mp.HC.HP.HF.1.rhoalb.1",1,1,1,0
"amealn_mp_1",5,5,5,"HC.HP.HF",5,"mp","HC","HP","HF",10,"amealn",1,"mp.HC.HP.HF.10.amealn.1",1,1,1,0
"corsto_mp_1",8,8,12,"HC.HP.HF",8,"mp","HC","HP","HF",10,"corsto",1,"mp.HC.HP.HF.10.corsto.1",1,1,1,0
"samrac_mp_1",12,12,19,"HC.HP.HF",19,"mp","HC","HP","HF",10,"samrac",1,"mp.HC.HP.HF.10.samrac.1",1,1,1,0
"symalb_mp_1",8,54,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",10,"symalb",1,"mp.HC.HP.HF.10.symalb.1",1,1,1,0
"corsto_mp_1",10,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",11,"corsto",1,"mp.HC.HP.HF.11.corsto.1",1,1,1,0
"corsto_mp_2",10,10,12,"HC.HP.HF",10,"mp","HC","HP","HF",11,"corsto",2,"mp.HC.HP.HF.11.corsto.2",1,1,1,0
"rhoalb_mp_1",10,10,12,"HC.HP.HF",10,"mp","HC","HP","HF",11,"rhoalb",1,"mp.HC.HP.HF.11.rhoalb.1",1,1,1,0
"vacmem_mp_1",10,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",11,"vacmem",1,"mp.HC.HP.HF.11.vacmem.1",1,1,1,0
"rhoalb_mp_1",16,40,NA,"HC.HP.HF",10,"mp","HC","HP","HF",12,"rhoalb",1,"mp.HC.HP.HF.12.rhoalb.1",1,1,1,0
"riblac_mp_1",19,42,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",12,"riblac",1,"mp.HC.HP.HF.12.riblac.1",1,1,1,0
"shecan_mp_1",19,28,34,"HC.HP.HF",19,"mp","HC","HP","HF",12,"shecan",1,"mp.HC.HP.HF.12.shecan.1",1,1,1,0
"sorsco_mp_1",NA,NA,NA,"HC.HP.HF",16,"mp","HC","HP","HF",12,"sorsco",1,"mp.HC.HP.HF.12.sorsco.1",1,1,1,0
"alninc_mp_1",19,25,28,"HC.HP.HF",19,"mp","HC","HP","HF",13,"alninc",1,"mp.HC.HP.HF.13.alninc.1",1,1,1,0
"amealn_mp_1",13,13,16,"HC.HP.HF",13,"mp","HC","HP","HF",13,"amealn",1,"mp.HC.HP.HF.13.amealn.1",1,1,1,0
